,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,Time Remaining,away_play,Away Team Score,Play Team Indicator,Home Team Score,home_play,Game Score,Team Indicator,Play,Period,Play Type,Shot Outcome,Team,Player,Points Earned,Away Lineup,Home Lineup,Time(seconds),Poss,Poss_num,PPP_Home,PPP_Away
0,0,747,Berry College,Covenant,0,71-65,"25,40","33,38",0-1,1-0,,,11/15/13,8 P.M.,,"Rome, Ga.",Lose,2,False,500,False,19:47,,,,,"MISS LAYUP by JACOBS,OWEN",,,"MISS LAYUP by JACOBS,OWEN",1,layup,missed,berry college,"jacobs,owen",,"['mcgriff,colton', 'turner,micah', 'frierson,nate', 'delaney,jake', 'engbers,bryant']","['jacobs,owen', 'smoak,hunter', 'mccloud,lee', 'whalen,mac', 'jones,ron']",1187.0,covenant,1,0.0,2.0
1,1,747,Berry College,Covenant,0,71-65,"25,40","33,38",0-1,1-0,,,11/15/13,8 P.M.,,"Rome, Ga.",Lose,2,False,500,False,--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1,defensive rebound,,covenant,,,"['mcgriff,colton', 'turner,micah', 'frierson,nate', 'delaney,jake', 'engbers,bryant']","['jacobs,owen', 'smoak,hunter', 'mccloud,lee', 'whalen,mac', 'jones,ron']",,covenant,1,0.0,2.0
2,2,747,Berry College,Covenant,0,71-65,"25,40","33,38",0-1,1-0,,,11/15/13,8 P.M.,,"Rome, Ga.",Lose,2,False,500,False,19:29,"GOOD JUMPER by TURNER,MICAH",2.0,,0.0,,CCM 2-0 (-2),,"GOOD JUMPER by TURNER,MICAH",1,jumper,good,covenant,"turner,micah",2.0,"['mcgriff,colton', 'turner,micah', 'frierson,nate', 'delaney,jake', 'engbers,bryant']","['jacobs,owen', 'smoak,hunter', 'mccloud,lee', 'whalen,mac', 'jones,ron']",1169.0,covenant,1,2.0,2.0
3,3,747,Berry College,Covenant,0,71-65,"25,40","33,38",0-1,1-0,,,11/15/13,8 P.M.,,"Rome, Ga.",Lose,2,False,500,False,19:09,,2.0,,3.0,"GOOD 3PTR by WHALEN,MAC",BCM 2-3 (+1),,"GOOD 3PTR by WHALEN,MAC",1,three pointer,good,berry college,"whalen,mac",3.0,"['mcgriff,colton', 'turner,micah', 'frierson,nate', 'delaney,jake', 'engbers,bryant']","['jacobs,owen', 'smoak,hunter', 'mccloud,lee', 'whalen,mac', 'jones,ron']",1149.0,berry college,2,0.0,3.0
4,4,747,Berry College,Covenant,0,71-65,"25,40","33,38",0-1,1-0,,,11/15/13,8 P.M.,,"Rome, Ga.",Lose,2,False,500,False,--,,2.0,,3.0,"ASSIST  by SMOAK,HUNTER",,,"ASSIST  by SMOAK,HUNTER",1,assist,,berry college,"smoak,hunter",,"['mcgriff,colton', 'turner,micah', 'frierson,nate', 'delaney,jake', 'engbers,bryant']","['jacobs,owen', 'smoak,hunter', 'mccloud,lee', 'whalen,mac', 'jones,ron']",,berry college,2,3.0,3.0
5,5,747,Berry College,Covenant,0,71-65,"25,40","33,38",0-1,1-0,,,11/15/13,8 P.M.,,"Rome, Ga.",Lose,2,False,500,False,18:43,,2.0,,3.0,"FOUL  by JACOBS,OWEN",,,"FOUL  by JACOBS,OWEN",1,foul,,berry college,"jacobs,owen",,"['mcgriff,colton', 'turner,micah', 'frierson,nate', 'delaney,jake', 'engbers,bryant']","['jacobs,owen', 'smoak,hunter', 'mccloud,lee', 'whalen,mac', 'jones,ron']",1123.0,covenant,3,0.0,0.0
6,6,747,Berry College,Covenant,0,71-65,"25,40","33,38",0-1,1-0,,,11/15/13,8 P.M.,,"Rome, Ga.",Lose,2,False,500,False,18:31,"MISS JUMPER by MCGRIFF,COLTON",2.0,,3.0,,,,"MISS JUMPER by MCGRIFF,COLTON",1,jumper,missed,covenant,"mcgriff,colton",,"['mcgriff,colton', 'turner,micah', 'frierson,nate', 'delaney,jake', 'engbers,bryant']","['jacobs,owen', 'smoak,hunter', 'mccloud,lee', 'whalen,mac', 'jones,ron']",1111.0,covenant,3,0.0,0.0
7,7,747,Berry College,Covenant,0,71-65,"25,40","33,38",0-1,1-0,,,11/15/13,8 P.M.,,"Rome, Ga.",Lose,2,False,500,False,--,"REBOUND OFF by ENGBERS,BRYANT",2.0,,3.0,,,,"REBOUND OFF by ENGBERS,BRYANT",1,offensive rebound,,covenant,"engbers,bryant",,"['mcgriff,colton', 'turner,micah', 'frierson,nate', 'delaney,jake', 'engbers,bryant']","['jacobs,owen', 'smoak,hunter', 'mccloud,lee', 'whalen,mac', 'jones,ron']",,covenant,3,0.0,0.0
8,8,747,Berry College,Covenant,0,71-65,"25,40","33,38",0-1,1-0,,,11/15/13,8 P.M.,,"Rome, Ga.",Lose,2,False,500,False,18:29,"TURNOVER  by ENGBERS,BRYANT",2.0,,3.0,,,,"TURNOVER  by ENGBERS,BRYANT",1,turnover,,covenant,"engbers,bryant",,"['mcgriff,colton', 'turner,micah', 'frierson,nate', 'delaney,jake', 'engbers,bryant']","['jacobs,owen', 'smoak,hunter', 'mccloud,lee', 'whalen,mac', 'jones,ron']",1109.0,covenant,3,0.0,0.0
9,9,747,Berry College,Covenant,0,71-65,"25,40","33,38",0-1,1-0,,,11/15/13,8 P.M.,,"Rome, Ga.",Lose,2,False,500,False,18:29,,2.0,,6.0,"GOOD 3PTR by SMOAK,HUNTER",BCM 2-6 (+4),,"GOOD 3PTR by SMOAK,HUNTER",1,three pointer,good,berry college,"smoak,hunter",3.0,"['mcgriff,colton', 'turner,micah', 'frierson,nate', 'delaney,jake', 'engbers,bryant']","['jacobs,owen', 'smoak,hunter', 'mccloud,lee', 'whalen,mac', 'jones,ron']",1109.0,berry college,4,3.0,3.0
10,10,747,Berry College,Covenant,0,71-65,"25,40","33,38",0-1,1-0,,,11/15/13,8 P.M.,,"Rome, Ga.",Lose,2,False,500,False,18:22,"MISS LAYUP by MCGRIFF,COLTON",2.0,,6.0,,,,"MISS LAYUP by MCGRIFF,COLTON",1,layup,missed,covenant,"mcgriff,colton",,"['mcgriff,colton', 'turner,micah', 'frierson,nate', 'delaney,jake', 'engbers,bryant']","['jacobs,owen', 'smoak,hunter', 'mccloud,lee', 'whalen,mac', 'jones,ron']",1102.0,covenant,5,0.0,3.0
11,11,747,Berry College,Covenant,0,71-65,"25,40","33,38",0-1,1-0,,,11/15/13,8 P.M.,,"Rome, Ga.",Lose,2,False,500,False,--,"REBOUND OFF by MCGRIFF,COLTON",2.0,,6.0,,,,"REBOUND OFF by MCGRIFF,COLTON",1,offensive rebound,,covenant,"mcgriff,colton",,"['mcgriff,colton', 'turner,micah', 'frierson,nate', 'delaney,jake', 'engbers,bryant']","['jacobs,owen', 'smoak,hunter', 'mccloud,lee', 'whalen,mac', 'jones,ron']",,covenant,5,0.0,3.0
12,12,747,Berry College,Covenant,0,71-65,"25,40","33,38",0-1,1-0,,,11/15/13,8 P.M.,,"Rome, Ga.",Lose,2,False,500,False,18:18,"GOOD LAYUP by MCGRIFF,COLTON(in the paint)",4.0,,6.0,,CCM 4-6 (+2),,"GOOD LAYUP by MCGRIFF,COLTON(in the paint)",1,layup,good,covenant,"mcgriff,colton",2.0,"['mcgriff,colton', 'turner,micah', 'frierson,nate', 'delaney,jake', 'engbers,bryant']","['jacobs,owen', 'smoak,hunter', 'mccloud,lee', 'whalen,mac', 'jones,ron']",1098.0,covenant,5,0.0,3.0
13,13,747,Berry College,Covenant,0,71-65,"25,40","33,38",0-1,1-0,,,11/15/13,8 P.M.,,"Rome, Ga.",Lose,2,False,500,False,18:16,,4.0,,6.0,"FOUL  by MCCLOUD,LEE",,,"FOUL  by MCCLOUD,LEE",1,foul,,berry college,"mccloud,lee",,"['mcgriff,colton', 'turner,micah', 'frierson,nate', 'delaney,jake', 'engbers,bryant']","['jacobs,owen', 'smoak,hunter', 'mccloud,lee', 'whalen,mac', 'jones,ron']",1096.0,covenant,5,0.0,3.0
14,14,747,Berry College,Covenant,0,71-65,"25,40","33,38",0-1,1-0,,,11/15/13,8 P.M.,,"Rome, Ga.",Lose,2,False,500,False,18:16,"GOOD FT by MCGRIFF,COLTON",5.0,,6.0,,CCM 5-6 (+1),,"GOOD FT by MCGRIFF,COLTON",1,free throw,good,covenant,"mcgriff,colton",1.0,"['mcgriff,colton', 'turner,micah', 'frierson,nate', 'delaney,jake', 'engbers,bryant']","['jacobs,owen', 'smoak,hunter', 'mccloud,lee', 'whalen,mac', 'jones,ron']",1096.0,covenant,5,3.0,3.0
15,15,747,Berry College,Covenant,0,71-65,"25,40","33,38",0-1,1-0,,,11/15/13,8 P.M.,,"Rome, Ga.",Lose,2,False,500,False,18:14,,5.0,,6.0,"MISS 3PTR by JONES,RON",,,"MISS 3PTR by JONES,RON",1,three pointer,missed,berry college,"jones,ron",,"['mcgriff,colton', 'turner,micah', 'frierson,nate', 'delaney,jake', 'engbers,bryant']","['jacobs,owen', 'smoak,hunter', 'mccloud,lee', 'whalen,mac', 'jones,ron']",1094.0,berry college,6,0.0,0.0
16,16,747,Berry College,Covenant,0,71-65,"25,40","33,38",0-1,1-0,,,11/15/13,8 P.M.,,"Rome, Ga.",Lose,2,False,500,False,--,"REBOUND DEF by FRIERSON,NATE",5.0,,6.0,,,,"REBOUND DEF by FRIERSON,NATE",1,defensive rebound,,covenant,"frierson,nate",,"['mcgriff,colton', 'turner,micah', 'frierson,nate', 'delaney,jake', 'engbers,bryant']","['jacobs,owen', 'smoak,hunter', 'mccloud,lee', 'whalen,mac', 'jones,ron']",,berry college,6,0.0,0.0
17,17,747,Berry College,Covenant,0,71-65,"25,40","33,38",0-1,1-0,,,11/15/13,8 P.M.,,"Rome, Ga.",Lose,2,False,500,False,18:08,"GOOD LAYUP by MCGRIFF,COLTON(fastbreak)(in the paint)",7.0,,6.0,,CCM 7-6 (-1),,"GOOD LAYUP by MCGRIFF,COLTON(fastbreak)(in the paint)",1,layup,good,covenant,"mcgriff,colton(fastbreak)",2.0,"['mcgriff,colton', 'turner,micah', 'frierson,nate', 'delaney,jake', 'engbers,bryant']","['jacobs,owen', 'smoak,hunter', 'mccloud,lee', 'whalen,mac', 'jones,ron']",1088.0,covenant,7,0.0,2.0
18,18,747,Berry College,Covenant,0,71-65,"25,40","33,38",0-1,1-0,,,11/15/13,8 P.M.,,"Rome, Ga.",Lose,2,False,500,False,--,"ASSIST  by FRIERSON,NATE",7.0,,6.0,,,,"ASSIST  by FRIERSON,NATE",1,assist,,covenant,"frierson,nate",,"['mcgriff,colton', 'turner,micah', 'frierson,nate', 'delaney,jake', 'engbers,bryant']","['jacobs,owen', 'smoak,hunter', 'mccloud,lee', 'whalen,mac', 'jones,ron']",,covenant,7,2.0,2.0
19,19,747,Berry College,Covenant,0,71-65,"25,40","33,38",0-1,1-0,,,11/15/13,8 P.M.,,"Rome, Ga.",Lose,2,False,500,False,17:49,,7.0,,6.0,"MISS 3PTR by MCCLOUD,LEE",,,"MISS 3PTR by MCCLOUD,LEE",1,three pointer,missed,berry college,"mccloud,lee",,"['mcgriff,colton', 'turner,micah', 'frierson,nate', 'delaney,jake', 'engbers,bryant']","['jacobs,owen', 'smoak,hunter', 'mccloud,lee', 'whalen,mac', 'jones,ron']",1069.0,berry college,8,0.0,0.0
20,20,747,Berry College,Covenant,0,71-65,"25,40","33,38",0-1,1-0,,,11/15/13,8 P.M.,,"Rome, Ga.",Lose,2,False,500,False,--,"REBOUND DEF by TURNER,MICAH",7.0,,6.0,,,,"REBOUND DEF by TURNER,MICAH",1,defensive rebound,,covenant,"turner,micah",,"['mcgriff,colton', 'turner,micah', 'frierson,nate', 'delaney,jake', 'engbers,bryant']","['jacobs,owen', 'smoak,hunter', 'mccloud,lee', 'whalen,mac', 'jones,ron']",,berry college,8,0.0,0.0
21,21,747,Berry College,Covenant,0,71-65,"25,40","33,38",0-1,1-0,,,11/15/13,8 P.M.,,"Rome, Ga.",Lose,2,False,500,False,17:30,"GOOD 3PTR by MCGRIFF,COLTON",10.0,,6.0,,CCM 10-6 (-4),,"GOOD 3PTR by MCGRIFF,COLTON",1,three pointer,good,covenant,"mcgriff,colton",3.0,"['mcgriff,colton', 'turner,micah', 'frierson,nate', 'delaney,jake', 'engbers,bryant']","['jacobs,owen', 'smoak,hunter', 'mccloud,lee', 'whalen,mac', 'jones,ron']",1050.0,covenant,9,0.0,3.0
