,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,Time Remaining,away_play,Away Team Score,Play Team Indicator,Home Team Score,home_play,Game Score,Team Indicator,Play,Period,Play Type,Shot Outcome,Team,Player,Points Earned,Away Lineup,Home Lineup,Time(seconds),Poss,Poss_num,PPP_Home,PPP_Away
0,0,757,Berry College,LaGrange,0,119-91,"34,57","60,59",3-8,8-5,,,01/08/14,7 p.m.,,"Rome, Ga. (Cage Center)",Lose,2,False,277,False,19:51,"GOOD 3PTR by BAXTER,DUSTIN",3,,0,,LCM 3-0 (-3),,"GOOD 3PTR by BAXTER,DUSTIN",1,three pointer,good,lagrange,"baxter,dustin",3.0,"['wagner,mark', 'dugger,patrick', 'robinson,denzel', 'mitchell,nick', 'baxter,dustin']","['whalen,mac', 'smoak,hunter', 'jacobs,owen', 'wright,jake', 'cotter,douglas']",1191.0,berry college,1,0.0,3.0
1,1,757,Berry College,LaGrange,0,119-91,"34,57","60,59",3-8,8-5,,,01/08/14,7 p.m.,,"Rome, Ga. (Cage Center)",Lose,2,False,277,False,19:38,,3,,0,"TURNOVER  by SMOAK,HUNTER",,,"TURNOVER  by SMOAK,HUNTER",1,turnover,,berry college,"smoak,hunter",,"['wagner,mark', 'dugger,patrick', 'robinson,denzel', 'mitchell,nick', 'baxter,dustin']","['whalen,mac', 'smoak,hunter', 'jacobs,owen', 'wright,jake', 'cotter,douglas']",1178.0,berry college,1,0.0,3.0
2,2,757,Berry College,LaGrange,0,119-91,"34,57","60,59",3-8,8-5,,,01/08/14,7 p.m.,,"Rome, Ga. (Cage Center)",Lose,2,False,277,False,19:36,"STEAL  by BAXTER,DUSTIN",3,,0,,,,"STEAL  by BAXTER,DUSTIN",1,steal,,lagrange,,,"['wagner,mark', 'dugger,patrick', 'robinson,denzel', 'mitchell,nick', 'baxter,dustin']","['whalen,mac', 'smoak,hunter', 'jacobs,owen', 'wright,jake', 'cotter,douglas']",1176.0,berry college,1,3.0,3.0
3,3,757,Berry College,LaGrange,0,119-91,"34,57","60,59",3-8,8-5,,,01/08/14,7 p.m.,,"Rome, Ga. (Cage Center)",Lose,2,False,277,False,19:30,"GOOD 3PTR by BAXTER,DUSTIN",6,,0,,LCM 6-0 (-6),,"GOOD 3PTR by BAXTER,DUSTIN",1,three pointer,good,lagrange,"baxter,dustin",3.0,"['wagner,mark', 'dugger,patrick', 'robinson,denzel', 'mitchell,nick', 'baxter,dustin']","['whalen,mac', 'smoak,hunter', 'jacobs,owen', 'wright,jake', 'cotter,douglas']",1170.0,lagrange,2,0.0,3.0
4,4,757,Berry College,LaGrange,0,119-91,"34,57","60,59",3-8,8-5,,,01/08/14,7 p.m.,,"Rome, Ga. (Cage Center)",Lose,2,False,277,False,--,"ASSIST  by ROBINSON,DENZEL",6,,0,,,,"ASSIST  by ROBINSON,DENZEL",1,assist,,lagrange,"robinson,denzel",,"['wagner,mark', 'dugger,patrick', 'robinson,denzel', 'mitchell,nick', 'baxter,dustin']","['whalen,mac', 'smoak,hunter', 'jacobs,owen', 'wright,jake', 'cotter,douglas']",,lagrange,2,3.0,3.0
5,5,757,Berry College,LaGrange,0,119-91,"34,57","60,59",3-8,8-5,,,01/08/14,7 p.m.,,"Rome, Ga. (Cage Center)",Lose,2,False,277,False,18:57,,6,,0,"MISS 3PTR by WHALEN,MAC",,,"MISS 3PTR by WHALEN,MAC",1,three pointer,missed,berry college,"whalen,mac",,"['wagner,mark', 'dugger,patrick', 'robinson,denzel', 'mitchell,nick', 'baxter,dustin']","['whalen,mac', 'smoak,hunter', 'jacobs,owen', 'wright,jake', 'cotter,douglas']",1137.0,berry college,3,0.0,0.0
6,6,757,Berry College,LaGrange,0,119-91,"34,57","60,59",3-8,8-5,,,01/08/14,7 p.m.,,"Rome, Ga. (Cage Center)",Lose,2,False,277,False,--,"REBOUND DEF by DUGGER,PATRICK",6,,0,,,,"REBOUND DEF by DUGGER,PATRICK",1,defensive rebound,,lagrange,"dugger,patrick",,"['wagner,mark', 'dugger,patrick', 'robinson,denzel', 'mitchell,nick', 'baxter,dustin']","['whalen,mac', 'smoak,hunter', 'jacobs,owen', 'wright,jake', 'cotter,douglas']",,berry college,3,0.0,0.0
7,7,757,Berry College,LaGrange,0,119-91,"34,57","60,59",3-8,8-5,,,01/08/14,7 p.m.,,"Rome, Ga. (Cage Center)",Lose,2,False,277,False,18:49,,6,,0,"FOUL  by WHALEN,MAC",,,"FOUL  by WHALEN,MAC",1,foul,,berry college,"whalen,mac",,"['wagner,mark', 'dugger,patrick', 'robinson,denzel', 'mitchell,nick', 'baxter,dustin']","['whalen,mac', 'smoak,hunter', 'jacobs,owen', 'wright,jake', 'cotter,douglas']",1129.0,lagrange,4,0.0,3.0
8,8,757,Berry College,LaGrange,0,119-91,"34,57","60,59",3-8,8-5,,,01/08/14,7 p.m.,,"Rome, Ga. (Cage Center)",Lose,2,False,277,False,18:36,"GOOD 3PTR by WAGNER,MARK",9,,0,,LCM 9-0 (-9),,"GOOD 3PTR by WAGNER,MARK",1,three pointer,good,lagrange,"wagner,mark",3.0,"['wagner,mark', 'dugger,patrick', 'robinson,denzel', 'mitchell,nick', 'baxter,dustin']","['whalen,mac', 'smoak,hunter', 'jacobs,owen', 'wright,jake', 'cotter,douglas']",1116.0,lagrange,4,0.0,3.0
9,9,757,Berry College,LaGrange,0,119-91,"34,57","60,59",3-8,8-5,,,01/08/14,7 p.m.,,"Rome, Ga. (Cage Center)",Lose,2,False,277,False,--,"ASSIST  by ROBINSON,DENZEL",9,,0,,,,"ASSIST  by ROBINSON,DENZEL",1,assist,,lagrange,"robinson,denzel",,"['wagner,mark', 'dugger,patrick', 'robinson,denzel', 'mitchell,nick', 'baxter,dustin']","['whalen,mac', 'smoak,hunter', 'jacobs,owen', 'wright,jake', 'cotter,douglas']",,lagrange,4,3.0,3.0
