,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,Time Remaining,away_play,Away Team Score,Play Team Indicator,Home Team Score,home_play,Game Score,Team Indicator,Play,Period,Play Type,Shot Outcome,Team,Player,Points Earned,Away Lineup,Home Lineup,Time(seconds),Poss,Poss_num,PPP_Home,PPP_Away
0,0,788,MILLSAPS-MEN,BCMBB,1,66-51,"17,34","26,40",5-12,5-11,1-5,1-5,01/25/15,3:00 PM,,"Hangar Dome, Jackson MS",Lose,2,False,275,False,19:25,,,,,"MISS JUMPER by MOORE,MYLES",,,"MISS JUMPER by MOORE,MYLES",1,jumper,missed,millsaps-men,"moore,myles",,"['chaykowsky,zack', 'ellingsworth,coleman', 'mccloud,lee', 'korn,lukas', 'marder,nick']","['moore,myles', 'robertson,marc', 'aubert,dustin', 'gerchow,alex', 'gagen,brennan']",1165.0,millsaps-men,1,0.0,2.0
1,1,788,MILLSAPS-MEN,BCMBB,1,66-51,"17,34","26,40",5-12,5-11,1-5,1-5,01/25/15,3:00 PM,,"Hangar Dome, Jackson MS",Lose,2,False,275,False,--,,,,,"REBOUND OFF by MOORE,MYLES",,,"REBOUND OFF by MOORE,MYLES",1,offensive rebound,,millsaps-men,"moore,myles",,"['chaykowsky,zack', 'ellingsworth,coleman', 'mccloud,lee', 'korn,lukas', 'marder,nick']","['moore,myles', 'robertson,marc', 'aubert,dustin', 'gerchow,alex', 'gagen,brennan']",,millsaps-men,1,0.0,2.0
2,2,788,MILLSAPS-MEN,BCMBB,1,66-51,"17,34","26,40",5-12,5-11,1-5,1-5,01/25/15,3:00 PM,,"Hangar Dome, Jackson MS",Lose,2,False,275,False,19:17,,0.0,,2.0,"GOOD TIPIN by MOORE,MYLES(in the paint)",MILLSAPS 0-2 (-2),,"GOOD TIPIN by MOORE,MYLES(in the paint)",1,tipin,good,millsaps-men,"moore,myles",2.0,"['chaykowsky,zack', 'ellingsworth,coleman', 'mccloud,lee', 'korn,lukas', 'marder,nick']","['moore,myles', 'robertson,marc', 'aubert,dustin', 'gerchow,alex', 'gagen,brennan']",1157.0,millsaps-men,1,2.0,2.0
3,3,788,MILLSAPS-MEN,BCMBB,1,66-51,"17,34","26,40",5-12,5-11,1-5,1-5,01/25/15,3:00 PM,,"Hangar Dome, Jackson MS",Lose,2,False,275,False,19:00,"MISS 3PTR by CHAYKOWSKY,ZACK",0.0,,2.0,,,,"MISS 3PTR by CHAYKOWSKY,ZACK",1,three pointer,missed,bcmbb,"chaykowsky,zack",,"['chaykowsky,zack', 'ellingsworth,coleman', 'mccloud,lee', 'korn,lukas', 'marder,nick']","['moore,myles', 'robertson,marc', 'aubert,dustin', 'gerchow,alex', 'gagen,brennan']",1140.0,bcmbb,2,0.0,0.0
4,4,788,MILLSAPS-MEN,BCMBB,1,66-51,"17,34","26,40",5-12,5-11,1-5,1-5,01/25/15,3:00 PM,,"Hangar Dome, Jackson MS",Lose,2,False,275,False,--,,0.0,,2.0,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,millsaps-men,,,"['chaykowsky,zack', 'ellingsworth,coleman', 'mccloud,lee', 'korn,lukas', 'marder,nick']","['moore,myles', 'robertson,marc', 'aubert,dustin', 'gerchow,alex', 'gagen,brennan']",,bcmbb,2,0.0,0.0
5,5,788,MILLSAPS-MEN,BCMBB,1,66-51,"17,34","26,40",5-12,5-11,1-5,1-5,01/25/15,3:00 PM,,"Hangar Dome, Jackson MS",Lose,2,False,275,False,18:57,"FOUL  by MCCLOUD,LEE",0.0,,2.0,,,,"FOUL  by MCCLOUD,LEE",1,foul,,bcmbb,"mccloud,lee",,"['chaykowsky,zack', 'ellingsworth,coleman', 'mccloud,lee', 'korn,lukas', 'marder,nick']","['moore,myles', 'robertson,marc', 'aubert,dustin', 'gerchow,alex', 'gagen,brennan']",1137.0,bcmbb,2,0.0,0.0
6,6,788,MILLSAPS-MEN,BCMBB,1,66-51,"17,34","26,40",5-12,5-11,1-5,1-5,01/25/15,3:00 PM,,"Hangar Dome, Jackson MS",Lose,2,False,275,False,18:41,,0.0,,2.0,"TURNOVER  by GAGEN,BRENNAN",,,"TURNOVER  by GAGEN,BRENNAN",1,turnover,,millsaps-men,"gagen,brennan",,"['chaykowsky,zack', 'ellingsworth,coleman', 'mccloud,lee', 'korn,lukas', 'marder,nick']","['moore,myles', 'robertson,marc', 'aubert,dustin', 'gerchow,alex', 'gagen,brennan']",1121.0,bcmbb,2,0.0,0.0
7,7,788,MILLSAPS-MEN,BCMBB,1,66-51,"17,34","26,40",5-12,5-11,1-5,1-5,01/25/15,3:00 PM,,"Hangar Dome, Jackson MS",Lose,2,False,275,False,18:39,,0.0,,2.0,"FOUL  by AUBERT,DUSTIN",,,"FOUL  by AUBERT,DUSTIN",1,foul,,millsaps-men,"aubert,dustin",,"['chaykowsky,zack', 'ellingsworth,coleman', 'mccloud,lee', 'korn,lukas', 'marder,nick']","['moore,myles', 'robertson,marc', 'aubert,dustin', 'gerchow,alex', 'gagen,brennan']",1119.0,bcmbb,2,0.0,0.0
8,8,788,MILLSAPS-MEN,BCMBB,1,66-51,"17,34","26,40",5-12,5-11,1-5,1-5,01/25/15,3:00 PM,,"Hangar Dome, Jackson MS",Lose,2,False,275,False,18:23,"TURNOVER  by ELLINGSWORTH,COLEMAN",0.0,,2.0,,,,"TURNOVER  by ELLINGSWORTH,COLEMAN",1,turnover,,bcmbb,"ellingsworth,coleman",,"['chaykowsky,zack', 'ellingsworth,coleman', 'mccloud,lee', 'korn,lukas', 'marder,nick']","['moore,myles', 'robertson,marc', 'aubert,dustin', 'gerchow,alex', 'gagen,brennan']",1103.0,bcmbb,2,0.0,0.0
9,9,788,MILLSAPS-MEN,BCMBB,1,66-51,"17,34","26,40",5-12,5-11,1-5,1-5,01/25/15,3:00 PM,,"Hangar Dome, Jackson MS",Lose,2,False,275,False,18:21,,0.0,,2.0,"STEAL  by ROBERTSON,MARC",,,"STEAL  by ROBERTSON,MARC",1,steal,,millsaps-men,,,"['chaykowsky,zack', 'ellingsworth,coleman', 'mccloud,lee', 'korn,lukas', 'marder,nick']","['moore,myles', 'robertson,marc', 'aubert,dustin', 'gerchow,alex', 'gagen,brennan']",1101.0,bcmbb,2,0.0,0.0
10,10,788,MILLSAPS-MEN,BCMBB,1,66-51,"17,34","26,40",5-12,5-11,1-5,1-5,01/25/15,3:00 PM,,"Hangar Dome, Jackson MS",Lose,2,False,275,False,18:19,"FOUL  by CHAYKOWSKY,ZACK",0.0,,2.0,,,,"FOUL  by CHAYKOWSKY,ZACK",1,foul,,bcmbb,"chaykowsky,zack",,"['chaykowsky,zack', 'ellingsworth,coleman', 'mccloud,lee', 'korn,lukas', 'marder,nick']","['moore,myles', 'robertson,marc', 'aubert,dustin', 'gerchow,alex', 'gagen,brennan']",1099.0,millsaps-men,3,0.0,2.0
11,11,788,MILLSAPS-MEN,BCMBB,1,66-51,"17,34","26,40",5-12,5-11,1-5,1-5,01/25/15,3:00 PM,,"Hangar Dome, Jackson MS",Lose,2,False,275,False,18:19,,0.0,,3.0,"GOOD FT by MOORE,MYLES",MILLSAPS 0-3 (-3),,"GOOD FT by MOORE,MYLES",1,free throw,good,millsaps-men,"moore,myles",1.0,"['chaykowsky,zack', 'ellingsworth,coleman', 'mccloud,lee', 'korn,lukas', 'marder,nick']","['moore,myles', 'robertson,marc', 'aubert,dustin', 'gerchow,alex', 'gagen,brennan']",1099.0,millsaps-men,3,0.0,2.0
12,12,788,MILLSAPS-MEN,BCMBB,1,66-51,"17,34","26,40",5-12,5-11,1-5,1-5,01/25/15,3:00 PM,,"Hangar Dome, Jackson MS",Lose,2,False,275,False,18:19,,0.0,,4.0,"GOOD FT by MOORE,MYLES",MILLSAPS 0-4 (-4),,"GOOD FT by MOORE,MYLES",1,free throw,good,millsaps-men,"moore,myles",1.0,"['chaykowsky,zack', 'ellingsworth,coleman', 'mccloud,lee', 'korn,lukas', 'marder,nick']","['moore,myles', 'robertson,marc', 'aubert,dustin', 'gerchow,alex', 'gagen,brennan']",1099.0,millsaps-men,3,2.0,2.0
13,13,788,MILLSAPS-MEN,BCMBB,1,66-51,"17,34","26,40",5-12,5-11,1-5,1-5,01/25/15,3:00 PM,,"Hangar Dome, Jackson MS",Lose,2,False,275,False,18:07,"MISS JUMPER by CHAYKOWSKY,ZACK",0.0,,4.0,,,,"MISS JUMPER by CHAYKOWSKY,ZACK",1,jumper,missed,bcmbb,"chaykowsky,zack",,"['chaykowsky,zack', 'ellingsworth,coleman', 'mccloud,lee', 'korn,lukas', 'marder,nick']","['moore,myles', 'robertson,marc', 'aubert,dustin', 'gerchow,alex', 'gagen,brennan']",1087.0,bcmbb,4,0.0,0.0
14,14,788,MILLSAPS-MEN,BCMBB,1,66-51,"17,34","26,40",5-12,5-11,1-5,1-5,01/25/15,3:00 PM,,"Hangar Dome, Jackson MS",Lose,2,False,275,False,--,"REBOUND OFF by KORN,LUKAS",0.0,,4.0,,,,"REBOUND OFF by KORN,LUKAS",1,offensive rebound,,bcmbb,"korn,lukas",,"['chaykowsky,zack', 'ellingsworth,coleman', 'mccloud,lee', 'korn,lukas', 'marder,nick']","['moore,myles', 'robertson,marc', 'aubert,dustin', 'gerchow,alex', 'gagen,brennan']",,bcmbb,4,0.0,0.0
15,15,788,MILLSAPS-MEN,BCMBB,1,66-51,"17,34","26,40",5-12,5-11,1-5,1-5,01/25/15,3:00 PM,,"Hangar Dome, Jackson MS",Lose,2,False,275,False,18:02,"MISS JUMPER by KORN,LUKAS",0.0,,4.0,,,,"MISS JUMPER by KORN,LUKAS",1,jumper,missed,bcmbb,"korn,lukas",,"['chaykowsky,zack', 'ellingsworth,coleman', 'mccloud,lee', 'korn,lukas', 'marder,nick']","['moore,myles', 'robertson,marc', 'aubert,dustin', 'gerchow,alex', 'gagen,brennan']",1082.0,bcmbb,4,0.0,0.0
16,16,788,MILLSAPS-MEN,BCMBB,1,66-51,"17,34","26,40",5-12,5-11,1-5,1-5,01/25/15,3:00 PM,,"Hangar Dome, Jackson MS",Lose,2,False,275,False,--,,0.0,,4.0,"REBOUND DEF by GAGEN,BRENNAN",,,"REBOUND DEF by GAGEN,BRENNAN",1,defensive rebound,,millsaps-men,"gagen,brennan",,"['chaykowsky,zack', 'ellingsworth,coleman', 'mccloud,lee', 'korn,lukas', 'marder,nick']","['moore,myles', 'robertson,marc', 'aubert,dustin', 'gerchow,alex', 'gagen,brennan']",,bcmbb,4,0.0,0.0
17,17,788,MILLSAPS-MEN,BCMBB,1,66-51,"17,34","26,40",5-12,5-11,1-5,1-5,01/25/15,3:00 PM,,"Hangar Dome, Jackson MS",Lose,2,False,275,False,17:46,,0.0,,4.0,"TURNOVER  by AUBERT,DUSTIN",,,"TURNOVER  by AUBERT,DUSTIN",1,turnover,,millsaps-men,"aubert,dustin",,"['chaykowsky,zack', 'ellingsworth,coleman', 'mccloud,lee', 'korn,lukas', 'marder,nick']","['moore,myles', 'robertson,marc', 'aubert,dustin', 'gerchow,alex', 'gagen,brennan']",1066.0,millsaps-men,5,0.0,0.0
18,18,788,MILLSAPS-MEN,BCMBB,1,66-51,"17,34","26,40",5-12,5-11,1-5,1-5,01/25/15,3:00 PM,,"Hangar Dome, Jackson MS",Lose,2,False,275,False,17:46,"SUB IN by JACOBS,OWEN",0.0,,4.0,,,,"SUB IN by JACOBS,OWEN",1,subbing in,,bcmbb,"jacobs,owen",,"['chaykowsky,zack', 'ellingsworth,coleman', 'mccloud,lee', 'korn,lukas', 'marder,nick', 'jacobs,owen']","['moore,myles', 'robertson,marc', 'aubert,dustin', 'gerchow,alex', 'gagen,brennan']",1066.0,bcmbb,6,0.0,0.0
19,19,788,MILLSAPS-MEN,BCMBB,1,66-51,"17,34","26,40",5-12,5-11,1-5,1-5,01/25/15,3:00 PM,,"Hangar Dome, Jackson MS",Lose,2,False,275,False,17:46,"SUB IN by HARVILLE,TYLER",0.0,,4.0,,,,"SUB IN by HARVILLE,TYLER",1,subbing in,,bcmbb,"harville,tyler",,"['chaykowsky,zack', 'ellingsworth,coleman', 'mccloud,lee', 'korn,lukas', 'marder,nick', 'jacobs,owen', 'harville,tyler']","['moore,myles', 'robertson,marc', 'aubert,dustin', 'gerchow,alex', 'gagen,brennan']",1066.0,bcmbb,6,0.0,0.0
20,20,788,MILLSAPS-MEN,BCMBB,1,66-51,"17,34","26,40",5-12,5-11,1-5,1-5,01/25/15,3:00 PM,,"Hangar Dome, Jackson MS",Lose,2,False,275,False,17:46,"SUB OUT by ELLINGSWORTH,COLEMAN",0.0,,4.0,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",1,subbing out,,bcmbb,"ellingsworth,coleman",,"['chaykowsky,zack', 'mccloud,lee', 'korn,lukas', 'marder,nick', 'jacobs,owen', 'harville,tyler']","['moore,myles', 'robertson,marc', 'aubert,dustin', 'gerchow,alex', 'gagen,brennan']",1066.0,bcmbb,6,0.0,0.0
