,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,Time Remaining,away_play,Away Team Score,Play Team Indicator,Home Team Score,home_play,Game Score,Team Indicator,Play,Period,Play Type,Shot Outcome,Team,Player,Points Earned,Away Lineup,Home Lineup,Time(seconds),Poss,Poss_num,PPP_Home,PPP_Away
0,0,812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,,,01/18/16,7 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,300,False,19:48,,,,,"MISS 3PTR by SCHERRMAN,BLAKE",,,"MISS 3PTR by SCHERRMAN,BLAKE",1,three pointer,missed,berry college,"scherrman,blake",,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",1188.0,berry college,1,0.0,0.0
1,1,812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,,,01/18/16,7 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,300,False,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,berry college,,,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",,berry college,1,0.0,0.0
2,2,812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,,,01/18/16,7 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,300,False,19:43,,,,,"TURNOVER  by NEWKIRK,KAHLIL",,,"TURNOVER  by NEWKIRK,KAHLIL",1,turnover,,berry college,"newkirk,kahlil",,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",1183.0,berry college,1,0.0,0.0
3,3,812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,,,01/18/16,7 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,300,False,19:34,"MISS LAYUP by SHANNON,BEN",,,,,,,"MISS LAYUP by SHANNON,BEN",1,layup,missed,rust college bearcats,"shannon,ben",,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",1174.0,rust college bearcats,2,0.0,1.0
4,4,812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,,,01/18/16,7 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,300,False,--,"REBOUND OFF by HOLMES,CARLOS",,,,,,,"REBOUND OFF by HOLMES,CARLOS",1,offensive rebound,,rust college bearcats,"holmes,carlos",,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",,rust college bearcats,2,0.0,1.0
5,5,812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,,,01/18/16,7 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,300,False,19:33,,,,,"FOUL  by SCHERRMAN,BLAKE",,,"FOUL  by SCHERRMAN,BLAKE",1,foul,,berry college,"scherrman,blake",,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",1173.0,rust college bearcats,2,0.0,1.0
6,6,812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,,,01/18/16,7 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,300,False,19:33,"MISS FT by SHANNON,BEN",,,,,,,"MISS FT by SHANNON,BEN",1,free throw,missed,rust college bearcats,"shannon,ben",,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",1173.0,rust college bearcats,2,0.0,1.0
7,7,812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,,,01/18/16,7 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,300,False,19:31,"GOOD FT by SHANNON,BEN",1.0,,0.0,,RUST 1-0 (-1),,"GOOD FT by SHANNON,BEN",1,free throw,good,rust college bearcats,"shannon,ben",1.0,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",1171.0,rust college bearcats,2,1.0,1.0
8,8,812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,,,01/18/16,7 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,300,False,19:31,"MISS FT by SHANNON,BEN",1.0,,0.0,,,,"MISS FT by SHANNON,BEN",1,free throw,missed,rust college bearcats,"shannon,ben",,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",1171.0,berry college,3,0.0,2.0
9,9,812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,,,01/18/16,7 p.m.,,"Rome, Ga. / Cage Center",Win,2,False,300,False,--,,1.0,,0.0,"REBOUND DEF by JACOBS,OWEN",,,"REBOUND DEF by JACOBS,OWEN",1,defensive rebound,,berry college,"jacobs,owen",,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",,berry college,3,0.0,2.0
