,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,Time Remaining,away_play,Away Team Score,Play Team Indicator,Home Team Score,home_play,Game Score,Team Indicator,Play,Period,Play Type,Shot Outcome,Team,Player,Points Earned,Away Lineup,Home Lineup,Time(seconds),Poss,Poss_num,PPP_Home,PPP_Away
0,0,3919,Berry,Centre,1,58-60,"23,37","28,30",16-7,20-3,7-5,10-2,02/07/20,8:00 PM,,"Mount Berry, GA",Win,2,False,842,False,19:41,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1,turnover,,berry,"ayers,perry",,"['walker,art', 'ayers,perry', 'bates,jacob', 'rakes,bailey', 'baughman,carter']","['estes,dj', 'haynes,caleb', 'cummings,drew', 'clark,ethan', 'costas,riley']",1181.0,centre,1,0,0.0
1,1,3919,Berry,Centre,1,58-60,"23,37","28,30",16-7,20-3,7-5,10-2,02/07/20,8:00 PM,,"Mount Berry, GA",Win,2,False,842,False,19:41,,,,,"STEAL  by ESTES,DJ",,,"STEAL  by ESTES,DJ",1,steal,,centre,,,"['walker,art', 'ayers,perry', 'bates,jacob', 'rakes,bailey', 'baughman,carter']","['estes,dj', 'haynes,caleb', 'cummings,drew', 'clark,ethan', 'costas,riley']",1181.0,centre,1,0,0.0
2,2,3919,Berry,Centre,1,58-60,"23,37","28,30",16-7,20-3,7-5,10-2,02/07/20,8:00 PM,,"Mount Berry, GA",Win,2,False,842,False,19:16,,,,,"MISS 3PTR by CLARK,ETHAN",,,"MISS 3PTR by CLARK,ETHAN",1,three pointer,missed,centre,"clark,ethan",,"['walker,art', 'ayers,perry', 'bates,jacob', 'rakes,bailey', 'baughman,carter']","['estes,dj', 'haynes,caleb', 'cummings,drew', 'clark,ethan', 'costas,riley']",1156.0,centre,1,0,0.0
3,3,3919,Berry,Centre,1,58-60,"23,37","28,30",16-7,20-3,7-5,10-2,02/07/20,8:00 PM,,"Mount Berry, GA",Win,2,False,842,False,--,"REBOUND DEF by BAUGHMAN,CARTER",,,,,,,"REBOUND DEF by BAUGHMAN,CARTER",1,defensive rebound,,berry,"baughman,carter",,"['walker,art', 'ayers,perry', 'bates,jacob', 'rakes,bailey', 'baughman,carter']","['estes,dj', 'haynes,caleb', 'cummings,drew', 'clark,ethan', 'costas,riley']",,centre,1,0,0.0
4,4,3919,Berry,Centre,1,58-60,"23,37","28,30",16-7,20-3,7-5,10-2,02/07/20,8:00 PM,,"Mount Berry, GA",Win,2,False,842,False,18:54,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1,three pointer,missed,berry,"baughman,carter",,"['walker,art', 'ayers,perry', 'bates,jacob', 'rakes,bailey', 'baughman,carter']","['estes,dj', 'haynes,caleb', 'cummings,drew', 'clark,ethan', 'costas,riley']",1134.0,berry,2,0,0.0
5,5,3919,Berry,Centre,1,58-60,"23,37","28,30",16-7,20-3,7-5,10-2,02/07/20,8:00 PM,,"Mount Berry, GA",Win,2,False,842,False,--,,,,,"REBOUND DEF by ESTES,DJ",,,"REBOUND DEF by ESTES,DJ",1,defensive rebound,,centre,"estes,dj",,"['walker,art', 'ayers,perry', 'bates,jacob', 'rakes,bailey', 'baughman,carter']","['estes,dj', 'haynes,caleb', 'cummings,drew', 'clark,ethan', 'costas,riley']",,berry,2,0,0.0
6,6,3919,Berry,Centre,1,58-60,"23,37","28,30",16-7,20-3,7-5,10-2,02/07/20,8:00 PM,,"Mount Berry, GA",Win,2,False,842,False,18:30,,,,,"MISS 3PTR by ESTES,DJ",,,"MISS 3PTR by ESTES,DJ",1,three pointer,missed,centre,"estes,dj",,"['walker,art', 'ayers,perry', 'bates,jacob', 'rakes,bailey', 'baughman,carter']","['estes,dj', 'haynes,caleb', 'cummings,drew', 'clark,ethan', 'costas,riley']",1110.0,centre,3,0,0.0
7,7,3919,Berry,Centre,1,58-60,"23,37","28,30",16-7,20-3,7-5,10-2,02/07/20,8:00 PM,,"Mount Berry, GA",Win,2,False,842,False,--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1,defensive rebound,,berry,"walker,art",,"['walker,art', 'ayers,perry', 'bates,jacob', 'rakes,bailey', 'baughman,carter']","['estes,dj', 'haynes,caleb', 'cummings,drew', 'clark,ethan', 'costas,riley']",,centre,3,0,0.0
8,8,3919,Berry,Centre,1,58-60,"23,37","28,30",16-7,20-3,7-5,10-2,02/07/20,8:00 PM,,"Mount Berry, GA",Win,2,False,842,False,18:10,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1,turnover,,berry,"ayers,perry",,"['walker,art', 'ayers,perry', 'bates,jacob', 'rakes,bailey', 'baughman,carter']","['estes,dj', 'haynes,caleb', 'cummings,drew', 'clark,ethan', 'costas,riley']",1090.0,berry,4,0,0.0
9,9,3919,Berry,Centre,1,58-60,"23,37","28,30",16-7,20-3,7-5,10-2,02/07/20,8:00 PM,,"Mount Berry, GA",Win,2,False,842,False,18:10,,,,,"STEAL  by HAYNES,CALEB",,,"STEAL  by HAYNES,CALEB",1,steal,,centre,,,"['walker,art', 'ayers,perry', 'bates,jacob', 'rakes,bailey', 'baughman,carter']","['estes,dj', 'haynes,caleb', 'cummings,drew', 'clark,ethan', 'costas,riley']",1090.0,berry,4,0,0.0
