,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,Time Remaining,away_play,Away Team Score,Play Team Indicator,Home Team Score,home_play,Game Score,Team Indicator,Play,Period,Play Type,Shot Outcome,Team,Player,Points Earned,Away Lineup,Home Lineup,Time(seconds),Poss,Poss_num,PPP_Home,PPP_Away
0,0,4756,Berry,Warren Wilson,0,60-86,"39,47","25,35",3-0,0-2,0-0,0-0,11/20/21,7:00 PM,,"The Cage Center, Rome, GA",Win,2,False,200,False,19:46,,0,,3,"GOOD 3PTR by ESTES,DJ",M-973 0-3 (+3),,"GOOD 3PTR by ESTES,DJ",1,three pointer,good,berry,"estes,dj",3.0,"['daye,jerry', 'jackson,demarco', 'bell,saiquan', 'carroll,kris', 'ledbetter,antonio']","['estes,dj', 'johnson,michael', 'costas,riley', 'honroth,owen', 'brooks,austin']",1186.0,warren wilson,1,0,0.0
1,1,4756,Berry,Warren Wilson,0,60-86,"39,47","25,35",3-0,0-2,0-0,0-0,11/20/21,7:00 PM,,"The Cage Center, Rome, GA",Win,2,False,200,False,19:26,"GOOD JUMPER by DAYE,JERRY(in the paint)",2,,3,,M-30236 2-3 (+1),,"GOOD JUMPER by DAYE,JERRY(in the paint)",1,jumper,good,warren wilson,"daye,jerry",2.0,"['daye,jerry', 'jackson,demarco', 'bell,saiquan', 'carroll,kris', 'ledbetter,antonio']","['estes,dj', 'johnson,michael', 'costas,riley', 'honroth,owen', 'brooks,austin']",1166.0,warren wilson,1,0,0.0
2,2,4756,Berry,Warren Wilson,0,60-86,"39,47","25,35",3-0,0-2,0-0,0-0,11/20/21,7:00 PM,,"The Cage Center, Rome, GA",Win,2,False,200,False,19:07,,2,,3,"MISS 3PTR by HONROTH,OWEN",,,"MISS 3PTR by HONROTH,OWEN",1,three pointer,missed,berry,"honroth,owen",,"['daye,jerry', 'jackson,demarco', 'bell,saiquan', 'carroll,kris', 'ledbetter,antonio']","['estes,dj', 'johnson,michael', 'costas,riley', 'honroth,owen', 'brooks,austin']",1147.0,warren wilson,1,0,0.0
3,3,4756,Berry,Warren Wilson,0,60-86,"39,47","25,35",3-0,0-2,0-0,0-0,11/20/21,7:00 PM,,"The Cage Center, Rome, GA",Win,2,False,200,False,--,,2,,3,"REBOUND OFF by COSTAS,RILEY",,,"REBOUND OFF by COSTAS,RILEY",1,offensive rebound,,berry,"costas,riley",,"['daye,jerry', 'jackson,demarco', 'bell,saiquan', 'carroll,kris', 'ledbetter,antonio']","['estes,dj', 'johnson,michael', 'costas,riley', 'honroth,owen', 'brooks,austin']",,warren wilson,1,0,0.0
4,4,4756,Berry,Warren Wilson,0,60-86,"39,47","25,35",3-0,0-2,0-0,0-0,11/20/21,7:00 PM,,"The Cage Center, Rome, GA",Win,2,False,200,False,18:54,,2,,3,"MISS LAYUP by COSTAS,RILEY(in the paint)",,,"MISS LAYUP by COSTAS,RILEY(in the paint)",1,layup,missed,berry,"costas,riley",,"['daye,jerry', 'jackson,demarco', 'bell,saiquan', 'carroll,kris', 'ledbetter,antonio']","['estes,dj', 'johnson,michael', 'costas,riley', 'honroth,owen', 'brooks,austin']",1134.0,warren wilson,1,0,0.0
5,5,4756,Berry,Warren Wilson,0,60-86,"39,47","25,35",3-0,0-2,0-0,0-0,11/20/21,7:00 PM,,"The Cage Center, Rome, GA",Win,2,False,200,False,--,"REBOUND DEF by CARROLL,KRIS",2,,3,,,,"REBOUND DEF by CARROLL,KRIS",1,defensive rebound,,warren wilson,"carroll,kris",,"['daye,jerry', 'jackson,demarco', 'bell,saiquan', 'carroll,kris', 'ledbetter,antonio']","['estes,dj', 'johnson,michael', 'costas,riley', 'honroth,owen', 'brooks,austin']",,warren wilson,1,0,0.0
6,6,4756,Berry,Warren Wilson,0,60-86,"39,47","25,35",3-0,0-2,0-0,0-0,11/20/21,7:00 PM,,"The Cage Center, Rome, GA",Win,2,False,200,False,18:40,"MISS JUMPER by JACKSON,DEMARCO(in the paint)",2,,3,,,,"MISS JUMPER by JACKSON,DEMARCO(in the paint)",1,jumper,missed,warren wilson,"jackson,demarco",,"['daye,jerry', 'jackson,demarco', 'bell,saiquan', 'carroll,kris', 'ledbetter,antonio']","['estes,dj', 'johnson,michael', 'costas,riley', 'honroth,owen', 'brooks,austin']",1120.0,warren wilson,1,0,0.0
7,7,4756,Berry,Warren Wilson,0,60-86,"39,47","25,35",3-0,0-2,0-0,0-0,11/20/21,7:00 PM,,"The Cage Center, Rome, GA",Win,2,False,200,False,18:40,,2,,3,"BLOCK  by BROOKS,AUSTIN",,,"BLOCK  by BROOKS,AUSTIN",1,block,,berry,"brooks,austin",,"['daye,jerry', 'jackson,demarco', 'bell,saiquan', 'carroll,kris', 'ledbetter,antonio']","['estes,dj', 'johnson,michael', 'costas,riley', 'honroth,owen', 'brooks,austin']",1120.0,warren wilson,1,0,0.0
8,8,4756,Berry,Warren Wilson,0,60-86,"39,47","25,35",3-0,0-2,0-0,0-0,11/20/21,7:00 PM,,"The Cage Center, Rome, GA",Win,2,False,200,False,--,,2,,3,"REBOUND DEF by BROOKS,AUSTIN",,,"REBOUND DEF by BROOKS,AUSTIN",1,defensive rebound,,berry,"brooks,austin",,"['daye,jerry', 'jackson,demarco', 'bell,saiquan', 'carroll,kris', 'ledbetter,antonio']","['estes,dj', 'johnson,michael', 'costas,riley', 'honroth,owen', 'brooks,austin']",,warren wilson,1,0,0.0
9,9,4756,Berry,Warren Wilson,0,60-86,"39,47","25,35",3-0,0-2,0-0,0-0,11/20/21,7:00 PM,,"The Cage Center, Rome, GA",Win,2,False,200,False,18:26,,2,,3,"MISS LAYUP by BROOKS,AUSTIN(in the paint)",,,"MISS LAYUP by BROOKS,AUSTIN(in the paint)",1,layup,missed,berry,"brooks,austin",,"['daye,jerry', 'jackson,demarco', 'bell,saiquan', 'carroll,kris', 'ledbetter,antonio']","['estes,dj', 'johnson,michael', 'costas,riley', 'honroth,owen', 'brooks,austin']",1106.0,berry,2,0,0.0
