,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,Time Remaining,away_play,Away Team Score,Play Team Indicator,Home Team Score,home_play,Game Score,Team Indicator,Play,Period,Play Type,Shot Outcome,Team,Player,Points Earned,Away Lineup,Home Lineup,Time(seconds),Poss,Poss_num,PPP_Home,PPP_Away
0,0,581,Franciscan University,Birmingham-Southern,0,92-51,"31,20","46,46",4-20,22-4,,,03/04/11,8:00 PM,,"Steubenville, Ohio (Franciscan Univ.)",Lose,2,False,236,False,19:47,"TURNOVER  by PRICE,PATRICK",,,,,,,"TURNOVER  by PRICE,PATRICK",1,turnover,,birmingham-southern,"price,patrick",,"['jonus,jasen', 'price,patrick', 'richards,zac', 'white,blaise', 'ahumada,hart']","['thomas,kleinschnitz', 'connor,flanagan', 'frank,murray', 'sean,wayne', 'nate,stanton']",1187.0,franciscan university,1,0,0.0
1,1,581,Franciscan University,Birmingham-Southern,0,92-51,"31,20","46,46",4-20,22-4,,,03/04/11,8:00 PM,,"Steubenville, Ohio (Franciscan Univ.)",Lose,2,False,236,False,19:45,,,,,"STEAL  by THOMAS,KLEINSCHNITZ",,,"STEAL  by THOMAS,KLEINSCHNITZ",1,steal,,franciscan university,,,"['jonus,jasen', 'price,patrick', 'richards,zac', 'white,blaise', 'ahumada,hart']","['thomas,kleinschnitz', 'connor,flanagan', 'frank,murray', 'sean,wayne', 'nate,stanton']",1185.0,franciscan university,1,0,0.0
2,2,581,Franciscan University,Birmingham-Southern,0,92-51,"31,20","46,46",4-20,22-4,,,03/04/11,8:00 PM,,"Steubenville, Ohio (Franciscan Univ.)",Lose,2,False,236,False,19:44,,0.0,,2.0,"GOOD LAYUP by THOMAS,KLEINSCHNITZ(in the paint)",FRAN 0-2 (-2),,"GOOD LAYUP by THOMAS,KLEINSCHNITZ(in the paint)",1,layup,good,franciscan university,"thomas,kleinschnitz",2.0,"['jonus,jasen', 'price,patrick', 'richards,zac', 'white,blaise', 'ahumada,hart']","['thomas,kleinschnitz', 'connor,flanagan', 'frank,murray', 'sean,wayne', 'nate,stanton']",1184.0,franciscan university,1,0,0.0
3,3,581,Franciscan University,Birmingham-Southern,0,92-51,"31,20","46,46",4-20,22-4,,,03/04/11,8:00 PM,,"Steubenville, Ohio (Franciscan Univ.)",Lose,2,False,236,False,19:29,"GOOD 3PTR by JONUS,JASEN",3.0,,2.0,,BSC 3-2 (+1),,"GOOD 3PTR by JONUS,JASEN",1,three pointer,good,birmingham-southern,"jonus,jasen",3.0,"['jonus,jasen', 'price,patrick', 'richards,zac', 'white,blaise', 'ahumada,hart']","['thomas,kleinschnitz', 'connor,flanagan', 'frank,murray', 'sean,wayne', 'nate,stanton']",1169.0,franciscan university,1,0,0.0
4,4,581,Franciscan University,Birmingham-Southern,0,92-51,"31,20","46,46",4-20,22-4,,,03/04/11,8:00 PM,,"Steubenville, Ohio (Franciscan Univ.)",Lose,2,False,236,False,--,"ASSIST  by WHITE,BLAISE",3.0,,2.0,,,,"ASSIST  by WHITE,BLAISE",1,assist,,birmingham-southern,"white,blaise",,"['jonus,jasen', 'price,patrick', 'richards,zac', 'white,blaise', 'ahumada,hart']","['thomas,kleinschnitz', 'connor,flanagan', 'frank,murray', 'sean,wayne', 'nate,stanton']",,franciscan university,1,0,0.0
5,5,581,Franciscan University,Birmingham-Southern,0,92-51,"31,20","46,46",4-20,22-4,,,03/04/11,8:00 PM,,"Steubenville, Ohio (Franciscan Univ.)",Lose,2,False,236,False,19:10,,3.0,,2.0,"MISS LAYUP by SHANE,CRUMP",,,"MISS LAYUP by SHANE,CRUMP",1,layup,missed,franciscan university,"shane,crump",,"['jonus,jasen', 'price,patrick', 'richards,zac', 'white,blaise', 'ahumada,hart']","['thomas,kleinschnitz', 'connor,flanagan', 'frank,murray', 'sean,wayne', 'nate,stanton']",1150.0,franciscan university,1,0,0.0
6,6,581,Franciscan University,Birmingham-Southern,0,92-51,"31,20","46,46",4-20,22-4,,,03/04/11,8:00 PM,,"Steubenville, Ohio (Franciscan Univ.)",Lose,2,False,236,False,--,"REBOUND DEF by PRICE,PATRICK",3.0,,2.0,,,,"REBOUND DEF by PRICE,PATRICK",1,defensive rebound,,birmingham-southern,"price,patrick",,"['jonus,jasen', 'price,patrick', 'richards,zac', 'white,blaise', 'ahumada,hart']","['thomas,kleinschnitz', 'connor,flanagan', 'frank,murray', 'sean,wayne', 'nate,stanton']",,franciscan university,1,0,0.0
7,7,581,Franciscan University,Birmingham-Southern,0,92-51,"31,20","46,46",4-20,22-4,,,03/04/11,8:00 PM,,"Steubenville, Ohio (Franciscan Univ.)",Lose,2,False,236,False,18:53,"GOOD 3PTR by JONUS,JASEN",6.0,,2.0,,BSC 6-2 (+4),,"GOOD 3PTR by JONUS,JASEN",1,three pointer,good,birmingham-southern,"jonus,jasen",3.0,"['jonus,jasen', 'price,patrick', 'richards,zac', 'white,blaise', 'ahumada,hart']","['thomas,kleinschnitz', 'connor,flanagan', 'frank,murray', 'sean,wayne', 'nate,stanton']",1133.0,birmingham-southern,2,0,0.0
8,8,581,Franciscan University,Birmingham-Southern,0,92-51,"31,20","46,46",4-20,22-4,,,03/04/11,8:00 PM,,"Steubenville, Ohio (Franciscan Univ.)",Lose,2,False,236,False,--,"ASSIST  by WHITE,BLAISE",6.0,,2.0,,,,"ASSIST  by WHITE,BLAISE",1,assist,,birmingham-southern,"white,blaise",,"['jonus,jasen', 'price,patrick', 'richards,zac', 'white,blaise', 'ahumada,hart']","['thomas,kleinschnitz', 'connor,flanagan', 'frank,murray', 'sean,wayne', 'nate,stanton']",,birmingham-southern,2,0,0.0
9,9,581,Franciscan University,Birmingham-Southern,0,92-51,"31,20","46,46",4-20,22-4,,,03/04/11,8:00 PM,,"Steubenville, Ohio (Franciscan Univ.)",Lose,2,False,236,False,18:28,,6.0,,2.0,"MISS 3PTR by THOMAS,KLEINSCHNITZ",,,"MISS 3PTR by THOMAS,KLEINSCHNITZ",1,three pointer,missed,franciscan university,"thomas,kleinschnitz",,"['jonus,jasen', 'price,patrick', 'richards,zac', 'white,blaise', 'ahumada,hart']","['thomas,kleinschnitz', 'connor,flanagan', 'frank,murray', 'sean,wayne', 'nate,stanton']",1108.0,birmingham-southern,2,0,0.0
