,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,Time Remaining,away_play,Away Team Score,Play Team Indicator,Home Team Score,home_play,Game Score,Team Indicator,Play,Period,Play Type,Shot Outcome,Team,Player,Points Earned,Away Lineup,Home Lineup,Time(seconds),Poss,Poss_num,PPP_Home,PPP_Away
0,0,622,Birmingham-Southern,Centre,1,69-73,"42,31","35,34",9-3,8-3,3-0,2-1,01/06/13,3:00 PM,,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,525,False,19:34,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",1,three pointer,missed,birmingham-southern,"ellis,bryon",,"['ellis,bryon', 'karsner,josh', 'whiteside,donovan', 'taylor,chris', 'wesley,tyler']","['thomas,larry', 'white,blaise', 'richards,zac', 'kegarise,kevin', 'henry,colin']",1174.0,centre,1,0,0.0
1,1,622,Birmingham-Southern,Centre,1,69-73,"42,31","35,34",9-3,8-3,3-0,2-1,01/06/13,3:00 PM,,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,525,False,--,,,,,"REBOUND DEF by WHITE,BLAISE",,,"REBOUND DEF by WHITE,BLAISE",1,defensive rebound,,centre,"white,blaise",,"['ellis,bryon', 'karsner,josh', 'whiteside,donovan', 'taylor,chris', 'wesley,tyler']","['thomas,larry', 'white,blaise', 'richards,zac', 'kegarise,kevin', 'henry,colin']",,centre,1,0,0.0
2,2,622,Birmingham-Southern,Centre,1,69-73,"42,31","35,34",9-3,8-3,3-0,2-1,01/06/13,3:00 PM,,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,525,False,19:16,,,,,"MISS 3PTR by WHITE,BLAISE",,,"MISS 3PTR by WHITE,BLAISE",1,three pointer,missed,centre,"white,blaise",,"['ellis,bryon', 'karsner,josh', 'whiteside,donovan', 'taylor,chris', 'wesley,tyler']","['thomas,larry', 'white,blaise', 'richards,zac', 'kegarise,kevin', 'henry,colin']",1156.0,centre,1,0,0.0
3,3,622,Birmingham-Southern,Centre,1,69-73,"42,31","35,34",9-3,8-3,3-0,2-1,01/06/13,3:00 PM,,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,525,False,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,centre,,,"['ellis,bryon', 'karsner,josh', 'whiteside,donovan', 'taylor,chris', 'wesley,tyler']","['thomas,larry', 'white,blaise', 'richards,zac', 'kegarise,kevin', 'henry,colin']",,centre,1,0,0.0
4,4,622,Birmingham-Southern,Centre,1,69-73,"42,31","35,34",9-3,8-3,3-0,2-1,01/06/13,3:00 PM,,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,525,False,19:05,,,,,"TURNOVER  by WHITE,BLAISE",,,"TURNOVER  by WHITE,BLAISE",1,turnover,,centre,"white,blaise",,"['ellis,bryon', 'karsner,josh', 'whiteside,donovan', 'taylor,chris', 'wesley,tyler']","['thomas,larry', 'white,blaise', 'richards,zac', 'kegarise,kevin', 'henry,colin']",1145.0,centre,1,0,0.0
5,5,622,Birmingham-Southern,Centre,1,69-73,"42,31","35,34",9-3,8-3,3-0,2-1,01/06/13,3:00 PM,,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,525,False,19:03,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",1,steal,,birmingham-southern,,,"['ellis,bryon', 'karsner,josh', 'whiteside,donovan', 'taylor,chris', 'wesley,tyler']","['thomas,larry', 'white,blaise', 'richards,zac', 'kegarise,kevin', 'henry,colin']",1143.0,centre,1,0,0.0
6,6,622,Birmingham-Southern,Centre,1,69-73,"42,31","35,34",9-3,8-3,3-0,2-1,01/06/13,3:00 PM,,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,525,False,18:56,"GOOD 3PTR by KARSNER,JOSH",3.0,,0.0,,CENTRE 3-0 (-3),,"GOOD 3PTR by KARSNER,JOSH",1,three pointer,good,birmingham-southern,"karsner,josh",3.0,"['ellis,bryon', 'karsner,josh', 'whiteside,donovan', 'taylor,chris', 'wesley,tyler']","['thomas,larry', 'white,blaise', 'richards,zac', 'kegarise,kevin', 'henry,colin']",1136.0,birmingham-southern,2,0,0.0
7,7,622,Birmingham-Southern,Centre,1,69-73,"42,31","35,34",9-3,8-3,3-0,2-1,01/06/13,3:00 PM,,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,525,False,--,"ASSIST  by TAYLOR,CHRIS",3.0,,0.0,,,,"ASSIST  by TAYLOR,CHRIS",1,assist,,birmingham-southern,"taylor,chris",,"['ellis,bryon', 'karsner,josh', 'whiteside,donovan', 'taylor,chris', 'wesley,tyler']","['thomas,larry', 'white,blaise', 'richards,zac', 'kegarise,kevin', 'henry,colin']",,birmingham-southern,2,0,0.0
8,8,622,Birmingham-Southern,Centre,1,69-73,"42,31","35,34",9-3,8-3,3-0,2-1,01/06/13,3:00 PM,,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,525,False,18:34,,3.0,,0.0,"MISS LAYUP by THOMAS,LARRY",,,"MISS LAYUP by THOMAS,LARRY",1,layup,missed,centre,"thomas,larry",,"['ellis,bryon', 'karsner,josh', 'whiteside,donovan', 'taylor,chris', 'wesley,tyler']","['thomas,larry', 'white,blaise', 'richards,zac', 'kegarise,kevin', 'henry,colin']",1114.0,birmingham-southern,2,0,0.0
9,9,622,Birmingham-Southern,Centre,1,69-73,"42,31","35,34",9-3,8-3,3-0,2-1,01/06/13,3:00 PM,,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,525,False,--,,3.0,,0.0,"REBOUND OFF by RICHARDS,ZAC",,,"REBOUND OFF by RICHARDS,ZAC",1,offensive rebound,,centre,"richards,zac",,"['ellis,bryon', 'karsner,josh', 'whiteside,donovan', 'taylor,chris', 'wesley,tyler']","['thomas,larry', 'white,blaise', 'richards,zac', 'kegarise,kevin', 'henry,colin']",,birmingham-southern,2,0,0.0
