,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,Time Remaining,away_play,Away Team Score,Play Team Indicator,Home Team Score,home_play,Game Score,Team Indicator,Play,Period,Play Type,Shot Outcome,Team,Player,Points Earned,Away Lineup,Home Lineup,Time(seconds),Poss,Poss_num,PPP_Home,PPP_Away
0,0,852,Centre,Birmingham-Southern,1,62-75,"30,45","33,29",10-7,9-10,6-2,5-3,01/27/17,8:00 PM,,"Danville, Ky. (Alumni Gymnasium)",Win,2,False,715,False,19:31,"MISS JUMPER by THOM,IAN",,,,,,,"MISS JUMPER by THOM,IAN",1,jumper,missed,birmingham-southern,"thom,ian",,"['deneka,harrison', 'thom,ian', 'lewis,evan', 'rudak,matty', 'mclean,james']","['griffin,jarod', 'gump,matt', 'rakes,bailey', 'spitzer,jakob', 'sine,tucker']",1171.0,centre,1,0,0.0
1,1,852,Centre,Birmingham-Southern,1,62-75,"30,45","33,29",10-7,9-10,6-2,5-3,01/27/17,8:00 PM,,"Danville, Ky. (Alumni Gymnasium)",Win,2,False,715,False,--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1,defensive rebound,,centre,"gump,matt",,"['deneka,harrison', 'thom,ian', 'lewis,evan', 'rudak,matty', 'mclean,james']","['griffin,jarod', 'gump,matt', 'rakes,bailey', 'spitzer,jakob', 'sine,tucker']",,centre,1,0,0.0
2,2,852,Centre,Birmingham-Southern,1,62-75,"30,45","33,29",10-7,9-10,6-2,5-3,01/27/17,8:00 PM,,"Danville, Ky. (Alumni Gymnasium)",Win,2,False,715,False,19:22,,,,,"MISS JUMPER by GUMP,MATT",,,"MISS JUMPER by GUMP,MATT",1,jumper,missed,centre,"gump,matt",,"['deneka,harrison', 'thom,ian', 'lewis,evan', 'rudak,matty', 'mclean,james']","['griffin,jarod', 'gump,matt', 'rakes,bailey', 'spitzer,jakob', 'sine,tucker']",1162.0,centre,1,0,0.0
3,3,852,Centre,Birmingham-Southern,1,62-75,"30,45","33,29",10-7,9-10,6-2,5-3,01/27/17,8:00 PM,,"Danville, Ky. (Alumni Gymnasium)",Win,2,False,715,False,--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1,defensive rebound,,birmingham-southern,"deneka,harrison",,"['deneka,harrison', 'thom,ian', 'lewis,evan', 'rudak,matty', 'mclean,james']","['griffin,jarod', 'gump,matt', 'rakes,bailey', 'spitzer,jakob', 'sine,tucker']",,centre,1,0,0.0
4,4,852,Centre,Birmingham-Southern,1,62-75,"30,45","33,29",10-7,9-10,6-2,5-3,01/27/17,8:00 PM,,"Danville, Ky. (Alumni Gymnasium)",Win,2,False,715,False,19:07,"GOOD LAYUP by LEWIS,EVAN(in the paint)",2.0,,0.0,,16BSC-M 2-0 (-2),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",1,layup,good,birmingham-southern,"lewis,evan",2.0,"['deneka,harrison', 'thom,ian', 'lewis,evan', 'rudak,matty', 'mclean,james']","['griffin,jarod', 'gump,matt', 'rakes,bailey', 'spitzer,jakob', 'sine,tucker']",1147.0,birmingham-southern,2,0,0.0
5,5,852,Centre,Birmingham-Southern,1,62-75,"30,45","33,29",10-7,9-10,6-2,5-3,01/27/17,8:00 PM,,"Danville, Ky. (Alumni Gymnasium)",Win,2,False,715,False,18:43,,2.0,,0.0,"MISS LAYUP by GUMP,MATT",,,"MISS LAYUP by GUMP,MATT",1,layup,missed,centre,"gump,matt",,"['deneka,harrison', 'thom,ian', 'lewis,evan', 'rudak,matty', 'mclean,james']","['griffin,jarod', 'gump,matt', 'rakes,bailey', 'spitzer,jakob', 'sine,tucker']",1123.0,birmingham-southern,2,0,0.0
6,6,852,Centre,Birmingham-Southern,1,62-75,"30,45","33,29",10-7,9-10,6-2,5-3,01/27/17,8:00 PM,,"Danville, Ky. (Alumni Gymnasium)",Win,2,False,715,False,--,,2.0,,0.0,"REBOUND OFF by RAKES,BAILEY",,,"REBOUND OFF by RAKES,BAILEY",1,offensive rebound,,centre,"rakes,bailey",,"['deneka,harrison', 'thom,ian', 'lewis,evan', 'rudak,matty', 'mclean,james']","['griffin,jarod', 'gump,matt', 'rakes,bailey', 'spitzer,jakob', 'sine,tucker']",,birmingham-southern,2,0,0.0
7,7,852,Centre,Birmingham-Southern,1,62-75,"30,45","33,29",10-7,9-10,6-2,5-3,01/27/17,8:00 PM,,"Danville, Ky. (Alumni Gymnasium)",Win,2,False,715,False,18:35,,2.0,,0.0,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",1,three pointer,missed,centre,"rakes,bailey",,"['deneka,harrison', 'thom,ian', 'lewis,evan', 'rudak,matty', 'mclean,james']","['griffin,jarod', 'gump,matt', 'rakes,bailey', 'spitzer,jakob', 'sine,tucker']",1115.0,birmingham-southern,2,0,0.0
8,8,852,Centre,Birmingham-Southern,1,62-75,"30,45","33,29",10-7,9-10,6-2,5-3,01/27/17,8:00 PM,,"Danville, Ky. (Alumni Gymnasium)",Win,2,False,715,False,--,"REBOUND DEF by MCLEAN,JAMES",2.0,,0.0,,,,"REBOUND DEF by MCLEAN,JAMES",1,defensive rebound,,birmingham-southern,"mclean,james",,"['deneka,harrison', 'thom,ian', 'lewis,evan', 'rudak,matty', 'mclean,james']","['griffin,jarod', 'gump,matt', 'rakes,bailey', 'spitzer,jakob', 'sine,tucker']",,birmingham-southern,2,0,0.0
9,9,852,Centre,Birmingham-Southern,1,62-75,"30,45","33,29",10-7,9-10,6-2,5-3,01/27/17,8:00 PM,,"Danville, Ky. (Alumni Gymnasium)",Win,2,False,715,False,18:26,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",4.0,,0.0,,16BSC-M 4-0 (-4),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1,layup,good,birmingham-southern,"deneka,harrison",2.0,"['deneka,harrison', 'thom,ian', 'lewis,evan', 'rudak,matty', 'mclean,james']","['griffin,jarod', 'gump,matt', 'rakes,bailey', 'spitzer,jakob', 'sine,tucker']",1106.0,birmingham-southern,2,0,0.0
