,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,Time Remaining,away_play,Away Team Score,Play Team Indicator,Home Team Score,home_play,Game Score,Team Indicator,Play,Period,Play Type,Shot Outcome,Team,Player,Points Earned,Away Lineup,Home Lineup,Time(seconds),Poss,Poss_num,PPP_Home,PPP_Away
0,0,4835,Centre,Wabash,0,74-70,"34,36","31,43",0-1,1-0,0-0,0-0,11/06/21,3:00 PM,,"Alumni Gymnasium, Danville, KY",Lose,2,False,180,False,19:44,"GOOD LAYUP by SCHREIBER,KELLEN(in the paint)",2,,0,,Wabash 2-0 (-2),,"GOOD LAYUP by SCHREIBER,KELLEN(in the paint)",1,layup,good,wabash,"schreiber,kellen",2.0,"['watson,tyler', 'schreiber,kellen', 'jones,ahmoni', 'davidson,jack', 'thomas,reis']","['smith,rj', 'baughman,carter', 'gerald,dustin', 'ring,noah', 'williams,jalen']",1184.0,centre,1,0.0,2.0
1,1,4835,Centre,Wabash,0,74-70,"34,36","31,43",0-1,1-0,0-0,0-0,11/06/21,3:00 PM,,"Alumni Gymnasium, Danville, KY",Lose,2,False,180,False,19:22,,2,,0,"MISS JUMPER by WILLIAMS,JALEN(in the paint)",,,"MISS JUMPER by WILLIAMS,JALEN(in the paint)",1,jumper,missed,centre,"williams,jalen",,"['watson,tyler', 'schreiber,kellen', 'jones,ahmoni', 'davidson,jack', 'thomas,reis']","['smith,rj', 'baughman,carter', 'gerald,dustin', 'ring,noah', 'williams,jalen']",1162.0,centre,1,0.0,2.0
2,2,4835,Centre,Wabash,0,74-70,"34,36","31,43",0-1,1-0,0-0,0-0,11/06/21,3:00 PM,,"Alumni Gymnasium, Danville, KY",Lose,2,False,180,False,--,"REBOUND DEF by WATSON,TYLER",2,,0,,,,"REBOUND DEF by WATSON,TYLER",1,defensive rebound,,wabash,"watson,tyler",,"['watson,tyler', 'schreiber,kellen', 'jones,ahmoni', 'davidson,jack', 'thomas,reis']","['smith,rj', 'baughman,carter', 'gerald,dustin', 'ring,noah', 'williams,jalen']",,centre,1,2.0,2.0
3,3,4835,Centre,Wabash,0,74-70,"34,36","31,43",0-1,1-0,0-0,0-0,11/06/21,3:00 PM,,"Alumni Gymnasium, Danville, KY",Lose,2,False,180,False,19:11,"GOOD LAYUP by WATSON,TYLER(fastbreak)(in the paint)",4,,0,,Wabash 4-0 (-4),,"GOOD LAYUP by WATSON,TYLER(fastbreak)(in the paint)",1,layup,good,wabash,"watson,tyler(fastbreak)",2.0,"['watson,tyler', 'schreiber,kellen', 'jones,ahmoni', 'davidson,jack', 'thomas,reis']","['smith,rj', 'baughman,carter', 'gerald,dustin', 'ring,noah', 'williams,jalen']",1151.0,wabash,2,2.0,2.0
4,4,4835,Centre,Wabash,0,74-70,"34,36","31,43",0-1,1-0,0-0,0-0,11/06/21,3:00 PM,,"Alumni Gymnasium, Danville, KY",Lose,2,False,180,False,18:54,,4,,2,"GOOD LAYUP by SMITH,RJ(in the paint)",Centre 4-2 (-2),,"GOOD LAYUP by SMITH,RJ(in the paint)",1,layup,good,centre,"smith,rj",2.0,"['watson,tyler', 'schreiber,kellen', 'jones,ahmoni', 'davidson,jack', 'thomas,reis']","['smith,rj', 'baughman,carter', 'gerald,dustin', 'ring,noah', 'williams,jalen']",1134.0,centre,3,2.0,2.0
5,5,4835,Centre,Wabash,0,74-70,"34,36","31,43",0-1,1-0,0-0,0-0,11/06/21,3:00 PM,,"Alumni Gymnasium, Danville, KY",Lose,2,False,180,False,18:30,"MISS 3PTR by JONES,AHMONI",4,,2,,,,"MISS 3PTR by JONES,AHMONI",1,three pointer,missed,wabash,"jones,ahmoni",,"['watson,tyler', 'schreiber,kellen', 'jones,ahmoni', 'davidson,jack', 'thomas,reis']","['smith,rj', 'baughman,carter', 'gerald,dustin', 'ring,noah', 'williams,jalen']",1110.0,wabash,4,0.0,0.0
6,6,4835,Centre,Wabash,0,74-70,"34,36","31,43",0-1,1-0,0-0,0-0,11/06/21,3:00 PM,,"Alumni Gymnasium, Danville, KY",Lose,2,False,180,False,--,REBOUND DEADB by TEAM,4,,2,,,,REBOUND DEADB by TEAM,1,deadball rebound,,wabash,,,"['watson,tyler', 'schreiber,kellen', 'jones,ahmoni', 'davidson,jack', 'thomas,reis']","['smith,rj', 'baughman,carter', 'gerald,dustin', 'ring,noah', 'williams,jalen']",,wabash,4,0.0,0.0
7,7,4835,Centre,Wabash,0,74-70,"34,36","31,43",0-1,1-0,0-0,0-0,11/06/21,3:00 PM,,"Alumni Gymnasium, Danville, KY",Lose,2,False,180,False,18:17,"MISS JUMPER by SCHREIBER,KELLEN(in the paint)",4,,2,,,,"MISS JUMPER by SCHREIBER,KELLEN(in the paint)",1,jumper,missed,wabash,"schreiber,kellen",,"['watson,tyler', 'schreiber,kellen', 'jones,ahmoni', 'davidson,jack', 'thomas,reis']","['smith,rj', 'baughman,carter', 'gerald,dustin', 'ring,noah', 'williams,jalen']",1097.0,wabash,4,0.0,0.0
8,8,4835,Centre,Wabash,0,74-70,"34,36","31,43",0-1,1-0,0-0,0-0,11/06/21,3:00 PM,,"Alumni Gymnasium, Danville, KY",Lose,2,False,180,False,--,,4,,2,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1,defensive rebound,,centre,"smith,rj",,"['watson,tyler', 'schreiber,kellen', 'jones,ahmoni', 'davidson,jack', 'thomas,reis']","['smith,rj', 'baughman,carter', 'gerald,dustin', 'ring,noah', 'williams,jalen']",,wabash,4,0.0,0.0
9,9,4835,Centre,Wabash,0,74-70,"34,36","31,43",0-1,1-0,0-0,0-0,11/06/21,3:00 PM,,"Alumni Gymnasium, Danville, KY",Lose,2,False,180,False,17:58,,4,,2,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",1,three pointer,missed,centre,"baughman,carter",,"['watson,tyler', 'schreiber,kellen', 'jones,ahmoni', 'davidson,jack', 'thomas,reis']","['smith,rj', 'baughman,carter', 'gerald,dustin', 'ring,noah', 'williams,jalen']",1078.0,centre,5,0.0,0.0
