,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,Time Remaining,away_play,Away Team Score,Play Team Indicator,Home Team Score,home_play,Game Score,Team Indicator,Play,Period,Play Type,Shot Outcome,Team,Player,Points Earned,Away Lineup,Home Lineup,Time(seconds),Poss,Poss_num,PPP_Home,PPP_Away
0,0,5296,Centre,Hendrix,1,76-68,"39,29","32,44",4-9,2-12,1-2,1-2,01/08/23,2:00 PM,,"Alumni Gymnasium, Danville, KY",Lose,2,False,250,False,19:46,"MISS 3PTR by SQUIRES,CALEB",,,,,,,"MISS 3PTR by SQUIRES,CALEB",1,three pointer,missed,hendrix,"squires,caleb",,"['squires,caleb', 'cobb,daniel', 'deithloff,tyler', 'berry,colten', 'weaver,braden']","['wilson,drew', 'stinnett,cade', 'taylor,marshall', 'ring,noah', 'baughman,carter']",1186.0,centre,1,0.0,3.0
1,1,5296,Centre,Hendrix,1,76-68,"39,29","32,44",4-9,2-12,1-2,1-2,01/08/23,2:00 PM,,"Alumni Gymnasium, Danville, KY",Lose,2,False,250,False,--,,,,,"REBOUND DEF by BAUGHMAN,CARTER",,,"REBOUND DEF by BAUGHMAN,CARTER",1,defensive rebound,,centre,"baughman,carter",,"['squires,caleb', 'cobb,daniel', 'deithloff,tyler', 'berry,colten', 'weaver,braden']","['wilson,drew', 'stinnett,cade', 'taylor,marshall', 'ring,noah', 'baughman,carter']",,centre,1,0.0,3.0
2,2,5296,Centre,Hendrix,1,76-68,"39,29","32,44",4-9,2-12,1-2,1-2,01/08/23,2:00 PM,,"Alumni Gymnasium, Danville, KY",Lose,2,False,250,False,19:24,,0.0,,3.0,"GOOD 3PTR by WILSON,DREW",Centre 0-3 (+3),,"GOOD 3PTR by WILSON,DREW",1,three pointer,good,centre,"wilson,drew",3.0,"['squires,caleb', 'cobb,daniel', 'deithloff,tyler', 'berry,colten', 'weaver,braden']","['wilson,drew', 'stinnett,cade', 'taylor,marshall', 'ring,noah', 'baughman,carter']",1164.0,centre,1,0.0,3.0
3,3,5296,Centre,Hendrix,1,76-68,"39,29","32,44",4-9,2-12,1-2,1-2,01/08/23,2:00 PM,,"Alumni Gymnasium, Danville, KY",Lose,2,False,250,False,--,,0.0,,3.0,"ASSIST  by RING,NOAH",,,"ASSIST  by RING,NOAH",1,assist,,centre,"ring,noah",,"['squires,caleb', 'cobb,daniel', 'deithloff,tyler', 'berry,colten', 'weaver,braden']","['wilson,drew', 'stinnett,cade', 'taylor,marshall', 'ring,noah', 'baughman,carter']",,centre,1,3.0,3.0
4,4,5296,Centre,Hendrix,1,76-68,"39,29","32,44",4-9,2-12,1-2,1-2,01/08/23,2:00 PM,,"Alumni Gymnasium, Danville, KY",Lose,2,False,250,False,19:04,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",2.0,,3.0,,Hend 2-3 (+1),,"GOOD LAYUP by DEITHLOFF,TYLER(in the paint)",1,layup,good,hendrix,"deithloff,tyler",2.0,"['squires,caleb', 'cobb,daniel', 'deithloff,tyler', 'berry,colten', 'weaver,braden']","['wilson,drew', 'stinnett,cade', 'taylor,marshall', 'ring,noah', 'baughman,carter']",1144.0,hendrix,2,2.0,2.0
5,5,5296,Centre,Hendrix,1,76-68,"39,29","32,44",4-9,2-12,1-2,1-2,01/08/23,2:00 PM,,"Alumni Gymnasium, Danville, KY",Lose,2,False,250,False,18:34,,2.0,,3.0,"MISS 3PTR by RING,NOAH",,,"MISS 3PTR by RING,NOAH",1,three pointer,missed,centre,"ring,noah",,"['squires,caleb', 'cobb,daniel', 'deithloff,tyler', 'berry,colten', 'weaver,braden']","['wilson,drew', 'stinnett,cade', 'taylor,marshall', 'ring,noah', 'baughman,carter']",1114.0,centre,3,0.0,0.0
6,6,5296,Centre,Hendrix,1,76-68,"39,29","32,44",4-9,2-12,1-2,1-2,01/08/23,2:00 PM,,"Alumni Gymnasium, Danville, KY",Lose,2,False,250,False,--,"REBOUND DEF by BERRY,COLTEN",2.0,,3.0,,,,"REBOUND DEF by BERRY,COLTEN",1,defensive rebound,,hendrix,"berry,colten",,"['squires,caleb', 'cobb,daniel', 'deithloff,tyler', 'berry,colten', 'weaver,braden']","['wilson,drew', 'stinnett,cade', 'taylor,marshall', 'ring,noah', 'baughman,carter']",,centre,3,0.0,0.0
7,7,5296,Centre,Hendrix,1,76-68,"39,29","32,44",4-9,2-12,1-2,1-2,01/08/23,2:00 PM,,"Alumni Gymnasium, Danville, KY",Lose,2,False,250,False,18:04,"MISS 3PTR by WEAVER,BRADEN",2.0,,3.0,,,,"MISS 3PTR by WEAVER,BRADEN",1,three pointer,missed,hendrix,"weaver,braden",,"['squires,caleb', 'cobb,daniel', 'deithloff,tyler', 'berry,colten', 'weaver,braden']","['wilson,drew', 'stinnett,cade', 'taylor,marshall', 'ring,noah', 'baughman,carter']",1084.0,hendrix,4,0.0,0.0
8,8,5296,Centre,Hendrix,1,76-68,"39,29","32,44",4-9,2-12,1-2,1-2,01/08/23,2:00 PM,,"Alumni Gymnasium, Danville, KY",Lose,2,False,250,False,--,,2.0,,3.0,"REBOUND DEF by TAYLOR,MARSHALL",,,"REBOUND DEF by TAYLOR,MARSHALL",1,defensive rebound,,centre,"taylor,marshall",,"['squires,caleb', 'cobb,daniel', 'deithloff,tyler', 'berry,colten', 'weaver,braden']","['wilson,drew', 'stinnett,cade', 'taylor,marshall', 'ring,noah', 'baughman,carter']",,hendrix,4,0.0,0.0
9,9,5296,Centre,Hendrix,1,76-68,"39,29","32,44",4-9,2-12,1-2,1-2,01/08/23,2:00 PM,,"Alumni Gymnasium, Danville, KY",Lose,2,False,250,False,17:56,,2.0,,6.0,"GOOD 3PTR by STINNETT,CADE",Centre 2-6 (+4),,"GOOD 3PTR by STINNETT,CADE",1,three pointer,good,centre,"stinnett,cade",3.0,"['squires,caleb', 'cobb,daniel', 'deithloff,tyler', 'berry,colten', 'weaver,braden']","['wilson,drew', 'stinnett,cade', 'taylor,marshall', 'ring,noah', 'baughman,carter']",1076.0,centre,5,0.0,3.0
