,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,Time Remaining,away_play,Away Team Score,Play Team Indicator,Home Team Score,home_play,Game Score,Team Indicator,Play,Period,Play Type,Shot Outcome,Team,Player,Points Earned,Away Lineup,Home Lineup,Time(seconds),Poss,Poss_num,PPP_Home,PPP_Away
0,0,939,Covenant,Millsaps,0,56-63,"34,29","26,30",4-2,1-5,,,12/04/15,7:30 PM,,"Lookout Mountain, Ga. (Barnes PE Center)",Win,2,False,273,False,19:55,"MISS JUMPER by ROBERTSON,MARC",,,,,,,"MISS JUMPER by ROBERTSON,MARC",1,jumper,missed,millsaps,"robertson,marc",,"['robertson,marc', 'jones,blake', 'atkinson,quinn', 'spence,jacob', 'gerchow,alex']","['twagirayezu,patjo', 'cox,tj', 'boyd,chris', 'spragg,bailey', 'dryden,berto']",1195.0,covenant,1,0,0.0
1,1,939,Covenant,Millsaps,0,56-63,"34,29","26,30",4-2,1-5,,,12/04/15,7:30 PM,,"Lookout Mountain, Ga. (Barnes PE Center)",Win,2,False,273,False,--,,,,,"REBOUND DEF by SPRAGG,BAILEY",,,"REBOUND DEF by SPRAGG,BAILEY",1,defensive rebound,,covenant,"spragg,bailey",,"['robertson,marc', 'jones,blake', 'atkinson,quinn', 'spence,jacob', 'gerchow,alex']","['twagirayezu,patjo', 'cox,tj', 'boyd,chris', 'spragg,bailey', 'dryden,berto']",,covenant,1,0,0.0
2,2,939,Covenant,Millsaps,0,56-63,"34,29","26,30",4-2,1-5,,,12/04/15,7:30 PM,,"Lookout Mountain, Ga. (Barnes PE Center)",Win,2,False,273,False,19:27,,,,,"TURNOVER  by TWAGIRAYEZU,PATJO",,,"TURNOVER  by TWAGIRAYEZU,PATJO",1,turnover,,covenant,"twagirayezu,patjo",,"['robertson,marc', 'jones,blake', 'atkinson,quinn', 'spence,jacob', 'gerchow,alex']","['twagirayezu,patjo', 'cox,tj', 'boyd,chris', 'spragg,bailey', 'dryden,berto']",1167.0,covenant,1,0,0.0
3,3,939,Covenant,Millsaps,0,56-63,"34,29","26,30",4-2,1-5,,,12/04/15,7:30 PM,,"Lookout Mountain, Ga. (Barnes PE Center)",Win,2,False,273,False,19:26,"STEAL  by ATKINSON,QUINN",,,,,,,"STEAL  by ATKINSON,QUINN",1,steal,,millsaps,,,"['robertson,marc', 'jones,blake', 'atkinson,quinn', 'spence,jacob', 'gerchow,alex']","['twagirayezu,patjo', 'cox,tj', 'boyd,chris', 'spragg,bailey', 'dryden,berto']",1166.0,covenant,1,0,0.0
4,4,939,Covenant,Millsaps,0,56-63,"34,29","26,30",4-2,1-5,,,12/04/15,7:30 PM,,"Lookout Mountain, Ga. (Barnes PE Center)",Win,2,False,273,False,19:15,"TURNOVER  by JONES,BLAKE",,,,,,,"TURNOVER  by JONES,BLAKE",1,turnover,,millsaps,"jones,blake",,"['robertson,marc', 'jones,blake', 'atkinson,quinn', 'spence,jacob', 'gerchow,alex']","['twagirayezu,patjo', 'cox,tj', 'boyd,chris', 'spragg,bailey', 'dryden,berto']",1155.0,millsaps,2,0,0.0
5,5,939,Covenant,Millsaps,0,56-63,"34,29","26,30",4-2,1-5,,,12/04/15,7:30 PM,,"Lookout Mountain, Ga. (Barnes PE Center)",Win,2,False,273,False,19:15,,,,,"STEAL  by SPRAGG,BAILEY",,,"STEAL  by SPRAGG,BAILEY",1,steal,,covenant,,,"['robertson,marc', 'jones,blake', 'atkinson,quinn', 'spence,jacob', 'gerchow,alex']","['twagirayezu,patjo', 'cox,tj', 'boyd,chris', 'spragg,bailey', 'dryden,berto']",1155.0,millsaps,2,0,0.0
6,6,939,Covenant,Millsaps,0,56-63,"34,29","26,30",4-2,1-5,,,12/04/15,7:30 PM,,"Lookout Mountain, Ga. (Barnes PE Center)",Win,2,False,273,False,19:12,,0.0,,2.0,"GOOD LAYUP by SPRAGG,BAILEY(fastbreak)(in the paint)",CCM 0-2 (-2),,"GOOD LAYUP by SPRAGG,BAILEY(fastbreak)(in the paint)",1,layup,good,covenant,"spragg,bailey(fastbreak)",2.0,"['robertson,marc', 'jones,blake', 'atkinson,quinn', 'spence,jacob', 'gerchow,alex']","['twagirayezu,patjo', 'cox,tj', 'boyd,chris', 'spragg,bailey', 'dryden,berto']",1152.0,covenant,3,0,0.0
7,7,939,Covenant,Millsaps,0,56-63,"34,29","26,30",4-2,1-5,,,12/04/15,7:30 PM,,"Lookout Mountain, Ga. (Barnes PE Center)",Win,2,False,273,False,18:50,"MISS JUMPER by JONES,BLAKE",0.0,,2.0,,,,"MISS JUMPER by JONES,BLAKE",1,jumper,missed,millsaps,"jones,blake",,"['robertson,marc', 'jones,blake', 'atkinson,quinn', 'spence,jacob', 'gerchow,alex']","['twagirayezu,patjo', 'cox,tj', 'boyd,chris', 'spragg,bailey', 'dryden,berto']",1130.0,covenant,3,0,0.0
8,8,939,Covenant,Millsaps,0,56-63,"34,29","26,30",4-2,1-5,,,12/04/15,7:30 PM,,"Lookout Mountain, Ga. (Barnes PE Center)",Win,2,False,273,False,--,,0.0,,2.0,"REBOUND DEF by DRYDEN,BERTO",,,"REBOUND DEF by DRYDEN,BERTO",1,defensive rebound,,covenant,"dryden,berto",,"['robertson,marc', 'jones,blake', 'atkinson,quinn', 'spence,jacob', 'gerchow,alex']","['twagirayezu,patjo', 'cox,tj', 'boyd,chris', 'spragg,bailey', 'dryden,berto']",,covenant,3,0,0.0
9,9,939,Covenant,Millsaps,0,56-63,"34,29","26,30",4-2,1-5,,,12/04/15,7:30 PM,,"Lookout Mountain, Ga. (Barnes PE Center)",Win,2,False,273,False,18:24,,0.0,,4.0,"GOOD LAYUP by TWAGIRAYEZU,PATJO(in the paint)",CCM 0-4 (-4),,"GOOD LAYUP by TWAGIRAYEZU,PATJO(in the paint)",1,layup,good,covenant,"twagirayezu,patjo",2.0,"['robertson,marc', 'jones,blake', 'atkinson,quinn', 'spence,jacob', 'gerchow,alex']","['twagirayezu,patjo', 'cox,tj', 'boyd,chris', 'spragg,bailey', 'dryden,berto']",1104.0,covenant,3,0,0.0
