,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,Time Remaining,away_play,Away Team Score,Play Team Indicator,Home Team Score,home_play,Game Score,Team Indicator,Play,Period,Play Type,Shot Outcome,Team,Player,Points Earned,Away Lineup,Home Lineup,Time(seconds),Poss,Poss_num,PPP_Home,PPP_Away
0,0,3906,Millsaps,Rust,0,71-76,"32,44","39,32",2-4,1-7,,,12/03/16,6:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,129,False,19:43,"MISS 3PTR by JACKSON,JARVIS",,,,,,,"MISS 3PTR by JACKSON,JARVIS",1,three pointer,missed,rust,"jackson,jarvis",,"['harris,artez', 'brown,dominique', 'potts,allen', 'jones,antonio', 'jackson,jarvis']","['blanz,buck', 'gagen,brennan', 'kohnke,sam', 'tullos,zachary', 'gardner,robert']",1183.0,rust,1,0,0.0
1,1,3906,Millsaps,Rust,0,71-76,"32,44","39,32",2-4,1-7,,,12/03/16,6:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,129,False,--,"REBOUND OFF by JONES,ANTONIO",,,,,,,"REBOUND OFF by JONES,ANTONIO",1,offensive rebound,,rust,"jones,antonio",,"['harris,artez', 'brown,dominique', 'potts,allen', 'jones,antonio', 'jackson,jarvis']","['blanz,buck', 'gagen,brennan', 'kohnke,sam', 'tullos,zachary', 'gardner,robert']",,rust,1,0,0.0
2,2,3906,Millsaps,Rust,0,71-76,"32,44","39,32",2-4,1-7,,,12/03/16,6:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,129,False,19:39,"MISS JUMPER by JONES,ANTONIO",,,,,,,"MISS JUMPER by JONES,ANTONIO",1,jumper,missed,rust,"jones,antonio",,"['harris,artez', 'brown,dominique', 'potts,allen', 'jones,antonio', 'jackson,jarvis']","['blanz,buck', 'gagen,brennan', 'kohnke,sam', 'tullos,zachary', 'gardner,robert']",1179.0,rust,1,0,0.0
3,3,3906,Millsaps,Rust,0,71-76,"32,44","39,32",2-4,1-7,,,12/03/16,6:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,129,False,19:39,,,,,"BLOCK  by TULLOS,ZACHARY",,,"BLOCK  by TULLOS,ZACHARY",1,block,,millsaps,"tullos,zachary",,"['harris,artez', 'brown,dominique', 'potts,allen', 'jones,antonio', 'jackson,jarvis']","['blanz,buck', 'gagen,brennan', 'kohnke,sam', 'tullos,zachary', 'gardner,robert']",1179.0,rust,1,0,0.0
4,4,3906,Millsaps,Rust,0,71-76,"32,44","39,32",2-4,1-7,,,12/03/16,6:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,129,False,--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1,defensive rebound,,millsaps,"blanz,buck",,"['harris,artez', 'brown,dominique', 'potts,allen', 'jones,antonio', 'jackson,jarvis']","['blanz,buck', 'gagen,brennan', 'kohnke,sam', 'tullos,zachary', 'gardner,robert']",,rust,1,0,0.0
5,5,3906,Millsaps,Rust,0,71-76,"32,44","39,32",2-4,1-7,,,12/03/16,6:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,129,False,19:31,,,,,"MISS 3PTR by KOHNKE,SAM",,,"MISS 3PTR by KOHNKE,SAM",1,three pointer,missed,millsaps,"kohnke,sam",,"['harris,artez', 'brown,dominique', 'potts,allen', 'jones,antonio', 'jackson,jarvis']","['blanz,buck', 'gagen,brennan', 'kohnke,sam', 'tullos,zachary', 'gardner,robert']",1171.0,millsaps,2,0,0.0
6,6,3906,Millsaps,Rust,0,71-76,"32,44","39,32",2-4,1-7,,,12/03/16,6:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,129,False,--,"REBOUND DEF by HARRIS,ARTEZ",,,,,,,"REBOUND DEF by HARRIS,ARTEZ",1,defensive rebound,,rust,"harris,artez",,"['harris,artez', 'brown,dominique', 'potts,allen', 'jones,antonio', 'jackson,jarvis']","['blanz,buck', 'gagen,brennan', 'kohnke,sam', 'tullos,zachary', 'gardner,robert']",,millsaps,2,0,0.0
7,7,3906,Millsaps,Rust,0,71-76,"32,44","39,32",2-4,1-7,,,12/03/16,6:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,129,False,19:14,"MISS JUMPER by POTTS,ALLEN",,,,,,,"MISS JUMPER by POTTS,ALLEN",1,jumper,missed,rust,"potts,allen",,"['harris,artez', 'brown,dominique', 'potts,allen', 'jones,antonio', 'jackson,jarvis']","['blanz,buck', 'gagen,brennan', 'kohnke,sam', 'tullos,zachary', 'gardner,robert']",1154.0,rust,3,0,0.0
8,8,3906,Millsaps,Rust,0,71-76,"32,44","39,32",2-4,1-7,,,12/03/16,6:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,129,False,19:14,,,,,"BLOCK  by TULLOS,ZACHARY",,,"BLOCK  by TULLOS,ZACHARY",1,block,,millsaps,"tullos,zachary",,"['harris,artez', 'brown,dominique', 'potts,allen', 'jones,antonio', 'jackson,jarvis']","['blanz,buck', 'gagen,brennan', 'kohnke,sam', 'tullos,zachary', 'gardner,robert']",1154.0,rust,3,0,0.0
9,9,3906,Millsaps,Rust,0,71-76,"32,44","39,32",2-4,1-7,,,12/03/16,6:15 p.m.,,"Conway, Ark. (Grove Gymnasium)",Win,2,False,129,False,--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1,offensive rebound,,rust,,,"['harris,artez', 'brown,dominique', 'potts,allen', 'jones,antonio', 'jackson,jarvis']","['blanz,buck', 'gagen,brennan', 'kohnke,sam', 'tullos,zachary', 'gardner,robert']",,rust,3,0,0.0
