,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,Time Remaining,away_play,Away Team Score,Play Team Indicator,Home Team Score,home_play,Game Score,Team Indicator,Play,Period,Play Type,Shot Outcome,Team,Player,Points Earned,Away Lineup,Home Lineup,Time(seconds),Poss,Poss_num,PPP_Home,PPP_Away
0,0,4436,Millsaps,Centre,1,65-62,"29,33","24,41",7-15,14-7,4-7,9-2,02/04/18,2:00 PM,,"Jackson, Miss.",Lose,2,False,190,False,19:47,"MISS JUMPER by SINE,TUCKER",,,,,,,"MISS JUMPER by SINE,TUCKER",1,jumper,missed,millsaps,"sine,tucker",,"['ayers,perry', 'sine,tucker', 'spitzer,jakob', 'rakes,bailey', 'walker,art']","['sullivan,michael', 'miller,joshua', 'blanz,buck', 'becker,saxton', 'spikes,kalvin']",1187.0,centre,1,0,0.0
1,1,4436,Millsaps,Centre,1,65-62,"29,33","24,41",7-15,14-7,4-7,9-2,02/04/18,2:00 PM,,"Jackson, Miss.",Lose,2,False,190,False,--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",1,defensive rebound,,centre,"spikes,kalvin",,"['ayers,perry', 'sine,tucker', 'spitzer,jakob', 'rakes,bailey', 'walker,art']","['sullivan,michael', 'miller,joshua', 'blanz,buck', 'becker,saxton', 'spikes,kalvin']",,centre,1,0,0.0
2,2,4436,Millsaps,Centre,1,65-62,"29,33","24,41",7-15,14-7,4-7,9-2,02/04/18,2:00 PM,,"Jackson, Miss.",Lose,2,False,190,False,19:33,,,,,"MISS LAYUP by SPIKES,KALVIN",,,"MISS LAYUP by SPIKES,KALVIN",1,layup,missed,centre,"spikes,kalvin",,"['ayers,perry', 'sine,tucker', 'spitzer,jakob', 'rakes,bailey', 'walker,art']","['sullivan,michael', 'miller,joshua', 'blanz,buck', 'becker,saxton', 'spikes,kalvin']",1173.0,centre,1,0,0.0
3,3,4436,Millsaps,Centre,1,65-62,"29,33","24,41",7-15,14-7,4-7,9-2,02/04/18,2:00 PM,,"Jackson, Miss.",Lose,2,False,190,False,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,centre,,,"['ayers,perry', 'sine,tucker', 'spitzer,jakob', 'rakes,bailey', 'walker,art']","['sullivan,michael', 'miller,joshua', 'blanz,buck', 'becker,saxton', 'spikes,kalvin']",,centre,1,0,0.0
4,4,4436,Millsaps,Centre,1,65-62,"29,33","24,41",7-15,14-7,4-7,9-2,02/04/18,2:00 PM,,"Jackson, Miss.",Lose,2,False,190,False,19:19,,,,,"MISS LAYUP by SPIKES,KALVIN",,,"MISS LAYUP by SPIKES,KALVIN",1,layup,missed,centre,"spikes,kalvin",,"['ayers,perry', 'sine,tucker', 'spitzer,jakob', 'rakes,bailey', 'walker,art']","['sullivan,michael', 'miller,joshua', 'blanz,buck', 'becker,saxton', 'spikes,kalvin']",1159.0,centre,1,0,0.0
5,5,4436,Millsaps,Centre,1,65-62,"29,33","24,41",7-15,14-7,4-7,9-2,02/04/18,2:00 PM,,"Jackson, Miss.",Lose,2,False,190,False,--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1,defensive rebound,,millsaps,"spitzer,jakob",,"['ayers,perry', 'sine,tucker', 'spitzer,jakob', 'rakes,bailey', 'walker,art']","['sullivan,michael', 'miller,joshua', 'blanz,buck', 'becker,saxton', 'spikes,kalvin']",,centre,1,0,0.0
6,6,4436,Millsaps,Centre,1,65-62,"29,33","24,41",7-15,14-7,4-7,9-2,02/04/18,2:00 PM,,"Jackson, Miss.",Lose,2,False,190,False,19:05,"MISS LAYUP by SPITZER,JAKOB",,,,,,,"MISS LAYUP by SPITZER,JAKOB",1,layup,missed,millsaps,"spitzer,jakob",,"['ayers,perry', 'sine,tucker', 'spitzer,jakob', 'rakes,bailey', 'walker,art']","['sullivan,michael', 'miller,joshua', 'blanz,buck', 'becker,saxton', 'spikes,kalvin']",1145.0,millsaps,2,0,0.0
7,7,4436,Millsaps,Centre,1,65-62,"29,33","24,41",7-15,14-7,4-7,9-2,02/04/18,2:00 PM,,"Jackson, Miss.",Lose,2,False,190,False,--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1,defensive rebound,,centre,"blanz,buck",,"['ayers,perry', 'sine,tucker', 'spitzer,jakob', 'rakes,bailey', 'walker,art']","['sullivan,michael', 'miller,joshua', 'blanz,buck', 'becker,saxton', 'spikes,kalvin']",,millsaps,2,0,0.0
8,8,4436,Millsaps,Centre,1,65-62,"29,33","24,41",7-15,14-7,4-7,9-2,02/04/18,2:00 PM,,"Jackson, Miss.",Lose,2,False,190,False,18:52,,,,,"TURNOVER  by SULLIVAN,MICHAEL",,,"TURNOVER  by SULLIVAN,MICHAEL",1,turnover,,centre,"sullivan,michael",,"['ayers,perry', 'sine,tucker', 'spitzer,jakob', 'rakes,bailey', 'walker,art']","['sullivan,michael', 'miller,joshua', 'blanz,buck', 'becker,saxton', 'spikes,kalvin']",1132.0,centre,3,0,0.0
9,9,4436,Millsaps,Centre,1,65-62,"29,33","24,41",7-15,14-7,4-7,9-2,02/04/18,2:00 PM,,"Jackson, Miss.",Lose,2,False,190,False,18:52,,,,,"SUB IN by OWENS,MATT",,,"SUB IN by OWENS,MATT",1,subbing in,,centre,"owens,matt",,"['ayers,perry', 'sine,tucker', 'spitzer,jakob', 'rakes,bailey', 'walker,art']","['sullivan,michael', 'miller,joshua', 'blanz,buck', 'becker,saxton', 'spikes,kalvin', 'owens,matt']",1132.0,millsaps,4,0,0.0
10,10,4436,Millsaps,Centre,1,65-62,"29,33","24,41",7-15,14-7,4-7,9-2,02/04/18,2:00 PM,,"Jackson, Miss.",Lose,2,False,190,False,18:52,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",1,subbing out,,centre,"spikes,kalvin",,"['ayers,perry', 'sine,tucker', 'spitzer,jakob', 'rakes,bailey', 'walker,art']","['sullivan,michael', 'miller,joshua', 'blanz,buck', 'becker,saxton', 'owens,matt']",1132.0,millsaps,4,0,0.0
