,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,Time Remaining,away_play,Away Team Score,Play Team Indicator,Home Team Score,home_play,Game Score,Team Indicator,Play,Period,Play Type,Shot Outcome,Team,Player,Points Earned,Away Lineup,Home Lineup,Time(seconds),Poss,Poss_num,PPP_Home,PPP_Away
0,0,4713,Millsaps,Birmingham-So.,0,67-78,"27,51","33,34",,,,,01/01/19,3:00 PM,,,Win,2,False,113,False,19:38,,,,,"MISS JUMPER by BLANZ,BUCK",,,"MISS JUMPER by BLANZ,BUCK",1,jumper,missed,millsaps,"blanz,buck",,"['spence,ben', 'stewart,christian', 'allison,zach', 'stephens,troy', 'bak,calvin']","['sullivan,michael', 'van,pelt', 'blanz,buck', 'mclaurin,ryan', 'carvelli,cameron']",1178.0,birmingham-so.,1,0,0.0
1,1,4713,Millsaps,Birmingham-So.,0,67-78,"27,51","33,34",,,,,01/01/19,3:00 PM,,,Win,2,False,113,False,--,"REBOUND DEF by BAK,CALVIN",,,,,,,"REBOUND DEF by BAK,CALVIN",1,defensive rebound,,birmingham-so.,"bak,calvin",,"['spence,ben', 'stewart,christian', 'allison,zach', 'stephens,troy', 'bak,calvin']","['sullivan,michael', 'van,pelt', 'blanz,buck', 'mclaurin,ryan', 'carvelli,cameron']",,birmingham-so.,1,0,0.0
2,2,4713,Millsaps,Birmingham-So.,0,67-78,"27,51","33,34",,,,,01/01/19,3:00 PM,,,Win,2,False,113,False,19:10,"MISS JUMPER by BAK,CALVIN",,,,,,,"MISS JUMPER by BAK,CALVIN",1,jumper,missed,birmingham-so.,"bak,calvin",,"['spence,ben', 'stewart,christian', 'allison,zach', 'stephens,troy', 'bak,calvin']","['sullivan,michael', 'van,pelt', 'blanz,buck', 'mclaurin,ryan', 'carvelli,cameron']",1150.0,birmingham-so.,1,0,0.0
3,3,4713,Millsaps,Birmingham-So.,0,67-78,"27,51","33,34",,,,,01/01/19,3:00 PM,,,Win,2,False,113,False,--,"REBOUND OFF by SPENCE,BEN",,,,,,,"REBOUND OFF by SPENCE,BEN",1,offensive rebound,,birmingham-so.,"spence,ben",,"['spence,ben', 'stewart,christian', 'allison,zach', 'stephens,troy', 'bak,calvin']","['sullivan,michael', 'van,pelt', 'blanz,buck', 'mclaurin,ryan', 'carvelli,cameron']",,birmingham-so.,1,0,0.0
4,4,4713,Millsaps,Birmingham-So.,0,67-78,"27,51","33,34",,,,,01/01/19,3:00 PM,,,Win,2,False,113,False,19:10,"GOOD LAYUP by SPENCE,BEN(in the paint)",2.0,,0.0,,M-28593 2-0 (-2),,"GOOD LAYUP by SPENCE,BEN(in the paint)",1,layup,good,birmingham-so.,"spence,ben",2.0,"['spence,ben', 'stewart,christian', 'allison,zach', 'stephens,troy', 'bak,calvin']","['sullivan,michael', 'van,pelt', 'blanz,buck', 'mclaurin,ryan', 'carvelli,cameron']",1150.0,birmingham-so.,1,0,0.0
5,5,4713,Millsaps,Birmingham-So.,0,67-78,"27,51","33,34",,,,,01/01/19,3:00 PM,,,Win,2,False,113,False,18:42,,2.0,,2.0,"GOOD JUMPER by VAN PELT,JUSTIN(in the paint)",M-426 2-2 (0),,"GOOD JUMPER by VAN PELT,JUSTIN(in the paint)",1,jumper,good,millsaps,"van pelt,justin",2.0,"['spence,ben', 'stewart,christian', 'allison,zach', 'stephens,troy', 'bak,calvin']","['sullivan,michael', 'van,pelt', 'blanz,buck', 'mclaurin,ryan', 'carvelli,cameron']",1122.0,birmingham-so.,1,0,0.0
6,6,4713,Millsaps,Birmingham-So.,0,67-78,"27,51","33,34",,,,,01/01/19,3:00 PM,,,Win,2,False,113,False,--,,2.0,,2.0,"ASSIST  by BLANZ,BUCK",,,"ASSIST  by BLANZ,BUCK",1,assist,,millsaps,"blanz,buck",,"['spence,ben', 'stewart,christian', 'allison,zach', 'stephens,troy', 'bak,calvin']","['sullivan,michael', 'van,pelt', 'blanz,buck', 'mclaurin,ryan', 'carvelli,cameron']",,birmingham-so.,1,0,0.0
7,7,4713,Millsaps,Birmingham-So.,0,67-78,"27,51","33,34",,,,,01/01/19,3:00 PM,,,Win,2,False,113,False,18:39,"TURNOVER  by BAK,CALVIN",2.0,,2.0,,,,"TURNOVER  by BAK,CALVIN",1,turnover,,birmingham-so.,"bak,calvin",,"['spence,ben', 'stewart,christian', 'allison,zach', 'stephens,troy', 'bak,calvin']","['sullivan,michael', 'van,pelt', 'blanz,buck', 'mclaurin,ryan', 'carvelli,cameron']",1119.0,birmingham-so.,1,0,0.0
8,8,4713,Millsaps,Birmingham-So.,0,67-78,"27,51","33,34",,,,,01/01/19,3:00 PM,,,Win,2,False,113,False,18:39,,2.0,,2.0,"STEAL  by MCLAURIN,RYAN",,,"STEAL  by MCLAURIN,RYAN",1,steal,,millsaps,,,"['spence,ben', 'stewart,christian', 'allison,zach', 'stephens,troy', 'bak,calvin']","['sullivan,michael', 'van,pelt', 'blanz,buck', 'mclaurin,ryan', 'carvelli,cameron']",1119.0,birmingham-so.,1,0,0.0
9,9,4713,Millsaps,Birmingham-So.,0,67-78,"27,51","33,34",,,,,01/01/19,3:00 PM,,,Win,2,False,113,False,18:22,"FOUL  by BAK,CALVIN",2.0,,2.0,,,,"FOUL  by BAK,CALVIN",1,foul,,birmingham-so.,"bak,calvin",,"['spence,ben', 'stewart,christian', 'allison,zach', 'stephens,troy', 'bak,calvin']","['sullivan,michael', 'van,pelt', 'blanz,buck', 'mclaurin,ryan', 'carvelli,cameron']",1102.0,millsaps,2,0,0.0
10,10,4713,Millsaps,Birmingham-So.,0,67-78,"27,51","33,34",,,,,01/01/19,3:00 PM,,,Win,2,False,113,False,18:22,,2.0,,2.0,"MISS FT by SULLIVAN,MICHAEL",,,"MISS FT by SULLIVAN,MICHAEL",1,free throw,missed,millsaps,"sullivan,michael",,"['spence,ben', 'stewart,christian', 'allison,zach', 'stephens,troy', 'bak,calvin']","['sullivan,michael', 'van,pelt', 'blanz,buck', 'mclaurin,ryan', 'carvelli,cameron']",1102.0,millsaps,2,0,0.0
