,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,Time Remaining,away_play,Away Team Score,Play Team Indicator,Home Team Score,home_play,Game Score,Team Indicator,Play,Period,Play Type,Shot Outcome,Team,Player,Points Earned,Away Lineup,Home Lineup,Time(seconds),Poss,Poss_num,PPP_Home,PPP_Away
0,0,4724,Oglethorpe,Millsaps,0,57-62,"31,31","30,27",13-9,10-12,7-4,2-9,02/03/19,3:30 PM,,Dorough Field House,Win,2,False,244,False,19:40,"GOOD DUNK by VAN PELT,JUSTIN",2,,0.0,,MIL 2-0 (+2),,"GOOD DUNK by VAN PELT,JUSTIN",1,dunk,good,millsaps,,2.0,"['sullivan,michael', 'van,pelt', 'turner,james', 'mclaurin,ryan', 'blanz,buck']","['inungu,tom', 'perry,will', 'sone,carlos', 'koch,will', 'foster,lane']",1180.0,millsaps,1,0,0.0
1,1,4724,Oglethorpe,Millsaps,0,57-62,"31,31","30,27",13-9,10-12,7-4,2-9,02/03/19,3:30 PM,,Dorough Field House,Win,2,False,244,False,--,"ASSIST ASSIST by BLANZ,BUCK",2,,0.0,,,,"ASSIST ASSIST by BLANZ,BUCK",1,assist,,millsaps,"blanz,buck",,"['sullivan,michael', 'van,pelt', 'turner,james', 'mclaurin,ryan', 'blanz,buck']","['inungu,tom', 'perry,will', 'sone,carlos', 'koch,will', 'foster,lane']",,millsaps,1,0,0.0
2,2,4724,Oglethorpe,Millsaps,0,57-62,"31,31","30,27",13-9,10-12,7-4,2-9,02/03/19,3:30 PM,,Dorough Field House,Win,2,False,244,False,19:18,,2,,0.0,"MISS JUMPER by INUNGU,TOM",,,"MISS JUMPER by INUNGU,TOM",1,jumper,missed,oglethorpe,"inungu,tom",,"['sullivan,michael', 'van,pelt', 'turner,james', 'mclaurin,ryan', 'blanz,buck']","['inungu,tom', 'perry,will', 'sone,carlos', 'koch,will', 'foster,lane']",1158.0,oglethorpe,2,0,0.0
3,3,4724,Oglethorpe,Millsaps,0,57-62,"31,31","30,27",13-9,10-12,7-4,2-9,02/03/19,3:30 PM,,Dorough Field House,Win,2,False,244,False,--,"REBOUND DEF by VAN PELT,JUSTIN",2,,0.0,,,,"REBOUND DEF by VAN PELT,JUSTIN",1,defensive rebound,,millsaps,"van pelt,justin",,"['sullivan,michael', 'van,pelt', 'turner,james', 'mclaurin,ryan', 'blanz,buck']","['inungu,tom', 'perry,will', 'sone,carlos', 'koch,will', 'foster,lane']",,oglethorpe,2,0,0.0
4,4,4724,Oglethorpe,Millsaps,0,57-62,"31,31","30,27",13-9,10-12,7-4,2-9,02/03/19,3:30 PM,,Dorough Field House,Win,2,False,244,False,19:07,"TURNOVER  by BLANZ,BUCK",2,,0.0,,,,"TURNOVER  by BLANZ,BUCK",1,turnover,,millsaps,"blanz,buck",,"['sullivan,michael', 'van,pelt', 'turner,james', 'mclaurin,ryan', 'blanz,buck']","['inungu,tom', 'perry,will', 'sone,carlos', 'koch,will', 'foster,lane']",1147.0,millsaps,3,0,0.0
5,5,4724,Oglethorpe,Millsaps,0,57-62,"31,31","30,27",13-9,10-12,7-4,2-9,02/03/19,3:30 PM,,Dorough Field House,Win,2,False,244,False,18:57,,2,,0.0,"MISS 3PTR by PERRY,WILL",,,"MISS 3PTR by PERRY,WILL",1,three pointer,missed,oglethorpe,"perry,will",,"['sullivan,michael', 'van,pelt', 'turner,james', 'mclaurin,ryan', 'blanz,buck']","['inungu,tom', 'perry,will', 'sone,carlos', 'koch,will', 'foster,lane']",1137.0,oglethorpe,4,0,0.0
6,6,4724,Oglethorpe,Millsaps,0,57-62,"31,31","30,27",13-9,10-12,7-4,2-9,02/03/19,3:30 PM,,Dorough Field House,Win,2,False,244,False,--,"REBOUND DEF by TURNER,JAMES",2,,0.0,,,,"REBOUND DEF by TURNER,JAMES",1,defensive rebound,,millsaps,"turner,james",,"['sullivan,michael', 'van,pelt', 'turner,james', 'mclaurin,ryan', 'blanz,buck']","['inungu,tom', 'perry,will', 'sone,carlos', 'koch,will', 'foster,lane']",,oglethorpe,4,0,0.0
7,7,4724,Oglethorpe,Millsaps,0,57-62,"31,31","30,27",13-9,10-12,7-4,2-9,02/03/19,3:30 PM,,Dorough Field House,Win,2,False,244,False,18:41,"MISS JUMPER by MCLAURIN,RYAN",2,,0.0,,,,"MISS JUMPER by MCLAURIN,RYAN",1,jumper,missed,millsaps,"mclaurin,ryan",,"['sullivan,michael', 'van,pelt', 'turner,james', 'mclaurin,ryan', 'blanz,buck']","['inungu,tom', 'perry,will', 'sone,carlos', 'koch,will', 'foster,lane']",1121.0,millsaps,5,0,0.0
8,8,4724,Oglethorpe,Millsaps,0,57-62,"31,31","30,27",13-9,10-12,7-4,2-9,02/03/19,3:30 PM,,Dorough Field House,Win,2,False,244,False,--,"REBOUND OFF by VAN PELT,JUSTIN",2,,0.0,,,,"REBOUND OFF by VAN PELT,JUSTIN",1,offensive rebound,,millsaps,"van pelt,justin",,"['sullivan,michael', 'van,pelt', 'turner,james', 'mclaurin,ryan', 'blanz,buck']","['inungu,tom', 'perry,will', 'sone,carlos', 'koch,will', 'foster,lane']",,millsaps,5,0,0.0
9,9,4724,Oglethorpe,Millsaps,0,57-62,"31,31","30,27",13-9,10-12,7-4,2-9,02/03/19,3:30 PM,,Dorough Field House,Win,2,False,244,False,18:35,"MISS TIPIN by VAN PELT,JUSTIN",2,,0.0,,,,"MISS TIPIN by VAN PELT,JUSTIN",1,tipin,missed,millsaps,"van pelt,justin",,"['sullivan,michael', 'van,pelt', 'turner,james', 'mclaurin,ryan', 'blanz,buck']","['inungu,tom', 'perry,will', 'sone,carlos', 'koch,will', 'foster,lane']",1115.0,millsaps,5,0,0.0
10,10,4724,Oglethorpe,Millsaps,0,57-62,"31,31","30,27",13-9,10-12,7-4,2-9,02/03/19,3:30 PM,,Dorough Field House,Win,2,False,244,False,--,,2,,0.0,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",1,defensive rebound,,oglethorpe,"foster,lane",,"['sullivan,michael', 'van,pelt', 'turner,james', 'mclaurin,ryan', 'blanz,buck']","['inungu,tom', 'perry,will', 'sone,carlos', 'koch,will', 'foster,lane']",,millsaps,5,0,0.0
11,11,4724,Oglethorpe,Millsaps,0,57-62,"31,31","30,27",13-9,10-12,7-4,2-9,02/03/19,3:30 PM,,Dorough Field House,Win,2,False,244,False,18:28,,2,,2.0,"GOOD JUMPER by KOCH,WILL(in the paint)",OU 2-2 (0),,"GOOD JUMPER by KOCH,WILL(in the paint)",1,jumper,good,oglethorpe,"koch,will",2.0,"['sullivan,michael', 'van,pelt', 'turner,james', 'mclaurin,ryan', 'blanz,buck']","['inungu,tom', 'perry,will', 'sone,carlos', 'koch,will', 'foster,lane']",1108.0,oglethorpe,6,0,0.0
