,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,Time Remaining,away_play,Away Team Score,Play Team Indicator,Home Team Score,home_play,Game Score,Team Indicator,Play,Period,Play Type,Shot Outcome,Team,Player,Points Earned,Away Lineup,Home Lineup,Time(seconds),Poss,Poss_num,PPP_Home,PPP_Away
0,0,5089,Millsaps,LeTourneau,0,87-77,"41,36","36,51",3-3,4-1,0-0,0-0,11/24/19,5:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,137,False,19:49,,,,,"TURNOVER  by GILLIHAN,NEWLON",,,"TURNOVER  by GILLIHAN,NEWLON",1,turnover,,millsaps,"gillihan,newlon",,"['west,nate', 'argue,john', 'eberhardt,andrew', 'fosnight,brick', 'richardson,warren']","['hughes,anthony', 'spikes,kalvin', 'jenkins,kaleb', 'mclaurin,ryan', 'gillihan,newlon']",1189.0,letourneau,1,0,0.0
1,1,5089,Millsaps,LeTourneau,0,87-77,"41,36","36,51",3-3,4-1,0-0,0-0,11/24/19,5:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,137,False,19:49,"STEAL  by ARGUE,JOHN",,,,,,,"STEAL  by ARGUE,JOHN",1,steal,,letourneau,,,"['west,nate', 'argue,john', 'eberhardt,andrew', 'fosnight,brick', 'richardson,warren']","['hughes,anthony', 'spikes,kalvin', 'jenkins,kaleb', 'mclaurin,ryan', 'gillihan,newlon']",1189.0,letourneau,1,0,0.0
2,2,5089,Millsaps,LeTourneau,0,87-77,"41,36","36,51",3-3,4-1,0-0,0-0,11/24/19,5:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,137,False,19:38,"MISS 3PTR by ARGUE,JOHN",,,,,,,"MISS 3PTR by ARGUE,JOHN",1,three pointer,missed,letourneau,"argue,john",,"['west,nate', 'argue,john', 'eberhardt,andrew', 'fosnight,brick', 'richardson,warren']","['hughes,anthony', 'spikes,kalvin', 'jenkins,kaleb', 'mclaurin,ryan', 'gillihan,newlon']",1178.0,letourneau,1,0,0.0
3,3,5089,Millsaps,LeTourneau,0,87-77,"41,36","36,51",3-3,4-1,0-0,0-0,11/24/19,5:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,137,False,--,,,,,"REBOUND DEF by JENKINS,KALEB",,,"REBOUND DEF by JENKINS,KALEB",1,defensive rebound,,millsaps,"jenkins,kaleb",,"['west,nate', 'argue,john', 'eberhardt,andrew', 'fosnight,brick', 'richardson,warren']","['hughes,anthony', 'spikes,kalvin', 'jenkins,kaleb', 'mclaurin,ryan', 'gillihan,newlon']",,letourneau,1,0,0.0
4,4,5089,Millsaps,LeTourneau,0,87-77,"41,36","36,51",3-3,4-1,0-0,0-0,11/24/19,5:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,137,False,19:29,,,,,"MISS LAYUP by SPIKES,KALVIN(in the paint)",,,"MISS LAYUP by SPIKES,KALVIN(in the paint)",1,layup,missed,millsaps,"spikes,kalvin",,"['west,nate', 'argue,john', 'eberhardt,andrew', 'fosnight,brick', 'richardson,warren']","['hughes,anthony', 'spikes,kalvin', 'jenkins,kaleb', 'mclaurin,ryan', 'gillihan,newlon']",1169.0,millsaps,2,0,0.0
5,5,5089,Millsaps,LeTourneau,0,87-77,"41,36","36,51",3-3,4-1,0-0,0-0,11/24/19,5:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,137,False,--,,,,,"REBOUND OFF by SPIKES,KALVIN",,,"REBOUND OFF by SPIKES,KALVIN",1,offensive rebound,,millsaps,"spikes,kalvin",,"['west,nate', 'argue,john', 'eberhardt,andrew', 'fosnight,brick', 'richardson,warren']","['hughes,anthony', 'spikes,kalvin', 'jenkins,kaleb', 'mclaurin,ryan', 'gillihan,newlon']",,millsaps,2,0,0.0
6,6,5089,Millsaps,LeTourneau,0,87-77,"41,36","36,51",3-3,4-1,0-0,0-0,11/24/19,5:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,137,False,19:25,,0.0,,2.0,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",Mill 0-2 (+2),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",1,layup,good,millsaps,"spikes,kalvin",2.0,"['west,nate', 'argue,john', 'eberhardt,andrew', 'fosnight,brick', 'richardson,warren']","['hughes,anthony', 'spikes,kalvin', 'jenkins,kaleb', 'mclaurin,ryan', 'gillihan,newlon']",1165.0,millsaps,2,0,0.0
7,7,5089,Millsaps,LeTourneau,0,87-77,"41,36","36,51",3-3,4-1,0-0,0-0,11/24/19,5:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,137,False,19:07,"MISS 3PTR by EBERHARDT,ANDREW",0.0,,2.0,,,,"MISS 3PTR by EBERHARDT,ANDREW",1,three pointer,missed,letourneau,"eberhardt,andrew",,"['west,nate', 'argue,john', 'eberhardt,andrew', 'fosnight,brick', 'richardson,warren']","['hughes,anthony', 'spikes,kalvin', 'jenkins,kaleb', 'mclaurin,ryan', 'gillihan,newlon']",1147.0,millsaps,2,0,0.0
8,8,5089,Millsaps,LeTourneau,0,87-77,"41,36","36,51",3-3,4-1,0-0,0-0,11/24/19,5:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,137,False,--,"REBOUND OFF by ARGUE,JOHN",0.0,,2.0,,,,"REBOUND OFF by ARGUE,JOHN",1,offensive rebound,,letourneau,"argue,john",,"['west,nate', 'argue,john', 'eberhardt,andrew', 'fosnight,brick', 'richardson,warren']","['hughes,anthony', 'spikes,kalvin', 'jenkins,kaleb', 'mclaurin,ryan', 'gillihan,newlon']",,millsaps,2,0,0.0
9,9,5089,Millsaps,LeTourneau,0,87-77,"41,36","36,51",3-3,4-1,0-0,0-0,11/24/19,5:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,137,False,19:04,,0.0,,2.0,"FOUL  by JENKINS,KALEB",,,"FOUL  by JENKINS,KALEB",1,foul,,millsaps,"jenkins,kaleb",,"['west,nate', 'argue,john', 'eberhardt,andrew', 'fosnight,brick', 'richardson,warren']","['hughes,anthony', 'spikes,kalvin', 'jenkins,kaleb', 'mclaurin,ryan', 'gillihan,newlon']",1144.0,millsaps,2,0,0.0
10,10,5089,Millsaps,LeTourneau,0,87-77,"41,36","36,51",3-3,4-1,0-0,0-0,11/24/19,5:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,137,False,18:55,"MISS JUMPER by WEST,NATE",0.0,,2.0,,,,"MISS JUMPER by WEST,NATE",1,jumper,missed,letourneau,"west,nate",,"['west,nate', 'argue,john', 'eberhardt,andrew', 'fosnight,brick', 'richardson,warren']","['hughes,anthony', 'spikes,kalvin', 'jenkins,kaleb', 'mclaurin,ryan', 'gillihan,newlon']",1135.0,letourneau,3,0,0.0
11,11,5089,Millsaps,LeTourneau,0,87-77,"41,36","36,51",3-3,4-1,0-0,0-0,11/24/19,5:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,137,False,18:55,,0.0,,2.0,"BLOCK  by JENKINS,KALEB",,,"BLOCK  by JENKINS,KALEB",1,block,,millsaps,"jenkins,kaleb",,"['west,nate', 'argue,john', 'eberhardt,andrew', 'fosnight,brick', 'richardson,warren']","['hughes,anthony', 'spikes,kalvin', 'jenkins,kaleb', 'mclaurin,ryan', 'gillihan,newlon']",1135.0,letourneau,3,0,0.0
12,12,5089,Millsaps,LeTourneau,0,87-77,"41,36","36,51",3-3,4-1,0-0,0-0,11/24/19,5:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,137,False,--,,0.0,,2.0,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1,defensive rebound,,millsaps,,,"['west,nate', 'argue,john', 'eberhardt,andrew', 'fosnight,brick', 'richardson,warren']","['hughes,anthony', 'spikes,kalvin', 'jenkins,kaleb', 'mclaurin,ryan', 'gillihan,newlon']",,letourneau,3,0,0.0
