,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,Time Remaining,away_play,Away Team Score,Play Team Indicator,Home Team Score,home_play,Game Score,Team Indicator,Play,Period,Play Type,Shot Outcome,Team,Player,Points Earned,Away Lineup,Home Lineup,Time(seconds),Poss,Poss_num,PPP_Home,PPP_Away
0,0,6234,Millsaps,Ozarks (AR),0,78-61,"26,35","43,35",0-3,4-0,0-0,0-0,11/19/22,4:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,130,False,19:30,"GOOD 3PTR by TABE,SEPHFAN",3,,0,,UO 3-0 (-3),,"GOOD 3PTR by TABE,SEPHFAN",1,three pointer,good,ozarks (ar),"tabe,sephfan",3.0,"['ukpe,josh', 'nix,grayson', 'roelke,kamren', 'jackson,tylan', 'tabe,sephfan']","['watson,doug', 'hogan,tj', 'ursin,aaron', 'ughovwa,nicholas', 'bush,rodreekas']",1170.0,ozarks (ar),1,0,0.0
1,1,6234,Millsaps,Ozarks (AR),0,78-61,"26,35","43,35",0-3,4-0,0-0,0-0,11/19/22,4:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,130,False,--,"ASSIST  by ROELKE,KAMREN",3,,0,,,,"ASSIST  by ROELKE,KAMREN",1,assist,,ozarks (ar),"roelke,kamren",,"['ukpe,josh', 'nix,grayson', 'roelke,kamren', 'jackson,tylan', 'tabe,sephfan']","['watson,doug', 'hogan,tj', 'ursin,aaron', 'ughovwa,nicholas', 'bush,rodreekas']",,ozarks (ar),1,0,0.0
2,2,6234,Millsaps,Ozarks (AR),0,78-61,"26,35","43,35",0-3,4-0,0-0,0-0,11/19/22,4:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,130,False,19:08,,3,,0,"MISS LAYUP by URSIN,AARON(in the paint)",,,"MISS LAYUP by URSIN,AARON(in the paint)",1,layup,missed,millsaps,"ursin,aaron",,"['ukpe,josh', 'nix,grayson', 'roelke,kamren', 'jackson,tylan', 'tabe,sephfan']","['watson,doug', 'hogan,tj', 'ursin,aaron', 'ughovwa,nicholas', 'bush,rodreekas']",1148.0,ozarks (ar),1,0,0.0
3,3,6234,Millsaps,Ozarks (AR),0,78-61,"26,35","43,35",0-3,4-0,0-0,0-0,11/19/22,4:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,130,False,--,"REBOUND DEF by JACKSON,TYLAN",3,,0,,,,"REBOUND DEF by JACKSON,TYLAN",1,defensive rebound,,ozarks (ar),"jackson,tylan",,"['ukpe,josh', 'nix,grayson', 'roelke,kamren', 'jackson,tylan', 'tabe,sephfan']","['watson,doug', 'hogan,tj', 'ursin,aaron', 'ughovwa,nicholas', 'bush,rodreekas']",,ozarks (ar),1,0,0.0
4,4,6234,Millsaps,Ozarks (AR),0,78-61,"26,35","43,35",0-3,4-0,0-0,0-0,11/19/22,4:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,130,False,18:44,"MISS LAYUP by JACKSON,TYLAN(in the paint)",3,,0,,,,"MISS LAYUP by JACKSON,TYLAN(in the paint)",1,layup,missed,ozarks (ar),"jackson,tylan",,"['ukpe,josh', 'nix,grayson', 'roelke,kamren', 'jackson,tylan', 'tabe,sephfan']","['watson,doug', 'hogan,tj', 'ursin,aaron', 'ughovwa,nicholas', 'bush,rodreekas']",1124.0,ozarks (ar),1,0,0.0
5,5,6234,Millsaps,Ozarks (AR),0,78-61,"26,35","43,35",0-3,4-0,0-0,0-0,11/19/22,4:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,130,False,--,"REBOUND OFF by TABE,SEPHFAN",3,,0,,,,"REBOUND OFF by TABE,SEPHFAN",1,offensive rebound,,ozarks (ar),"tabe,sephfan",,"['ukpe,josh', 'nix,grayson', 'roelke,kamren', 'jackson,tylan', 'tabe,sephfan']","['watson,doug', 'hogan,tj', 'ursin,aaron', 'ughovwa,nicholas', 'bush,rodreekas']",,ozarks (ar),1,0,0.0
6,6,6234,Millsaps,Ozarks (AR),0,78-61,"26,35","43,35",0-3,4-0,0-0,0-0,11/19/22,4:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,130,False,18:38,"MISS LAYUP by TABE,SEPHFAN(in the paint)",3,,0,,,,"MISS LAYUP by TABE,SEPHFAN(in the paint)",1,layup,missed,ozarks (ar),"tabe,sephfan",,"['ukpe,josh', 'nix,grayson', 'roelke,kamren', 'jackson,tylan', 'tabe,sephfan']","['watson,doug', 'hogan,tj', 'ursin,aaron', 'ughovwa,nicholas', 'bush,rodreekas']",1118.0,ozarks (ar),1,0,0.0
7,7,6234,Millsaps,Ozarks (AR),0,78-61,"26,35","43,35",0-3,4-0,0-0,0-0,11/19/22,4:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,130,False,18:38,"MISS LAYUP by JACKSON,TYLAN(in the paint)",3,,0,,,,"MISS LAYUP by JACKSON,TYLAN(in the paint)",1,layup,missed,ozarks (ar),"jackson,tylan",,"['ukpe,josh', 'nix,grayson', 'roelke,kamren', 'jackson,tylan', 'tabe,sephfan']","['watson,doug', 'hogan,tj', 'ursin,aaron', 'ughovwa,nicholas', 'bush,rodreekas']",1118.0,ozarks (ar),1,0,0.0
8,8,6234,Millsaps,Ozarks (AR),0,78-61,"26,35","43,35",0-3,4-0,0-0,0-0,11/19/22,4:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,130,False,--,"REBOUND OFF by JACKSON,TYLAN",3,,0,,,,"REBOUND OFF by JACKSON,TYLAN",1,offensive rebound,,ozarks (ar),"jackson,tylan",,"['ukpe,josh', 'nix,grayson', 'roelke,kamren', 'jackson,tylan', 'tabe,sephfan']","['watson,doug', 'hogan,tj', 'ursin,aaron', 'ughovwa,nicholas', 'bush,rodreekas']",,ozarks (ar),1,0,0.0
9,9,6234,Millsaps,Ozarks (AR),0,78-61,"26,35","43,35",0-3,4-0,0-0,0-0,11/19/22,4:00 PM,,"The Hangar Dome, Jackson, MS",Lose,2,False,130,False,--,,3,,0,"REBOUND DEF by URSIN,AARON",,,"REBOUND DEF by URSIN,AARON",1,defensive rebound,,millsaps,"ursin,aaron",,"['ukpe,josh', 'nix,grayson', 'roelke,kamren', 'jackson,tylan', 'tabe,sephfan']","['watson,doug', 'hogan,tj', 'ursin,aaron', 'ughovwa,nicholas', 'bush,rodreekas']",,ozarks (ar),1,0,0.0
