,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,Time Remaining,away_play,Away Team Score,Play Team Indicator,Home Team Score,home_play,Game Score,Team Indicator,Play,Period,Play Type,Shot Outcome,Team,Player,Points Earned,Away Lineup,Home Lineup,Time(seconds),Poss,Poss_num,PPP_Home,PPP_Away
0,0,1030,Sewanee,Hendrix,1,58-70,"33,37","24,34",13-7,6-14,7-2,1-8,02/06/15,8 p.m.,,"Sewanee, Tenn. (Juhan Gymnasium)",Win,2,False,215,False,19:42,,,,,"MISS JUMPER by BROWN,SETH",,,"MISS JUMPER by BROWN,SETH",1,jumper,missed,sewanee,"brown,seth",,"['vance,luke', 'steele,aaron', 'nikolovski,drew', 'gumm,gabe', 'aldous,hank']","['caldwell,marcellus', 'williams,jorden', 'carter,keshonn', 'brown,seth', 'tome,matt']",1182.0,sewanee,1,0,0.0
1,1,1030,Sewanee,Hendrix,1,58-70,"33,37","24,34",13-7,6-14,7-2,1-8,02/06/15,8 p.m.,,"Sewanee, Tenn. (Juhan Gymnasium)",Win,2,False,215,False,--,,,,,"REBOUND OFF by BROWN,SETH",,,"REBOUND OFF by BROWN,SETH",1,offensive rebound,,sewanee,"brown,seth",,"['vance,luke', 'steele,aaron', 'nikolovski,drew', 'gumm,gabe', 'aldous,hank']","['caldwell,marcellus', 'williams,jorden', 'carter,keshonn', 'brown,seth', 'tome,matt']",,sewanee,1,0,0.0
2,2,1030,Sewanee,Hendrix,1,58-70,"33,37","24,34",13-7,6-14,7-2,1-8,02/06/15,8 p.m.,,"Sewanee, Tenn. (Juhan Gymnasium)",Win,2,False,215,False,19:38,,0.0,,2.0,"GOOD JUMPER by CALDWELL,MARCELLUS",SEWANEE 0-2 (-2),,"GOOD JUMPER by CALDWELL,MARCELLUS",1,jumper,good,sewanee,"caldwell,marcellus",2.0,"['vance,luke', 'steele,aaron', 'nikolovski,drew', 'gumm,gabe', 'aldous,hank']","['caldwell,marcellus', 'williams,jorden', 'carter,keshonn', 'brown,seth', 'tome,matt']",1178.0,sewanee,1,0,0.0
3,3,1030,Sewanee,Hendrix,1,58-70,"33,37","24,34",13-7,6-14,7-2,1-8,02/06/15,8 p.m.,,"Sewanee, Tenn. (Juhan Gymnasium)",Win,2,False,215,False,19:07,"MISS 3PTR by GUMM,GABE",0.0,,2.0,,,,"MISS 3PTR by GUMM,GABE",1,three pointer,missed,hendrix,"gumm,gabe",,"['vance,luke', 'steele,aaron', 'nikolovski,drew', 'gumm,gabe', 'aldous,hank']","['caldwell,marcellus', 'williams,jorden', 'carter,keshonn', 'brown,seth', 'tome,matt']",1147.0,sewanee,1,0,0.0
4,4,1030,Sewanee,Hendrix,1,58-70,"33,37","24,34",13-7,6-14,7-2,1-8,02/06/15,8 p.m.,,"Sewanee, Tenn. (Juhan Gymnasium)",Win,2,False,215,False,--,,0.0,,2.0,"REBOUND DEF by WILLIAMS,JORDEN",,,"REBOUND DEF by WILLIAMS,JORDEN",1,defensive rebound,,sewanee,"williams,jorden",,"['vance,luke', 'steele,aaron', 'nikolovski,drew', 'gumm,gabe', 'aldous,hank']","['caldwell,marcellus', 'williams,jorden', 'carter,keshonn', 'brown,seth', 'tome,matt']",,sewanee,1,0,0.0
5,5,1030,Sewanee,Hendrix,1,58-70,"33,37","24,34",13-7,6-14,7-2,1-8,02/06/15,8 p.m.,,"Sewanee, Tenn. (Juhan Gymnasium)",Win,2,False,215,False,18:43,,0.0,,2.0,"MISS LAYUP by BROWN,SETH",,,"MISS LAYUP by BROWN,SETH",1,layup,missed,sewanee,"brown,seth",,"['vance,luke', 'steele,aaron', 'nikolovski,drew', 'gumm,gabe', 'aldous,hank']","['caldwell,marcellus', 'williams,jorden', 'carter,keshonn', 'brown,seth', 'tome,matt']",1123.0,sewanee,1,0,0.0
6,6,1030,Sewanee,Hendrix,1,58-70,"33,37","24,34",13-7,6-14,7-2,1-8,02/06/15,8 p.m.,,"Sewanee, Tenn. (Juhan Gymnasium)",Win,2,False,215,False,--,"REBOUND DEF by STEELE,AARON",0.0,,2.0,,,,"REBOUND DEF by STEELE,AARON",1,defensive rebound,,hendrix,"steele,aaron",,"['vance,luke', 'steele,aaron', 'nikolovski,drew', 'gumm,gabe', 'aldous,hank']","['caldwell,marcellus', 'williams,jorden', 'carter,keshonn', 'brown,seth', 'tome,matt']",,sewanee,1,0,0.0
7,7,1030,Sewanee,Hendrix,1,58-70,"33,37","24,34",13-7,6-14,7-2,1-8,02/06/15,8 p.m.,,"Sewanee, Tenn. (Juhan Gymnasium)",Win,2,False,215,False,18:14,"TURNOVER  by GUMM,GABE",0.0,,2.0,,,,"TURNOVER  by GUMM,GABE",1,turnover,,hendrix,"gumm,gabe",,"['vance,luke', 'steele,aaron', 'nikolovski,drew', 'gumm,gabe', 'aldous,hank']","['caldwell,marcellus', 'williams,jorden', 'carter,keshonn', 'brown,seth', 'tome,matt']",1094.0,hendrix,2,0,0.0
8,8,1030,Sewanee,Hendrix,1,58-70,"33,37","24,34",13-7,6-14,7-2,1-8,02/06/15,8 p.m.,,"Sewanee, Tenn. (Juhan Gymnasium)",Win,2,False,215,False,18:13,,0.0,,2.0,"STEAL  by BROWN,SETH",,,"STEAL  by BROWN,SETH",1,steal,,sewanee,,,"['vance,luke', 'steele,aaron', 'nikolovski,drew', 'gumm,gabe', 'aldous,hank']","['caldwell,marcellus', 'williams,jorden', 'carter,keshonn', 'brown,seth', 'tome,matt']",1093.0,hendrix,2,0,0.0
9,9,1030,Sewanee,Hendrix,1,58-70,"33,37","24,34",13-7,6-14,7-2,1-8,02/06/15,8 p.m.,,"Sewanee, Tenn. (Juhan Gymnasium)",Win,2,False,215,False,18:06,,0.0,,4.0,"GOOD JUMPER by WILLIAMS,JORDEN",SEWANEE 0-4 (-4),,"GOOD JUMPER by WILLIAMS,JORDEN",1,jumper,good,sewanee,"williams,jorden",2.0,"['vance,luke', 'steele,aaron', 'nikolovski,drew', 'gumm,gabe', 'aldous,hank']","['caldwell,marcellus', 'williams,jorden', 'carter,keshonn', 'brown,seth', 'tome,matt']",1086.0,sewanee,3,0,0.0
