,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,Time Remaining,away_play,Away Team Score,Play Team Indicator,Home Team Score,home_play,Game Score,Team Indicator,Play,Period,Play Type,Shot Outcome,Team,Player,Points Earned,Away Lineup,Home Lineup,Time(seconds),Poss,Poss_num,PPP_Home,PPP_Away
0,0,1979,Hendrix,Austin,0,89-40,"15,25","44,45",0-3,1-2,,,11/20/16,3 p.m.,,"Jackson, Miss. (Hangar Dome)",Lose,2,False,127,False,19:49,"GOOD JUMPER by BAEHL,BRIAN",2,,0,,ACM 2-0 (-2),,"GOOD JUMPER by BAEHL,BRIAN",1,jumper,good,austin,"baehl,brian",2.0,"['baehl,brian', 'swisher,jeremy', 'freet,austin', 'igbinosa,stephen', 'wells,austin']","['littlefield,gearen', 'smith,preston', 'steele,aaron', 'garrett,travis', 'batchelor,bryce']",1189.0,hendrix,1,0,0.0
1,1,1979,Hendrix,Austin,0,89-40,"15,25","44,45",0-3,1-2,,,11/20/16,3 p.m.,,"Jackson, Miss. (Hangar Dome)",Lose,2,False,127,False,19:26,"FOUL  by IGBINOSA,STEPHEN",2,,0,,,,"FOUL  by IGBINOSA,STEPHEN",1,foul,,austin,"igbinosa,stephen",,"['baehl,brian', 'swisher,jeremy', 'freet,austin', 'igbinosa,stephen', 'wells,austin']","['littlefield,gearen', 'smith,preston', 'steele,aaron', 'garrett,travis', 'batchelor,bryce']",1166.0,hendrix,1,0,0.0
2,2,1979,Hendrix,Austin,0,89-40,"15,25","44,45",0-3,1-2,,,11/20/16,3 p.m.,,"Jackson, Miss. (Hangar Dome)",Lose,2,False,127,False,19:26,,2,,0,"MISS FT by LITTLEFIELD,GEAREN",,,"MISS FT by LITTLEFIELD,GEAREN",1,free throw,missed,hendrix,"littlefield,gearen",,"['baehl,brian', 'swisher,jeremy', 'freet,austin', 'igbinosa,stephen', 'wells,austin']","['littlefield,gearen', 'smith,preston', 'steele,aaron', 'garrett,travis', 'batchelor,bryce']",1166.0,hendrix,1,0,0.0
3,3,1979,Hendrix,Austin,0,89-40,"15,25","44,45",0-3,1-2,,,11/20/16,3 p.m.,,"Jackson, Miss. (Hangar Dome)",Lose,2,False,127,False,--,,2,,0,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,hendrix,,,"['baehl,brian', 'swisher,jeremy', 'freet,austin', 'igbinosa,stephen', 'wells,austin']","['littlefield,gearen', 'smith,preston', 'steele,aaron', 'garrett,travis', 'batchelor,bryce']",,hendrix,1,0,0.0
4,4,1979,Hendrix,Austin,0,89-40,"15,25","44,45",0-3,1-2,,,11/20/16,3 p.m.,,"Jackson, Miss. (Hangar Dome)",Lose,2,False,127,False,19:26,,2,,1,"GOOD FT by BATCHELOR,BRYCE",HENDRIX 2-1 (-1),,"GOOD FT by BATCHELOR,BRYCE",1,free throw,good,hendrix,"batchelor,bryce",1.0,"['baehl,brian', 'swisher,jeremy', 'freet,austin', 'igbinosa,stephen', 'wells,austin']","['littlefield,gearen', 'smith,preston', 'steele,aaron', 'garrett,travis', 'batchelor,bryce']",1166.0,hendrix,1,0,0.0
5,5,1979,Hendrix,Austin,0,89-40,"15,25","44,45",0-3,1-2,,,11/20/16,3 p.m.,,"Jackson, Miss. (Hangar Dome)",Lose,2,False,127,False,19:26,"GOOD JUMPER by SWISHER,JEREMY",4,,1,,ACM 4-1 (-3),,"GOOD JUMPER by SWISHER,JEREMY",1,jumper,good,austin,"swisher,jeremy",2.0,"['baehl,brian', 'swisher,jeremy', 'freet,austin', 'igbinosa,stephen', 'wells,austin']","['littlefield,gearen', 'smith,preston', 'steele,aaron', 'garrett,travis', 'batchelor,bryce']",1166.0,hendrix,1,0,0.0
6,6,1979,Hendrix,Austin,0,89-40,"15,25","44,45",0-3,1-2,,,11/20/16,3 p.m.,,"Jackson, Miss. (Hangar Dome)",Lose,2,False,127,False,19:20,,4,,1,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1,foul,,hendrix,"batchelor,bryce",,"['baehl,brian', 'swisher,jeremy', 'freet,austin', 'igbinosa,stephen', 'wells,austin']","['littlefield,gearen', 'smith,preston', 'steele,aaron', 'garrett,travis', 'batchelor,bryce']",1160.0,hendrix,1,0,0.0
7,7,1979,Hendrix,Austin,0,89-40,"15,25","44,45",0-3,1-2,,,11/20/16,3 p.m.,,"Jackson, Miss. (Hangar Dome)",Lose,2,False,127,False,19:17,,4,,1,"TURNOVER  by BATCHELOR,BRYCE",,,"TURNOVER  by BATCHELOR,BRYCE",1,turnover,,hendrix,"batchelor,bryce",,"['baehl,brian', 'swisher,jeremy', 'freet,austin', 'igbinosa,stephen', 'wells,austin']","['littlefield,gearen', 'smith,preston', 'steele,aaron', 'garrett,travis', 'batchelor,bryce']",1157.0,hendrix,1,0,0.0
8,8,1979,Hendrix,Austin,0,89-40,"15,25","44,45",0-3,1-2,,,11/20/16,3 p.m.,,"Jackson, Miss. (Hangar Dome)",Lose,2,False,127,False,18:49,"MISS JUMPER by IGBINOSA,STEPHEN",4,,1,,,,"MISS JUMPER by IGBINOSA,STEPHEN",1,jumper,missed,austin,"igbinosa,stephen",,"['baehl,brian', 'swisher,jeremy', 'freet,austin', 'igbinosa,stephen', 'wells,austin']","['littlefield,gearen', 'smith,preston', 'steele,aaron', 'garrett,travis', 'batchelor,bryce']",1129.0,austin,2,0,0.0
9,9,1979,Hendrix,Austin,0,89-40,"15,25","44,45",0-3,1-2,,,11/20/16,3 p.m.,,"Jackson, Miss. (Hangar Dome)",Lose,2,False,127,False,--,"REBOUND OFF by FREET,AUSTIN",4,,1,,,,"REBOUND OFF by FREET,AUSTIN",1,offensive rebound,,austin,"freet,austin",,"['baehl,brian', 'swisher,jeremy', 'freet,austin', 'igbinosa,stephen', 'wells,austin']","['littlefield,gearen', 'smith,preston', 'steele,aaron', 'garrett,travis', 'batchelor,bryce']",,austin,2,0,0.0
