,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,Time Remaining,away_play,Away Team Score,Play Team Indicator,Home Team Score,home_play,Game Score,Team Indicator,Play,Period,Play Type,Shot Outcome,Team,Player,Points Earned,Away Lineup,Home Lineup,Time(seconds),Poss,Poss_num,PPP_Home,PPP_Away
0,0,5181,Hendrix,Centre,1,60-63,"19,44","35,25",6-16,5-16,5-6,2-9,02/05/23,2:00 PM,,"Grove Gymnasium, Conway, AR",Win,2,False,345,False,19:36,"GOOD LAYUP by MOORE,CHEZ(in the paint)",2,,0,,Centre 2-0 (-2),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1,layup,good,hendrix,"moore,chez",2.0,"['wilson,drew', 'stinnett,cade', 'taylor,marshall', 'moore,chez', 'baughman,carter']","['squires,caleb', 'weaver,braden', 'deithloff,tyler', 'berry,colten', 'torres,jaden']",1176.0,centre,1,0,0.0
1,1,5181,Hendrix,Centre,1,60-63,"19,44","35,25",6-16,5-16,5-6,2-9,02/05/23,2:00 PM,,"Grove Gymnasium, Conway, AR",Win,2,False,345,False,19:10,,2,,0,"MISS JUMPER by BERRY,COLTEN",,,"MISS JUMPER by BERRY,COLTEN",1,jumper,missed,centre,"berry,colten",,"['wilson,drew', 'stinnett,cade', 'taylor,marshall', 'moore,chez', 'baughman,carter']","['squires,caleb', 'weaver,braden', 'deithloff,tyler', 'berry,colten', 'torres,jaden']",1150.0,centre,1,0,0.0
2,2,5181,Hendrix,Centre,1,60-63,"19,44","35,25",6-16,5-16,5-6,2-9,02/05/23,2:00 PM,,"Grove Gymnasium, Conway, AR",Win,2,False,345,False,--,"REBOUND DEF by TAYLOR,MARSHALL",2,,0,,,,"REBOUND DEF by TAYLOR,MARSHALL",1,defensive rebound,,hendrix,"taylor,marshall",,"['wilson,drew', 'stinnett,cade', 'taylor,marshall', 'moore,chez', 'baughman,carter']","['squires,caleb', 'weaver,braden', 'deithloff,tyler', 'berry,colten', 'torres,jaden']",,centre,1,0,0.0
3,3,5181,Hendrix,Centre,1,60-63,"19,44","35,25",6-16,5-16,5-6,2-9,02/05/23,2:00 PM,,"Grove Gymnasium, Conway, AR",Win,2,False,345,False,19:01,"MISS JUMPER by WILSON,DREW(in the paint)",2,,0,,,,"MISS JUMPER by WILSON,DREW(in the paint)",1,jumper,missed,hendrix,"wilson,drew",,"['wilson,drew', 'stinnett,cade', 'taylor,marshall', 'moore,chez', 'baughman,carter']","['squires,caleb', 'weaver,braden', 'deithloff,tyler', 'berry,colten', 'torres,jaden']",1141.0,hendrix,2,0,0.0
4,4,5181,Hendrix,Centre,1,60-63,"19,44","35,25",6-16,5-16,5-6,2-9,02/05/23,2:00 PM,,"Grove Gymnasium, Conway, AR",Win,2,False,345,False,--,,2,,0,"REBOUND DEF by TORRES,JADEN",,,"REBOUND DEF by TORRES,JADEN",1,defensive rebound,,centre,"torres,jaden",,"['wilson,drew', 'stinnett,cade', 'taylor,marshall', 'moore,chez', 'baughman,carter']","['squires,caleb', 'weaver,braden', 'deithloff,tyler', 'berry,colten', 'torres,jaden']",,hendrix,2,0,0.0
5,5,5181,Hendrix,Centre,1,60-63,"19,44","35,25",6-16,5-16,5-6,2-9,02/05/23,2:00 PM,,"Grove Gymnasium, Conway, AR",Win,2,False,345,False,18:53,,2,,0,"TURNOVER  by WEAVER,BRADEN",,,"TURNOVER  by WEAVER,BRADEN",1,turnover,,centre,"weaver,braden",,"['wilson,drew', 'stinnett,cade', 'taylor,marshall', 'moore,chez', 'baughman,carter']","['squires,caleb', 'weaver,braden', 'deithloff,tyler', 'berry,colten', 'torres,jaden']",1133.0,centre,3,0,0.0
6,6,5181,Hendrix,Centre,1,60-63,"19,44","35,25",6-16,5-16,5-6,2-9,02/05/23,2:00 PM,,"Grove Gymnasium, Conway, AR",Win,2,False,345,False,18:27,"MISS 3PTR by BAUGHMAN,CARTER",2,,0,,,,"MISS 3PTR by BAUGHMAN,CARTER",1,three pointer,missed,hendrix,"baughman,carter",,"['wilson,drew', 'stinnett,cade', 'taylor,marshall', 'moore,chez', 'baughman,carter']","['squires,caleb', 'weaver,braden', 'deithloff,tyler', 'berry,colten', 'torres,jaden']",1107.0,hendrix,4,0,0.0
7,7,5181,Hendrix,Centre,1,60-63,"19,44","35,25",6-16,5-16,5-6,2-9,02/05/23,2:00 PM,,"Grove Gymnasium, Conway, AR",Win,2,False,345,False,--,,2,,0,"REBOUND DEF by WEAVER,BRADEN",,,"REBOUND DEF by WEAVER,BRADEN",1,defensive rebound,,centre,"weaver,braden",,"['wilson,drew', 'stinnett,cade', 'taylor,marshall', 'moore,chez', 'baughman,carter']","['squires,caleb', 'weaver,braden', 'deithloff,tyler', 'berry,colten', 'torres,jaden']",,hendrix,4,0,0.0
8,8,5181,Hendrix,Centre,1,60-63,"19,44","35,25",6-16,5-16,5-6,2-9,02/05/23,2:00 PM,,"Grove Gymnasium, Conway, AR",Win,2,False,345,False,17:58,,2,,0,"MISS 3PTR by SQUIRES,CALEB",,,"MISS 3PTR by SQUIRES,CALEB",1,three pointer,missed,centre,"squires,caleb",,"['wilson,drew', 'stinnett,cade', 'taylor,marshall', 'moore,chez', 'baughman,carter']","['squires,caleb', 'weaver,braden', 'deithloff,tyler', 'berry,colten', 'torres,jaden']",1078.0,centre,5,0,0.0
9,9,5181,Hendrix,Centre,1,60-63,"19,44","35,25",6-16,5-16,5-6,2-9,02/05/23,2:00 PM,,"Grove Gymnasium, Conway, AR",Win,2,False,345,False,--,,2,,0,"REBOUND OFF by BERRY,COLTEN",,,"REBOUND OFF by BERRY,COLTEN",1,offensive rebound,,centre,"berry,colten",,"['wilson,drew', 'stinnett,cade', 'taylor,marshall', 'moore,chez', 'baughman,carter']","['squires,caleb', 'weaver,braden', 'deithloff,tyler', 'berry,colten', 'torres,jaden']",,centre,5,0,0.0
10,10,5181,Hendrix,Centre,1,60-63,"19,44","35,25",6-16,5-16,5-6,2-9,02/05/23,2:00 PM,,"Grove Gymnasium, Conway, AR",Win,2,False,345,False,17:53,,2,,0,"TURNOVER  by BERRY,COLTEN",,,"TURNOVER  by BERRY,COLTEN",1,turnover,,centre,"berry,colten",,"['wilson,drew', 'stinnett,cade', 'taylor,marshall', 'moore,chez', 'baughman,carter']","['squires,caleb', 'weaver,braden', 'deithloff,tyler', 'berry,colten', 'torres,jaden']",1073.0,centre,5,0,0.0
11,11,5181,Hendrix,Centre,1,60-63,"19,44","35,25",6-16,5-16,5-6,2-9,02/05/23,2:00 PM,,"Grove Gymnasium, Conway, AR",Win,2,False,345,False,17:53,"STEAL  by TAYLOR,MARSHALL",2,,0,,,,"STEAL  by TAYLOR,MARSHALL",1,steal,,hendrix,,,"['wilson,drew', 'stinnett,cade', 'taylor,marshall', 'moore,chez', 'baughman,carter']","['squires,caleb', 'weaver,braden', 'deithloff,tyler', 'berry,colten', 'torres,jaden']",1073.0,centre,5,0,0.0
12,12,5181,Hendrix,Centre,1,60-63,"19,44","35,25",6-16,5-16,5-6,2-9,02/05/23,2:00 PM,,"Grove Gymnasium, Conway, AR",Win,2,False,345,False,17:46,"GOOD 3PTR by WILSON,DREW(fastbreak)",5,,0,,Centre 5-0 (-5),,"GOOD 3PTR by WILSON,DREW(fastbreak)",1,three pointer,good,hendrix,"wilson,drew(fastbreak)",3.0,"['wilson,drew', 'stinnett,cade', 'taylor,marshall', 'moore,chez', 'baughman,carter']","['squires,caleb', 'weaver,braden', 'deithloff,tyler', 'berry,colten', 'torres,jaden']",1066.0,hendrix,6,0,0.0
