game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
3,Berry College,Emory University,56-82,56,82,1-2,3-0,11/20/12,Win,No Attendence Recorded,No Location Recorded,7:00 PM,19:36,,0,2,"GOOD JUMPER by FRIEDBERG, MICHAEL",2,1,,,0,0,,,jumper,good,1,0,1.0,,39,2376
3,Berry College,Emory University,56-82,56,82,1-2,3-0,11/20/12,Win,No Attendence Recorded,No Location Recorded,7:00 PM,19:20,"FOUL  by SMOAK,HUNTER",0,2,,2,1,foul,,0,0,,,,,1,0,1.0,,39,2360
3,Berry College,Emory University,56-82,56,82,1-2,3-0,11/20/12,Win,No Attendence Recorded,No Location Recorded,7:00 PM,19:20,"TURNOVER  by SMOAK,HUNTER",0,2,,2,1,,,0,0,,,,,1,0,1.0,,39,2360
3,Berry College,Emory University,56-82,56,82,1-2,3-0,11/20/12,Win,No Attendence Recorded,No Location Recorded,7:00 PM,19:09,"FOUL  by ABRAMS,JONATHAN",0,2,,2,1,foul,,0,0,,,,,1,0,1.0,,39,2349
3,Berry College,Emory University,56-82,56,82,1-2,3-0,11/20/12,Win,No Attendence Recorded,No Location Recorded,7:00 PM,19:09,,0,2,"MISS FT by OH, NASH",2,1,,,0,0,,,ft,miss,2,0,0.5,,39,2349
3,Berry College,Emory University,56-82,56,82,1-2,3-0,11/20/12,Win,No Attendence Recorded,No Location Recorded,7:00 PM,19:09,,0,2,REBOUND DEADB by TEAM,2,1,,,0,0,,,,,2,0,0.5,,39,2349
3,Berry College,Emory University,56-82,56,82,1-2,3-0,11/20/12,Win,No Attendence Recorded,No Location Recorded,7:00 PM,19:09,,0,3,"GOOD FT by OH, NASH",3,1,,,0,0,,,ft,good,3,0,0.667,,39,2349
3,Berry College,Emory University,56-82,56,82,1-2,3-0,11/20/12,Win,No Attendence Recorded,No Location Recorded,7:00 PM,19:01,"MISS LAYUP by ABRAMS,JONATHAN",0,3,,3,1,layup,miss,1,0,0.0,,,,3,0,0.667,,39,2341
3,Berry College,Emory University,56-82,56,82,1-2,3-0,11/20/12,Win,No Attendence Recorded,No Location Recorded,7:00 PM,19:01,,0,3,"REBOUND DEF by DAVIS, JAKE",3,1,,,1,0,0.0,,,,3,0,0.667,,39,2341
3,Berry College,Emory University,56-82,56,82,1-2,3-0,11/20/12,Win,No Attendence Recorded,No Location Recorded,7:00 PM,18:51,,0,5,"GOOD LAYUP by FLORIN, MICHAEL(fastbreak)(in the paint)",5,1,,,1,0,0.0,,layup,good,4,0,0.75,,38,2331
3,Berry College,Emory University,56-82,56,82,1-2,3-0,11/20/12,Win,No Attendence Recorded,No Location Recorded,7:00 PM,18:26,"MISS JUMPER by GRAHAM,LAKE",0,5,,5,1,jumper,miss,2,0,0.0,,,,4,0,0.75,,38,2306
3,Berry College,Emory University,56-82,56,82,1-2,3-0,11/20/12,Win,No Attendence Recorded,No Location Recorded,7:00 PM,18:26,REBOUND OFF by TEAM,0,5,,5,1,,,2,0,0.0,,,,4,0,0.75,,38,2306
3,Berry College,Emory University,56-82,56,82,1-2,3-0,11/20/12,Win,No Attendence Recorded,No Location Recorded,7:00 PM,18:04,,0,5,"FOUL  by OH, NASH",5,1,,,2,0,0.0,,foul,,4,0,0.75,,38,2284
3,Berry College,Emory University,56-82,56,82,1-2,3-0,11/20/12,Win,No Attendence Recorded,No Location Recorded,7:00 PM,18:04,"MISS FT by ABRAMS,JONATHAN",0,5,,5,1,ft,miss,3,0,0.0,,,,4,0,0.75,,38,2284
3,Berry College,Emory University,56-82,56,82,1-2,3-0,11/20/12,Win,No Attendence Recorded,No Location Recorded,7:00 PM,18:04,REBOUND DEADB by TEAM,0,5,,5,1,,,3,0,0.0,,,,4,0,0.75,,38,2284
