game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
4,Berry,Oglethorpe,56-82,56,82,1-3,5-0,11/29/12,Win,278,No Location Recorded,8 p.m.,19:44,"GOOD LAYUP by GRAHAM,LAKE(in the paint)",2,0,,-2,1,layup,good,1,0,1.0,,,,0,0,,,39,2384
4,Berry,Oglethorpe,56-82,56,82,1-3,5-0,11/29/12,Win,278,No Location Recorded,8 p.m.,19:44,"ASSIST  by ABRAMS,JONATHAN",2,0,,-2,1,,,1,0,1.0,,,,0,0,,,39,2384
4,Berry,Oglethorpe,56-82,56,82,1-3,5-0,11/29/12,Win,278,No Location Recorded,8 p.m.,19:31,,2,0,"TURNOVER  by MOLINET,CHRISTIAN",-2,1,,,1,0,1.0,,,,0,0,,,39,2371
4,Berry,Oglethorpe,56-82,56,82,1-3,5-0,11/29/12,Win,278,No Location Recorded,8 p.m.,19:01,"MISS LAYUP by ABRAMS,JONATHAN",2,0,,-2,1,layup,miss,2,0,0.5,,,,0,0,,,39,2341
4,Berry,Oglethorpe,56-82,56,82,1-3,5-0,11/29/12,Win,278,No Location Recorded,8 p.m.,19:01,,2,0,"REBOUND DEF by KINNEY,JORDAN",-2,1,,,2,0,0.5,,,,0,0,,,39,2341
4,Berry,Oglethorpe,56-82,56,82,1-3,5-0,11/29/12,Win,278,No Location Recorded,8 p.m.,18:52,"FOUL  by ABRAMS,JONATHAN",2,0,,-2,1,foul,,2,0,0.5,,,,0,0,,,38,2332
4,Berry,Oglethorpe,56-82,56,82,1-3,5-0,11/29/12,Win,278,No Location Recorded,8 p.m.,18:52,,2,1,"GOOD FT by KINNEY,JORDAN",-1,1,,,2,0,0.5,,ft,good,1,0,1.0,,38,2332
4,Berry,Oglethorpe,56-82,56,82,1-3,5-0,11/29/12,Win,278,No Location Recorded,8 p.m.,18:52,,2,2,"GOOD FT by KINNEY,JORDAN",0,1,,,2,0,0.5,,ft,good,2,0,1.0,,38,2332
4,Berry,Oglethorpe,56-82,56,82,1-3,5-0,11/29/12,Win,278,No Location Recorded,8 p.m.,18:46,,2,2,"FOUL  by DAVIS,ALEX",0,1,,,2,0,0.5,,foul,,2,0,1.0,,38,2326
4,Berry,Oglethorpe,56-82,56,82,1-3,5-0,11/29/12,Win,278,No Location Recorded,8 p.m.,18:32,"MISS JUMPER by ABRAMS,JONATHAN",2,2,,0,1,jumper,miss,3,0,0.333,,,,2,0,1.0,,38,2312
4,Berry,Oglethorpe,56-82,56,82,1-3,5-0,11/29/12,Win,278,No Location Recorded,8 p.m.,18:32,"REBOUND OFF by HOWARD,MAC",2,2,,0,1,,,3,0,0.333,,,,2,0,1.0,,38,2312
4,Berry,Oglethorpe,56-82,56,82,1-3,5-0,11/29/12,Win,278,No Location Recorded,8 p.m.,18:25,"MISS 3PTR by MCCLOUD,LEE",2,2,,0,1,3ptr,miss,4,1,0.25,0.0,,,2,0,1.0,,38,2305
4,Berry,Oglethorpe,56-82,56,82,1-3,5-0,11/29/12,Win,278,No Location Recorded,8 p.m.,18:25,,2,2,"REBOUND DEF by KINNEY,JORDAN",0,1,,,4,1,0.25,0.0,,,2,0,1.0,,38,2305
4,Berry,Oglethorpe,56-82,56,82,1-3,5-0,11/29/12,Win,278,No Location Recorded,8 p.m.,18:02,,2,4,"GOOD JUMPER by KINNEY,JORDAN",2,1,,,4,1,0.25,0.0,jumper,good,3,0,1.0,,38,2282
4,Berry,Oglethorpe,56-82,56,82,1-3,5-0,11/29/12,Win,278,No Location Recorded,8 p.m.,18:02,,2,4,"ASSIST  by PURDY,SAM",2,1,,,4,1,0.25,0.0,,,3,0,1.0,,38,2282
4,Berry,Oglethorpe,56-82,56,82,1-3,5-0,11/29/12,Win,278,No Location Recorded,8 p.m.,17:53,"TURNOVER  by WHALEN,MAC",2,4,,2,1,,,4,1,0.25,0.0,,,3,0,1.0,,37,2273
4,Berry,Oglethorpe,56-82,56,82,1-3,5-0,11/29/12,Win,278,No Location Recorded,8 p.m.,17:52,,2,4,"STEAL  by DAVIS,ALEX",2,1,,,4,1,0.25,0.0,,,3,0,1.0,,37,2272
4,Berry,Oglethorpe,56-82,56,82,1-3,5-0,11/29/12,Win,278,No Location Recorded,8 p.m.,17:42,,2,4,"MISS JUMPER by KINNEY,JORDAN",2,1,,,4,1,0.25,0.0,jumper,miss,4,0,0.75,,37,2262
4,Berry,Oglethorpe,56-82,56,82,1-3,5-0,11/29/12,Win,278,No Location Recorded,8 p.m.,17:42,"REBOUND DEF by WHALEN,MAC",2,4,,2,1,,,4,1,0.25,0.0,,,4,0,0.75,,37,2262
4,Berry,Oglethorpe,56-82,56,82,1-3,5-0,11/29/12,Win,278,No Location Recorded,8 p.m.,17:22,"MISS 3PTR by WHALEN,MAC",2,4,,2,1,3ptr,miss,5,2,0.2,0.0,,,4,0,0.75,,37,2242
4,Berry,Oglethorpe,56-82,56,82,1-3,5-0,11/29/12,Win,278,No Location Recorded,8 p.m.,17:22,,2,4,"REBOUND DEF by PURDY,SAM",2,1,,,5,2,0.2,0.0,,,4,0,0.75,,37,2242
4,Berry,Oglethorpe,56-82,56,82,1-3,5-0,11/29/12,Win,278,No Location Recorded,8 p.m.,17:13,"FOUL  by WHALEN,MAC",2,4,,2,1,foul,,5,2,0.2,0.0,,,4,0,0.75,,37,2233
4,Berry,Oglethorpe,56-82,56,82,1-3,5-0,11/29/12,Win,278,No Location Recorded,8 p.m.,17:13,,2,5,"GOOD FT by KINNEY,JORDAN",3,1,,,5,2,0.2,0.0,ft,good,5,0,0.8,,37,2233
