game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,19:45,,0,0,"TURNOVER  by THOMAS,JEREMIAH",0,1,,,0,0,,,,,0,0,,,39,2385
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,19:44,"STEAL  by WHALEN,MAC",0,0,,0,1,,,0,0,,,,,0,0,,,39,2384
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,19:33,"MISS JUMPER by WRIGHT,JAKE",0,0,,0,1,jumper,miss,1,0,0.0,,,,0,0,,,39,2373
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,19:33,,0,0,"REBOUND DEF by BIAS,JAMAL",0,1,,,1,0,0.0,,,,0,0,,,39,2373
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,19:12,,0,2,"GOOD JUMPER by THOMAS,JEREMIAH(in the paint)",2,1,,,1,0,0.0,,jumper,good,1,0,1.0,,39,2352
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,19:12,"ASSIST  by HOWARD,MAC",0,2,,2,1,,,1,0,0.0,,,,1,0,1.0,,39,2352
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,19:12,,0,2,"MISS FT by THOMAS,JEREMIAH",2,1,,,1,0,0.0,,ft,miss,2,0,0.5,,39,2352
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,19:12,"REBOUND DEF by HOWARD,MAC",0,2,,2,1,,,1,0,0.0,,,,2,0,0.5,,39,2352
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,18:58,"MISS 3PTR by WHALEN,MAC",0,2,,2,1,3ptr,miss,2,1,0.0,0.0,,,2,0,0.5,,38,2338
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,18:58,,0,2,"REBOUND DEF by PETTY,RYAN",2,1,,,2,1,0.0,0.0,,,2,0,0.5,,38,2338
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,18:51,"FOUL  by MCCLOUD,LEE",0,2,,2,1,foul,,2,1,0.0,0.0,,,2,0,0.5,,38,2331
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,18:51,,0,3,"GOOD FT by PETTY,RYAN",3,1,,,2,1,0.0,0.0,ft,good,3,0,0.667,,38,2331
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,18:51,,0,4,"GOOD FT by PETTY,RYAN",4,1,,,2,1,0.0,0.0,ft,good,4,0,0.75,,38,2331
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,18:16,"MISS 3PTR by ABRAMS,JONATHAN",0,4,,4,1,3ptr,miss,3,2,0.0,0.0,,,4,0,0.75,,38,2296
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,18:16,,0,4,"REBOUND DEF by MOORER,TERRY",4,1,,,3,2,0.0,0.0,,,4,0,0.75,,38,2296
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,17:52,,0,4,"MISS JUMPER by BIAS,JAMAL",4,1,,,3,2,0.0,0.0,jumper,miss,5,0,0.6,,37,2272
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,17:52,,0,4,"REBOUND OFF by MOORER,TERRY",4,1,,,3,2,0.0,0.0,,,5,0,0.6,,37,2272
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,17:49,"FOUL  by MCCLOUD,LEE",0,4,,4,1,foul,,3,2,0.0,0.0,,,5,0,0.6,,37,2269
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,17:49,,0,4,"MISS FT by MOORER,TERRY",4,1,,,3,2,0.0,0.0,ft,miss,6,0,0.5,,37,2269
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,17:49,,0,4,REBOUND DEADB by TEAM,4,1,,,3,2,0.0,0.0,,,6,0,0.5,,37,2269
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,17:49,,0,5,"GOOD FT by MOORER,TERRY",5,1,,,3,2,0.0,0.0,ft,good,7,0,0.571,,37,2269
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,17:49,"SUB IN by SMOAK,HUNTER",0,5,,5,1,,,3,2,0.0,0.0,,,7,0,0.571,,37,2269
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,17:49,"SUB OUT by MCCLOUD,LEE",0,5,,5,1,,,3,2,0.0,0.0,,,7,0,0.571,,37,2269
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,17:46,"TURNOVER  by WHALEN,MAC",0,5,,5,1,,,3,2,0.0,0.0,,,7,0,0.571,,37,2266
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,17:44,,0,5,"STEAL  by PETTY,RYAN",5,1,,,3,2,0.0,0.0,,,7,0,0.571,,37,2264
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,17:40,,0,5,"MISS JUMPER by THOMAS,JEREMIAH",5,1,,,3,2,0.0,0.0,jumper,miss,8,0,0.5,,37,2260
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,17:40,"REBOUND DEF by HOWARD,MAC",0,5,,5,1,,,3,2,0.0,0.0,,,8,0,0.5,,37,2260
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,17:23,"GOOD LAYUP by ABRAMS,JONATHAN(in the paint)",2,5,,3,1,layup,good,4,2,0.25,0.0,,,8,0,0.5,,37,2243
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,17:05,,2,5,"TURNOVER  by DUDLEY,BYRON",3,1,,,4,2,0.25,0.0,,,8,0,0.5,,37,2225
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,17:05,,2,5,"SUB IN by NORRIS,DEANGELO",3,1,,,4,2,0.25,0.0,,,8,0,0.5,,37,2225
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,17:05,,2,5,"SUB OUT by DUDLEY,BYRON",3,1,,,4,2,0.25,0.0,,,8,0,0.5,,37,2225
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,16:56,"MISS 3PTR by SMOAK,HUNTER",2,5,,3,1,3ptr,miss,5,3,0.2,0.0,,,8,0,0.5,,36,2216
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,16:56,"REBOUND OFF by HOWARD,MAC",2,5,,3,1,,,5,3,0.2,0.0,,,8,0,0.5,,36,2216
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,16:52,,2,5,"FOUL  by BIAS,JAMAL",3,1,,,5,3,0.2,0.0,foul,,8,0,0.5,,36,2212
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,16:51,"MISS JUMPER by WRIGHT,JAKE",2,5,,3,1,jumper,miss,6,3,0.167,0.0,,,8,0,0.5,,36,2211
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,16:51,,2,5,"REBOUND DEF by BIAS,JAMAL",3,1,,,6,3,0.167,0.0,,,8,0,0.5,,36,2211
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,16:36,,2,5,"TURNOVER  by THOMAS,JEREMIAH",3,1,,,6,3,0.167,0.0,,,8,0,0.5,,36,2196
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,16:35,"STEAL  by WRIGHT,JAKE",2,5,,3,1,,,6,3,0.167,0.0,,,8,0,0.5,,36,2195
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,16:22,"GOOD JUMPER by ABRAMS,JONATHAN(in the paint)",4,5,,1,1,jumper,good,7,3,0.286,0.0,,,8,0,0.5,,36,2182
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,16:15,,4,5,TIMEOUT 30SEC by TEAM,1,1,,,7,3,0.286,0.0,,,8,0,0.5,,36,2175
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,16:15,"SUB IN by GRAHAM,LAKE",4,5,,1,1,,,7,3,0.286,0.0,,,8,0,0.5,,36,2175
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,16:15,"SUB IN by BRUCE,DEVAN",4,5,,1,1,,,7,3,0.286,0.0,,,8,0,0.5,,36,2175
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,16:15,"SUB OUT by WRIGHT,JAKE",4,5,,1,1,,,7,3,0.286,0.0,,,8,0,0.5,,36,2175
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,16:15,"SUB OUT by HOWARD,MAC",4,5,,1,1,,,7,3,0.286,0.0,,,8,0,0.5,,36,2175
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,15:44,,4,8,"GOOD 3PTR by PETTY,RYAN",4,1,,,7,3,0.286,0.0,3ptr,good,9,1,0.556,1.0,35,2144
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,15:44,,4,8,"ASSIST  by NORRIS,DEANGELO",4,1,,,7,3,0.286,0.0,,,9,1,0.556,1.0,35,2144
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,15:33,"MISS LAYUP by SMOAK,HUNTER",4,8,,4,1,layup,miss,8,3,0.25,0.0,,,9,1,0.556,1.0,35,2133
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,15:33,,4,8,"BLOCK  by BIAS,JAMAL",4,1,,,8,3,0.25,0.0,,,9,1,0.556,1.0,35,2133
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,15:33,,4,8,"REBOUND DEF by NORRIS,DEANGELO",4,1,,,8,3,0.25,0.0,,,9,1,0.556,1.0,35,2133
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,15:27,,4,8,"MISS LAYUP by PETTY,RYAN",4,1,,,8,3,0.25,0.0,layup,miss,10,1,0.5,1.0,35,2127
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,15:27,"BLOCK  by ABRAMS,JONATHAN",4,8,,4,1,,,8,3,0.25,0.0,,,10,1,0.5,1.0,35,2127
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,15:27,"REBOUND DEF by GRAHAM,LAKE",4,8,,4,1,,,8,3,0.25,0.0,,,10,1,0.5,1.0,35,2127
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,15:16,"TURNOVER  by BRUCE,DEVAN",4,8,,4,1,,,8,3,0.25,0.0,,,10,1,0.5,1.0,35,2116
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,15:14,,4,8,"STEAL  by THOMAS,JEREMIAH",4,1,,,8,3,0.25,0.0,,,10,1,0.5,1.0,35,2114
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,15:10,,4,8,"TURNOVER  by THOMAS,JEREMIAH",4,1,,,8,3,0.25,0.0,,,10,1,0.5,1.0,35,2110
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,15:10,,4,8,"FOUL  by THOMAS,JEREMIAH",4,1,,,8,3,0.25,0.0,foul,,10,1,0.5,1.0,35,2110
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,15:10,,4,8,"SUB IN by HILL,AUSTIN",4,1,,,8,3,0.25,0.0,,,10,1,0.5,1.0,35,2110
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,15:10,,4,8,"SUB OUT by THOMAS,JEREMIAH",4,1,,,8,3,0.25,0.0,,,10,1,0.5,1.0,35,2110
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,14:56,"GOOD LAYUP by GRAHAM,LAKE(in the paint)",6,8,,2,1,layup,good,9,3,0.333,0.0,,,10,1,0.5,1.0,34,2096
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,14:56,"ASSIST  by ABRAMS,JONATHAN",6,8,,2,1,,,9,3,0.333,0.0,,,10,1,0.5,1.0,34,2096
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,14:35,,6,11,"GOOD 3PTR by BIAS,JAMAL",5,1,,,9,3,0.333,0.0,3ptr,good,11,2,0.545,1.0,34,2075
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,14:35,,6,11,"ASSIST  by PETTY,RYAN",5,1,,,9,3,0.333,0.0,,,11,2,0.545,1.0,34,2075
7,Berry College,Huntingdon College,75-81,75,81,1-6,3-6,12/15/12,Win,78,No Location Recorded,2:00 PM,14:22,"MISS LAYUP by WHALEN,MAC",6,11,,5,1,layup,miss,10,3,0.3,0.0,,,11,2,0.545,1.0,34,2062
