game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
2,Berry College,Albion College,63-72,63,72,0-2,1-1,11/16/14,Win,224,No Location Recorded,3:10 PM,19:39,,0,0,"MISS JUMPER by HILL,VINCE",0,1,,,0,0,,,jumper,miss,1,0,0.0,,39,2379
2,Berry College,Albion College,63-72,63,72,0-2,1-1,11/16/14,Win,224,No Location Recorded,3:10 PM,19:39,"REBOUND DEF by JACOBS,OWEN",0,0,,0,1,,,0,0,,,,,1,0,0.0,,39,2379
2,Berry College,Albion College,63-72,63,72,0-2,1-1,11/16/14,Win,224,No Location Recorded,3:10 PM,19:11,"MISS LAYUP by JACOBS,OWEN",0,0,,0,1,layup,miss,1,0,0.0,,,,1,0,0.0,,39,2351
2,Berry College,Albion College,63-72,63,72,0-2,1-1,11/16/14,Win,224,No Location Recorded,3:10 PM,19:11,,0,0,"REBOUND DEF by KAZEN,DAKOTA",0,1,,,1,0,0.0,,,,1,0,0.0,,39,2351
2,Berry College,Albion College,63-72,63,72,0-2,1-1,11/16/14,Win,224,No Location Recorded,3:10 PM,19:00,,0,2,"GOOD JUMPER by KAZEN,DAKOTA",2,1,,,1,0,0.0,,jumper,good,2,0,0.5,,39,2340
2,Berry College,Albion College,63-72,63,72,0-2,1-1,11/16/14,Win,224,No Location Recorded,3:10 PM,19:00,,0,2,"ASSIST  by HILL,VINCE",2,1,,,1,0,0.0,,,,2,0,0.5,,39,2340
2,Berry College,Albion College,63-72,63,72,0-2,1-1,11/16/14,Win,224,No Location Recorded,3:10 PM,18:38,"MISS LAYUP by MCCLOUD,LEE",0,2,,2,1,layup,miss,2,0,0.0,,,,2,0,0.5,,38,2318
2,Berry College,Albion College,63-72,63,72,0-2,1-1,11/16/14,Win,224,No Location Recorded,3:10 PM,18:38,,0,2,"REBOUND DEF by ELLIOTT,CARTER",2,1,,,2,0,0.0,,,,2,0,0.5,,38,2318
2,Berry College,Albion College,63-72,63,72,0-2,1-1,11/16/14,Win,224,No Location Recorded,3:10 PM,18:32,,0,2,"MISS LAYUP by KAZEN,DAKOTA",2,1,,,2,0,0.0,,layup,miss,3,0,0.333,,38,2312
2,Berry College,Albion College,63-72,63,72,0-2,1-1,11/16/14,Win,224,No Location Recorded,3:10 PM,18:32,,0,2,"REBOUND OFF by HERRON,JORDAN",2,1,,,2,0,0.0,,,,3,0,0.333,,38,2312
2,Berry College,Albion College,63-72,63,72,0-2,1-1,11/16/14,Win,224,No Location Recorded,3:10 PM,18:28,,0,2,"MISS TIPIN by HERRON,JORDAN",2,1,,,2,0,0.0,,,miss,4,0,0.25,,38,2308
2,Berry College,Albion College,63-72,63,72,0-2,1-1,11/16/14,Win,224,No Location Recorded,3:10 PM,18:28,"REBOUND DEF by ELLINGSWORTH,COLEMAN",0,2,,2,1,,,2,0,0.0,,,,4,0,0.25,,38,2308
2,Berry College,Albion College,63-72,63,72,0-2,1-1,11/16/14,Win,224,No Location Recorded,3:10 PM,18:12,"MISS 3PTR by ELLINGSWORTH,COLEMAN",0,2,,2,1,3ptr,miss,3,1,0.0,0.0,,,4,0,0.25,,38,2292
