game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
6,Berry,Penn State-Altoona,69-50,69,50,5-1,1-5,11/25/18,Lose,134,No Location Recorded,4:00 AM,19:54,,0,3,"GOOD 3PTR by HIGLEY,MARSHALL",3,1,,,0,0,,,3ptr,good,1,1,1.0,1.0,39,2394
6,Berry,Penn State-Altoona,69-50,69,50,5-1,1-5,11/25/18,Lose,134,No Location Recorded,4:00 AM,19:54,,0,3,"ASSIST  by BAILEY,SHEVELLE",3,1,,,0,0,,,,,1,1,1.0,1.0,39,2394
6,Berry,Penn State-Altoona,69-50,69,50,5-1,1-5,11/25/18,Lose,134,No Location Recorded,4:00 AM,19:29,"MISS LAYUP by HIRSH,ELIJAH",0,3,,3,1,layup,miss,1,0,0.0,,,,1,1,1.0,1.0,39,2369
6,Berry,Penn State-Altoona,69-50,69,50,5-1,1-5,11/25/18,Lose,134,No Location Recorded,4:00 AM,19:29,,0,3,"REBOUND DEF by HIGLEY,MARSHALL",3,1,,,1,0,0.0,,,,1,1,1.0,1.0,39,2369
6,Berry,Penn State-Altoona,69-50,69,50,5-1,1-5,11/25/18,Lose,134,No Location Recorded,4:00 AM,19:20,,0,5,"GOOD LAYUP by BAILEY,SHEVELLE(in the paint)",5,1,,,1,0,0.0,,layup,good,2,1,1.0,1.0,39,2360
6,Berry,Penn State-Altoona,69-50,69,50,5-1,1-5,11/25/18,Lose,134,No Location Recorded,4:00 AM,18:53,"GOOD 3PTR by HASLAM,ETHAN",3,5,,2,1,3ptr,good,2,1,0.5,1.0,,,2,1,1.0,1.0,38,2333
6,Berry,Penn State-Altoona,69-50,69,50,5-1,1-5,11/25/18,Lose,134,No Location Recorded,4:00 AM,18:53,"ASSIST  by JOHNSON,CORY",3,5,,2,1,,,2,1,0.5,1.0,,,2,1,1.0,1.0,38,2333
6,Berry,Penn State-Altoona,69-50,69,50,5-1,1-5,11/25/18,Lose,134,No Location Recorded,4:00 AM,18:33,,3,5,"MISS LAYUP by KRISE,AUSTIN",2,1,,,2,1,0.5,1.0,layup,miss,3,1,0.667,1.0,38,2313
6,Berry,Penn State-Altoona,69-50,69,50,5-1,1-5,11/25/18,Lose,134,No Location Recorded,4:00 AM,18:33,"REBOUND DEF by MOORE,MYLES",3,5,,2,1,,,2,1,0.5,1.0,,,3,1,0.667,1.0,38,2313
6,Berry,Penn State-Altoona,69-50,69,50,5-1,1-5,11/25/18,Lose,134,No Location Recorded,4:00 AM,18:27,"MISS LAYUP by MOORE,MYLES",3,5,,2,1,layup,miss,3,1,0.333,1.0,,,3,1,0.667,1.0,38,2307
