game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,19:52,,0,0,"FOUL  by HAYNES,CALEB",0,1,,,0,0,,,foul,,0,0,,,39,2392
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,19:52,"MISS FT by TERRY,KRISHAWN",0,0,,0,1,ft,miss,1,0,0.0,,,,0,0,,,39,2392
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,19:52,REBOUND DEADB by TEAM,0,0,,0,1,,,1,0,0.0,,,,0,0,,,39,2392
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,19:52,"GOOD FT by TERRY,KRISHAWN",1,0,,-1,1,ft,good,2,0,0.5,,,,0,0,,,39,2392
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,19:27,,1,0,"MISS JUMPER by JOHNSON,MICAH",-1,1,,,2,0,0.5,,jumper,miss,1,0,0.0,,39,2367
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,19:27,"REBOUND DEF by MALOKWU,SHERACK",1,0,,-1,1,,,2,0,0.5,,,,1,0,0.0,,39,2367
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,19:17,"GOOD LAYUP by TERRY,KRISHAWN(in the paint)",3,0,,-3,1,layup,good,3,0,0.667,,,,1,0,0.0,,39,2357
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,19:17,"ASSIST  by CARTER,ZACC",3,0,,-3,1,,,3,0,0.667,,,,1,0,0.0,,39,2357
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,18:55,,3,2,"GOOD LAYUP by HAYNES,CALEB(in the paint)",-1,1,,,3,0,0.667,,layup,good,2,0,0.5,,38,2335
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,18:55,,3,2,"ASSIST  by JOHNSON,MICAH",-1,1,,,3,0,0.667,,,,2,0,0.5,,38,2335
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,18:41,"TURNOVER  by MALOKWU,SHERACK",3,2,,-1,1,,,3,0,0.667,,,,2,0,0.5,,38,2321
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,18:21,,3,4,"GOOD JUMPER by HAYNES,CALEB(in the paint)",1,1,,,3,0,0.667,,jumper,good,3,0,0.667,,38,2301
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,18:02,"GOOD JUMPER by MALOKWU,SHERACK(in the paint)",5,4,,-1,1,jumper,good,4,0,0.75,,,,3,0,0.667,,38,2282
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,17:35,,5,4,"MISS 3PTR by JOHNSON,MICAH",-1,1,,,4,0,0.75,,3ptr,miss,4,1,0.5,0.0,37,2255
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,17:35,,5,4,"REBOUND OFF by WEHUNT,DAWSON",-1,1,,,4,0,0.75,,,,4,1,0.5,0.0,37,2255
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,17:17,,5,6,"GOOD LAYUP by JOHNSON,MICAH(in the paint)",1,1,,,4,0,0.75,,layup,good,5,1,0.6,0.0,37,2237
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,17:17,,5,6,"ASSIST  by HAYNES,CALEB",1,1,,,4,0,0.75,,,,5,1,0.6,0.0,37,2237
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,16:58,"MISS JUMPER by CARTER,ZACC",5,6,,1,1,jumper,miss,5,0,0.6,,,,5,1,0.6,0.0,36,2218
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,16:58,,5,6,"REBOUND DEF by JOHNSON,MICAH",1,1,,,5,0,0.6,,,,5,1,0.6,0.0,36,2218
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,16:50,,5,8,"GOOD JUMPER by HAYNES,CALEB(in the paint)",3,1,,,5,0,0.6,,jumper,good,6,1,0.667,0.0,36,2210
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,16:42,TIMEOUT 30SEC by TEAM,5,8,,3,1,,,5,0,0.6,,,,6,1,0.667,0.0,36,2202
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,16:42,"SUB IN by SHERMAN,JORDAN",5,8,,3,1,,,5,0,0.6,,,,6,1,0.667,0.0,36,2202
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,16:42,"SUB OUT by MALOKWU,SHERACK",5,8,,3,1,,,5,0,0.6,,,,6,1,0.667,0.0,36,2202
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,16:42,,5,8,"SUB IN by BROOKS,AUSTIN",3,1,,,5,0,0.6,,,,6,1,0.667,0.0,36,2202
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,16:42,,5,8,"SUB OUT by HAYNES,CALEB",3,1,,,5,0,0.6,,,,6,1,0.667,0.0,36,2202
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,16:38,"MISS LAYUP by TERRY,KRISHAWN",5,8,,3,1,layup,miss,6,0,0.5,,,,6,1,0.667,0.0,36,2198
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,16:38,,5,8,"BLOCK  by BROOKS,AUSTIN",3,1,,,6,0,0.5,,,,6,1,0.667,0.0,36,2198
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,16:38,,5,8,"REBOUND DEF by WEHUNT,DAWSON",3,1,,,6,0,0.5,,,,6,1,0.667,0.0,36,2198
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,16:22,"FOUL  by TERRY,KRISHAWN",5,8,,3,1,foul,,6,0,0.5,,,,6,1,0.667,0.0,36,2182
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,16:20,,5,8,"MISS 3PTR by JONES,DREW",3,1,,,6,0,0.5,,3ptr,miss,7,2,0.571,0.0,36,2180
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,16:20,"REBOUND DEF by TAYLOR,COLIN",5,8,,3,1,,,6,0,0.5,,,,7,2,0.571,0.0,36,2180
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,16:10,"GOOD JUMPER by CARTER,ZACC(in the paint)",7,8,,1,1,jumper,good,7,0,0.571,,,,7,2,0.571,0.0,36,2170
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,15:56,"FOUL  by TERRY,KRISHAWN",7,8,,1,1,foul,,7,0,0.571,,,,7,2,0.571,0.0,35,2156
10,McMurry,Berry,76-83,76,83,"4-6,1-0 ASC","8-2,1-0 SAA",12/15/19,Win,60,No Location Recorded,4:00 PM,15:56,TIMEOUT MEDIA by TEAM,7,8,,1,1,,,7,0,0.571,,,,7,2,0.571,0.0,35,2156
