game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
20,Berry,Millsaps,71-75,71,75,"14-6,5-4 SAA","13-7,5-4 SAA",01/26/20,Win,153,No Location Recorded,3:00 PM,19:48,,0,2,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",2,1,,,0,0,,,layup,good,1,0,1.0,,39,2388
20,Berry,Millsaps,71-75,71,75,"14-6,5-4 SAA","13-7,5-4 SAA",01/26/20,Win,153,No Location Recorded,3:00 PM,19:48,,0,2,"ASSIST  by JENKINS,KALEB",2,1,,,0,0,,,,,1,0,1.0,,39,2388
20,Berry,Millsaps,71-75,71,75,"14-6,5-4 SAA","13-7,5-4 SAA",01/26/20,Win,153,No Location Recorded,3:00 PM,19:28,"MISS LAYUP by BROOKS,AUSTIN(in the paint)",0,2,,2,1,layup,miss,1,0,0.0,,,,1,0,1.0,,39,2368
20,Berry,Millsaps,71-75,71,75,"14-6,5-4 SAA","13-7,5-4 SAA",01/26/20,Win,153,No Location Recorded,3:00 PM,19:28,"REBOUND OFF by BROOKS,AUSTIN",0,2,,2,1,,,1,0,0.0,,,,1,0,1.0,,39,2368
20,Berry,Millsaps,71-75,71,75,"14-6,5-4 SAA","13-7,5-4 SAA",01/26/20,Win,153,No Location Recorded,3:00 PM,19:20,"MISS 3PTR by JOHNSON,MICAH",0,2,,2,1,3ptr,miss,2,1,0.0,0.0,,,1,0,1.0,,39,2360
20,Berry,Millsaps,71-75,71,75,"14-6,5-4 SAA","13-7,5-4 SAA",01/26/20,Win,153,No Location Recorded,3:00 PM,19:20,,0,2,"REBOUND DEF by VAN PELT,JUSTIN",2,1,,,2,1,0.0,0.0,,,1,0,1.0,,39,2360
20,Berry,Millsaps,71-75,71,75,"14-6,5-4 SAA","13-7,5-4 SAA",01/26/20,Win,153,No Location Recorded,3:00 PM,19:12,,0,2,"MISS LAYUP by MCLAURIN,RYAN(in the paint)",2,1,,,2,1,0.0,0.0,layup,miss,2,0,0.5,,39,2352
20,Berry,Millsaps,71-75,71,75,"14-6,5-4 SAA","13-7,5-4 SAA",01/26/20,Win,153,No Location Recorded,3:00 PM,19:12,,0,2,"REBOUND OFF by VAN PELT,JUSTIN",2,1,,,2,1,0.0,0.0,,,2,0,0.5,,39,2352
20,Berry,Millsaps,71-75,71,75,"14-6,5-4 SAA","13-7,5-4 SAA",01/26/20,Win,153,No Location Recorded,3:00 PM,19:07,,0,4,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",4,1,,,2,1,0.0,0.0,layup,good,3,0,0.667,,39,2347
20,Berry,Millsaps,71-75,71,75,"14-6,5-4 SAA","13-7,5-4 SAA",01/26/20,Win,153,No Location Recorded,3:00 PM,18:55,"MISS 3PTR by JOHNSON,MICAH",0,4,,4,1,3ptr,miss,3,2,0.0,0.0,,,3,0,0.667,,38,2335
