,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,0783,Denison,Berry College,0,82-91,"39,52","33,49",7-3,4-7,N/A,N/A,12/29/14,3:00 PM,N/A,"Lexington,Ky.",Win,2,False,87,False,19:33,,,,,"TURNOVER  by MEURER,DAVID",,,"TURNOVER  by MEURER,DAVID",1,turnover,,denison,"meurer,david",,"['chaykowsky,zack', 'marder,nick', 'mccloud,lee', 'ellingsworth,coleman', 'korn,lukas']","['king,briggs', 'meurer,david', 'white,darius', 'bauer,matthew', 'woolard,brad']",1173
1,0783,Denison,Berry College,0,82-91,"39,52","33,49",7-3,4-7,N/A,N/A,12/29/14,3:00 PM,N/A,"Lexington,Ky.",Win,2,False,87,False,19:33,"STEAL  by CHAYKOWSKY,ZACK",,,,,,,"STEAL  by CHAYKOWSKY,ZACK",1,steal,,berry college,,,"['chaykowsky,zack', 'marder,nick', 'mccloud,lee', 'ellingsworth,coleman', 'korn,lukas']","['king,briggs', 'meurer,david', 'white,darius', 'bauer,matthew', 'woolard,brad']",1173
2,0783,Denison,Berry College,0,82-91,"39,52","33,49",7-3,4-7,N/A,N/A,12/29/14,3:00 PM,N/A,"Lexington,Ky.",Win,2,False,87,False,19:18,"TURNOVER  by MARDER,NICK",,,,,,,"TURNOVER  by MARDER,NICK",1,turnover,,berry college,"marder,nick",,"['chaykowsky,zack', 'marder,nick', 'mccloud,lee', 'ellingsworth,coleman', 'korn,lukas']","['king,briggs', 'meurer,david', 'white,darius', 'bauer,matthew', 'woolard,brad']",1158
3,0783,Denison,Berry College,0,82-91,"39,52","33,49",7-3,4-7,N/A,N/A,12/29/14,3:00 PM,N/A,"Lexington,Ky.",Win,2,False,87,False,19:17,,,,,"STEAL  by KING,BRIGGS",,,"STEAL  by KING,BRIGGS",1,steal,,denison,,,"['chaykowsky,zack', 'marder,nick', 'mccloud,lee', 'ellingsworth,coleman', 'korn,lukas']","['king,briggs', 'meurer,david', 'white,darius', 'bauer,matthew', 'woolard,brad']",1157
4,0783,Denison,Berry College,0,82-91,"39,52","33,49",7-3,4-7,N/A,N/A,12/29/14,3:00 PM,N/A,"Lexington,Ky.",Win,2,False,87,False,19:13,,0,,2 ,"GOOD LAYUP by KING,BRIGGS(fastbreak)(in the paint)",DENM 0-2 (-2),,"GOOD LAYUP by KING,BRIGGS(fastbreak)(in the paint)",1,layup,good,denison,"king,briggs(fastbreak)",2,"['chaykowsky,zack', 'marder,nick', 'mccloud,lee', 'ellingsworth,coleman', 'korn,lukas']","['king,briggs', 'meurer,david', 'white,darius', 'bauer,matthew', 'woolard,brad']",1153
5,0783,Denison,Berry College,0,82-91,"39,52","33,49",7-3,4-7,N/A,N/A,12/29/14,3:00 PM,N/A,"Lexington,Ky.",Win,2,False,87,False,19:08,"TURNOVER  by MCCLOUD,LEE",0,,2 ,,,,"TURNOVER  by MCCLOUD,LEE",1,turnover,,berry college,"mccloud,lee",,"['chaykowsky,zack', 'marder,nick', 'mccloud,lee', 'ellingsworth,coleman', 'korn,lukas']","['king,briggs', 'meurer,david', 'white,darius', 'bauer,matthew', 'woolard,brad']",1148
6,0783,Denison,Berry College,0,82-91,"39,52","33,49",7-3,4-7,N/A,N/A,12/29/14,3:00 PM,N/A,"Lexington,Ky.",Win,2,False,87,False,18:50,,0,,2 ,"TURNOVER  by MEURER,DAVID",,,"TURNOVER  by MEURER,DAVID",1,turnover,,denison,"meurer,david",,"['chaykowsky,zack', 'marder,nick', 'mccloud,lee', 'ellingsworth,coleman', 'korn,lukas']","['king,briggs', 'meurer,david', 'white,darius', 'bauer,matthew', 'woolard,brad']",1130
7,0783,Denison,Berry College,0,82-91,"39,52","33,49",7-3,4-7,N/A,N/A,12/29/14,3:00 PM,N/A,"Lexington,Ky.",Win,2,False,87,False,18:49,"STEAL  by MARDER,NICK",0,,2 ,,,,"STEAL  by MARDER,NICK",1,steal,,berry college,,,"['chaykowsky,zack', 'marder,nick', 'mccloud,lee', 'ellingsworth,coleman', 'korn,lukas']","['king,briggs', 'meurer,david', 'white,darius', 'bauer,matthew', 'woolard,brad']",1129
8,0783,Denison,Berry College,0,82-91,"39,52","33,49",7-3,4-7,N/A,N/A,12/29/14,3:00 PM,N/A,"Lexington,Ky.",Win,2,False,87,False,18:40,"GOOD 3PTR by ELLINGSWORTH,COLEMAN",3 ,,2,,BCM 3-2 (+1),,"GOOD 3PTR by ELLINGSWORTH,COLEMAN",1,three pointer,good,berry college,"ellingsworth,coleman",3,"['chaykowsky,zack', 'marder,nick', 'mccloud,lee', 'ellingsworth,coleman', 'korn,lukas']","['king,briggs', 'meurer,david', 'white,darius', 'bauer,matthew', 'woolard,brad']",1120
9,0783,Denison,Berry College,0,82-91,"39,52","33,49",7-3,4-7,N/A,N/A,12/29/14,3:00 PM,N/A,"Lexington,Ky.",Win,2,False,87,False,--,"ASSIST  by MCCLOUD,LEE",3 ,,2,,,,"ASSIST  by MCCLOUD,LEE",1,assist,,berry college,"mccloud,lee",,"['chaykowsky,zack', 'marder,nick', 'mccloud,lee', 'ellingsworth,coleman', 'korn,lukas']","['king,briggs', 'meurer,david', 'white,darius', 'bauer,matthew', 'woolard,brad']",
