,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,0812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,N/A,N/A,01/18/16,7 p.m.,N/A,"Rome, Ga. / Cage Center",Win,2,False,300,False,19:48,,,,,"MISS 3PTR by SCHERRMAN,BLAKE",,,"MISS 3PTR by SCHERRMAN,BLAKE",1,three pointer,missed,berry college,"scherrman,blake",,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",1188
1,0812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,N/A,N/A,01/18/16,7 p.m.,N/A,"Rome, Ga. / Cage Center",Win,2,False,300,False,--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,berry college,,,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",
2,0812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,N/A,N/A,01/18/16,7 p.m.,N/A,"Rome, Ga. / Cage Center",Win,2,False,300,False,19:43,,,,,"TURNOVER  by NEWKIRK,KAHLIL",,,"TURNOVER  by NEWKIRK,KAHLIL",1,turnover,,berry college,"newkirk,kahlil",,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",1183
3,0812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,N/A,N/A,01/18/16,7 p.m.,N/A,"Rome, Ga. / Cage Center",Win,2,False,300,False,19:34,"MISS LAYUP by SHANNON,BEN",,,,,,,"MISS LAYUP by SHANNON,BEN",1,layup,missed,rust college bearcats,"shannon,ben",,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",1174
4,0812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,N/A,N/A,01/18/16,7 p.m.,N/A,"Rome, Ga. / Cage Center",Win,2,False,300,False,--,"REBOUND OFF by HOLMES,CARLOS",,,,,,,"REBOUND OFF by HOLMES,CARLOS",1,offensive rebound,,rust college bearcats,"holmes,carlos",,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",
5,0812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,N/A,N/A,01/18/16,7 p.m.,N/A,"Rome, Ga. / Cage Center",Win,2,False,300,False,19:33,,,,,"FOUL  by SCHERRMAN,BLAKE",,,"FOUL  by SCHERRMAN,BLAKE",1,foul,,berry college,"scherrman,blake",,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",1173
6,0812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,N/A,N/A,01/18/16,7 p.m.,N/A,"Rome, Ga. / Cage Center",Win,2,False,300,False,19:33,"MISS FT by SHANNON,BEN",,,,,,,"MISS FT by SHANNON,BEN",1,free throw,missed,rust college bearcats,"shannon,ben",,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",1173
7,0812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,N/A,N/A,01/18/16,7 p.m.,N/A,"Rome, Ga. / Cage Center",Win,2,False,300,False,19:31,"GOOD FT by SHANNON,BEN",1 ,,0,,RUST 1-0 (-1),,"GOOD FT by SHANNON,BEN",1,free throw,good,rust college bearcats,"shannon,ben",1,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",1171
8,0812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,N/A,N/A,01/18/16,7 p.m.,N/A,"Rome, Ga. / Cage Center",Win,2,False,300,False,19:31,"MISS FT by SHANNON,BEN",1 ,,0,,,,"MISS FT by SHANNON,BEN",1,free throw,missed,rust college bearcats,"shannon,ben",,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",1171
9,0812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,N/A,N/A,01/18/16,7 p.m.,N/A,"Rome, Ga. / Cage Center",Win,2,False,300,False,--,,1 ,,0,"REBOUND DEF by JACOBS,OWEN",,,"REBOUND DEF by JACOBS,OWEN",1,defensive rebound,,berry college,"jacobs,owen",,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",
10,0812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,N/A,N/A,01/18/16,7 p.m.,N/A,"Rome, Ga. / Cage Center",Win,2,False,300,False,19:30,"FOUL  by BROWN,PAT",1 ,,0,,,,"FOUL  by BROWN,PAT",1,foul,,rust college bearcats,"brown,pat",,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",1170
11,0812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,N/A,N/A,01/18/16,7 p.m.,N/A,"Rome, Ga. / Cage Center",Win,2,False,300,False,19:30,,1 ,,0,"MISS LAYUP by JACOBS,OWEN",,,"MISS LAYUP by JACOBS,OWEN",1,layup,missed,berry college,"jacobs,owen",,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",1170
12,0812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,N/A,N/A,01/18/16,7 p.m.,N/A,"Rome, Ga. / Cage Center",Win,2,False,300,False,19:30,"BLOCK  by POTTS,ALLEN",1 ,,0,,,,"BLOCK  by POTTS,ALLEN",1,block,,rust college bearcats,"potts,allen",,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",1170
13,0812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,N/A,N/A,01/18/16,7 p.m.,N/A,"Rome, Ga. / Cage Center",Win,2,False,300,False,--,,1 ,,0,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1,offensive rebound,,berry college,,,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",
14,0812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,N/A,N/A,01/18/16,7 p.m.,N/A,"Rome, Ga. / Cage Center",Win,2,False,300,False,19:18,,1,,2 ,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",BCM 1-2 (+1),,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",1,layup,good,berry college,"mccloud,alton",2,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",1158
15,0812,Berry College,Rust College Bearcats,0,71-84,"39,45","36,35",6-8,4-13,N/A,N/A,01/18/16,7 p.m.,N/A,"Rome, Ga. / Cage Center",Win,2,False,300,False,19:01,"TURNOVER  by SHANNON,BEN",1,,2 ,,,,"TURNOVER  by SHANNON,BEN",1,turnover,,rust college bearcats,"shannon,ben",,"['holmes,carlos', ""lowe,o'darius"", 'brown,pat', 'potts,allen', 'shannon,ben']","['jacobs,owen', 'scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee']",1141
