,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,0865,Hendrix,Berry,1,91-94,"49,45","39,52",4-10,5-9,2-1,0-3,01/07/18,2:00 PM,N/A,"Conway, AR",Win,2,False,200,False,19:49,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",2 ,,0,,BCM 2-0 (+2),,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",1,layup,good,berry,"hirsh,elijah",2,"['hirsh,elijah', 'moore,miles', 'johnson,caleb', 'mccloud,alton', 'clark,ethan']","['brasfield,kam', 'smith,preston', 'link,jacob', 'calamese,michael', 'hall,marcis']",1189
1,0865,Hendrix,Berry,1,91-94,"49,45","39,52",4-10,5-9,2-1,0-3,01/07/18,2:00 PM,N/A,"Conway, AR",Win,2,False,200,False,--,"ASSIST  by CLARK,ETHAN",2 ,,0,,,,"ASSIST  by CLARK,ETHAN",1,assist,,berry,"clark,ethan",,"['hirsh,elijah', 'moore,miles', 'johnson,caleb', 'mccloud,alton', 'clark,ethan']","['brasfield,kam', 'smith,preston', 'link,jacob', 'calamese,michael', 'hall,marcis']",
2,0865,Hendrix,Berry,1,91-94,"49,45","39,52",4-10,5-9,2-1,0-3,01/07/18,2:00 PM,N/A,"Conway, AR",Win,2,False,200,False,19:32,,2,,3 ,"GOOD 3PTR by BRASFIELD,KAM",HXM 2-3 (-1),,"GOOD 3PTR by BRASFIELD,KAM",1,three pointer,good,hendrix,"brasfield,kam",3,"['hirsh,elijah', 'moore,miles', 'johnson,caleb', 'mccloud,alton', 'clark,ethan']","['brasfield,kam', 'smith,preston', 'link,jacob', 'calamese,michael', 'hall,marcis']",1172
3,0865,Hendrix,Berry,1,91-94,"49,45","39,52",4-10,5-9,2-1,0-3,01/07/18,2:00 PM,N/A,"Conway, AR",Win,2,False,200,False,--,,2,,3 ,"ASSIST  by CALAMESE,MICHAEL",,,"ASSIST  by CALAMESE,MICHAEL",1,assist,,hendrix,"calamese,michael",,"['hirsh,elijah', 'moore,miles', 'johnson,caleb', 'mccloud,alton', 'clark,ethan']","['brasfield,kam', 'smith,preston', 'link,jacob', 'calamese,michael', 'hall,marcis']",
4,0865,Hendrix,Berry,1,91-94,"49,45","39,52",4-10,5-9,2-1,0-3,01/07/18,2:00 PM,N/A,"Conway, AR",Win,2,False,200,False,19:16,"FOUL  by MCCLOUD,ALTON",2,,3 ,,,,"FOUL  by MCCLOUD,ALTON",1,foul,,berry,"mccloud,alton",,"['hirsh,elijah', 'moore,miles', 'johnson,caleb', 'mccloud,alton', 'clark,ethan']","['brasfield,kam', 'smith,preston', 'link,jacob', 'calamese,michael', 'hall,marcis']",1156
5,0865,Hendrix,Berry,1,91-94,"49,45","39,52",4-10,5-9,2-1,0-3,01/07/18,2:00 PM,N/A,"Conway, AR",Win,2,False,200,False,18:59,,2,,3 ,"MISS 3PTR by BRASFIELD,KAM",,,"MISS 3PTR by BRASFIELD,KAM",1,three pointer,missed,hendrix,"brasfield,kam",,"['hirsh,elijah', 'moore,miles', 'johnson,caleb', 'mccloud,alton', 'clark,ethan']","['brasfield,kam', 'smith,preston', 'link,jacob', 'calamese,michael', 'hall,marcis']",1139
6,0865,Hendrix,Berry,1,91-94,"49,45","39,52",4-10,5-9,2-1,0-3,01/07/18,2:00 PM,N/A,"Conway, AR",Win,2,False,200,False,--,"REBOUND DEF by MOORE,MILES",2,,3 ,,,,"REBOUND DEF by MOORE,MILES",1,defensive rebound,,berry,"moore,miles",,"['hirsh,elijah', 'moore,miles', 'johnson,caleb', 'mccloud,alton', 'clark,ethan']","['brasfield,kam', 'smith,preston', 'link,jacob', 'calamese,michael', 'hall,marcis']",
7,0865,Hendrix,Berry,1,91-94,"49,45","39,52",4-10,5-9,2-1,0-3,01/07/18,2:00 PM,N/A,"Conway, AR",Win,2,False,200,False,18:49,"GOOD LAYUP by MOORE,MILES(in the paint)",4 ,,3,,BCM 4-3 (+1),,"GOOD LAYUP by MOORE,MILES(in the paint)",1,layup,good,berry,"moore,miles",2,"['hirsh,elijah', 'moore,miles', 'johnson,caleb', 'mccloud,alton', 'clark,ethan']","['brasfield,kam', 'smith,preston', 'link,jacob', 'calamese,michael', 'hall,marcis']",1129
8,0865,Hendrix,Berry,1,91-94,"49,45","39,52",4-10,5-9,2-1,0-3,01/07/18,2:00 PM,N/A,"Conway, AR",Win,2,False,200,False,18:36,,4 ,,3,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1,three pointer,missed,hendrix,"smith,preston",,"['hirsh,elijah', 'moore,miles', 'johnson,caleb', 'mccloud,alton', 'clark,ethan']","['brasfield,kam', 'smith,preston', 'link,jacob', 'calamese,michael', 'hall,marcis']",1116
9,0865,Hendrix,Berry,1,91-94,"49,45","39,52",4-10,5-9,2-1,0-3,01/07/18,2:00 PM,N/A,"Conway, AR",Win,2,False,200,False,--,"REBOUND DEF by MOORE,MILES",4 ,,3,,,,"REBOUND DEF by MOORE,MILES",1,defensive rebound,,berry,"moore,miles",,"['hirsh,elijah', 'moore,miles', 'johnson,caleb', 'mccloud,alton', 'clark,ethan']","['brasfield,kam', 'smith,preston', 'link,jacob', 'calamese,michael', 'hall,marcis']",
