,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,754,Covenant,Berry College,0,90-94,"33,49,12","33,49,8",5-5,3-5,,,12/14/13,4 p.m.,,"Lookout Mountain, Ga.",Win,3,True,133,False,19:32,,,,,"MISS JUMPER by MCGRIFF,COLTON",,,"MISS JUMPER by MCGRIFF,COLTON",1,jumper,missed,covenant,"mcgriff,colton",,"['jacobs,owen', 'whalen,mac', 'smoak,hunter', 'mccloud,lee', 'graham,lake']","['mcgriff,colton', 'frierson,nate', 'turner,micah', 'boyd,chris', 'bell,robby']",1172.0,berry college,1,0,0.0
1,1,754,Covenant,Berry College,0,90-94,"33,49,12","33,49,8",5-5,3-5,,,12/14/13,4 p.m.,,"Lookout Mountain, Ga.",Win,3,True,133,False,--,"REBOUND DEF by WHALEN,MAC",,,,,,,"REBOUND DEF by WHALEN,MAC",1,defensive rebound,,berry college,"whalen,mac",,"['jacobs,owen', 'whalen,mac', 'smoak,hunter', 'mccloud,lee', 'graham,lake']","['mcgriff,colton', 'frierson,nate', 'turner,micah', 'boyd,chris', 'bell,robby']",,berry college,1,0,0.0
2,2,754,Covenant,Berry College,0,90-94,"33,49,12","33,49,8",5-5,3-5,,,12/14/13,4 p.m.,,"Lookout Mountain, Ga.",Win,3,True,133,False,19:00,,,,,"FOUL  by TURNER,MICAH",,,"FOUL  by TURNER,MICAH",1,foul,,covenant,"turner,micah",,"['jacobs,owen', 'whalen,mac', 'smoak,hunter', 'mccloud,lee', 'graham,lake']","['mcgriff,colton', 'frierson,nate', 'turner,micah', 'boyd,chris', 'bell,robby']",1140.0,berry college,1,0,0.0
3,3,754,Covenant,Berry College,0,90-94,"33,49,12","33,49,8",5-5,3-5,,,12/14/13,4 p.m.,,"Lookout Mountain, Ga.",Win,3,True,133,False,18:54,"TURNOVER  by JACOBS,OWEN",,,,,,,"TURNOVER  by JACOBS,OWEN",1,turnover,,berry college,"jacobs,owen",,"['jacobs,owen', 'whalen,mac', 'smoak,hunter', 'mccloud,lee', 'graham,lake']","['mcgriff,colton', 'frierson,nate', 'turner,micah', 'boyd,chris', 'bell,robby']",1134.0,berry college,1,0,0.0
4,4,754,Covenant,Berry College,0,90-94,"33,49,12","33,49,8",5-5,3-5,,,12/14/13,4 p.m.,,"Lookout Mountain, Ga.",Win,3,True,133,False,18:37,,,,,"TURNOVER  by FRIERSON,NATE",,,"TURNOVER  by FRIERSON,NATE",1,turnover,,covenant,"frierson,nate",,"['jacobs,owen', 'whalen,mac', 'smoak,hunter', 'mccloud,lee', 'graham,lake']","['mcgriff,colton', 'frierson,nate', 'turner,micah', 'boyd,chris', 'bell,robby']",1117.0,covenant,2,0,0.0
5,5,754,Covenant,Berry College,0,90-94,"33,49,12","33,49,8",5-5,3-5,,,12/14/13,4 p.m.,,"Lookout Mountain, Ga.",Win,3,True,133,False,18:34,"STEAL  by SMOAK,HUNTER",,,,,,,"STEAL  by SMOAK,HUNTER",1,steal,,berry college,,,"['jacobs,owen', 'whalen,mac', 'smoak,hunter', 'mccloud,lee', 'graham,lake']","['mcgriff,colton', 'frierson,nate', 'turner,micah', 'boyd,chris', 'bell,robby']",1114.0,covenant,2,0,0.0
6,6,754,Covenant,Berry College,0,90-94,"33,49,12","33,49,8",5-5,3-5,,,12/14/13,4 p.m.,,"Lookout Mountain, Ga.",Win,3,True,133,False,18:34,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1,timeout,,berry college,,,"['jacobs,owen', 'whalen,mac', 'smoak,hunter', 'mccloud,lee', 'graham,lake']","['mcgriff,colton', 'frierson,nate', 'turner,micah', 'boyd,chris', 'bell,robby']",1114.0,berry college,3,0,0.0
7,7,754,Covenant,Berry College,0,90-94,"33,49,12","33,49,8",5-5,3-5,,,12/14/13,4 p.m.,,"Lookout Mountain, Ga.",Win,3,True,133,False,18:30,,,,,"FOUL  by FRIERSON,NATE",,,"FOUL  by FRIERSON,NATE",1,foul,,covenant,"frierson,nate",,"['jacobs,owen', 'whalen,mac', 'smoak,hunter', 'mccloud,lee', 'graham,lake']","['mcgriff,colton', 'frierson,nate', 'turner,micah', 'boyd,chris', 'bell,robby']",1110.0,berry college,3,0,0.0
8,8,754,Covenant,Berry College,0,90-94,"33,49,12","33,49,8",5-5,3-5,,,12/14/13,4 p.m.,,"Lookout Mountain, Ga.",Win,3,True,133,False,18:30,,,,,"TURNOVER  by FRIERSON,NATE",,,"TURNOVER  by FRIERSON,NATE",1,turnover,,covenant,"frierson,nate",,"['jacobs,owen', 'whalen,mac', 'smoak,hunter', 'mccloud,lee', 'graham,lake']","['mcgriff,colton', 'frierson,nate', 'turner,micah', 'boyd,chris', 'bell,robby']",1110.0,berry college,3,0,0.0
9,9,754,Covenant,Berry College,0,90-94,"33,49,12","33,49,8",5-5,3-5,,,12/14/13,4 p.m.,,"Lookout Mountain, Ga.",Win,3,True,133,False,18:25,,,,,"TURNOVER  by TURNER,MICAH",,,"TURNOVER  by TURNER,MICAH",1,turnover,,covenant,"turner,micah",,"['jacobs,owen', 'whalen,mac', 'smoak,hunter', 'mccloud,lee', 'graham,lake']","['mcgriff,colton', 'frierson,nate', 'turner,micah', 'boyd,chris', 'bell,robby']",1105.0,berry college,3,0,0.0
