,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,878,Birmingham-Southern,Berry College,1,95-76,"35,41","42,53",11-16,10-17,,,02/24/18,4:00 PM,,"Danville, KY (Alumni Gymnasium)",Lose,2,False,123,False,19:45,,,,,"MISS JUMPER by DENEKA,HARRISON",,,"MISS JUMPER by DENEKA,HARRISON",1,jumper,missed,birmingham-southern,"deneka,harrison",,"['johnson,caleb', 'forte,mccarty', 'hirsh,elijah', 'mccloud,alton', 'moore,miles']","['deneka,harrison', 'rudak,mateusz', 'allison,zach', 'bak,calvin', 'yancey,rich']",1185.0,berry college,1,0,0.0
1,1,878,Birmingham-Southern,Berry College,1,95-76,"35,41","42,53",11-16,10-17,,,02/24/18,4:00 PM,,"Danville, KY (Alumni Gymnasium)",Lose,2,False,123,False,--,"REBOUND DEF by HIRSH,ELIJAH",,,,,,,"REBOUND DEF by HIRSH,ELIJAH",1,defensive rebound,,berry college,"hirsh,elijah",,"['johnson,caleb', 'forte,mccarty', 'hirsh,elijah', 'mccloud,alton', 'moore,miles']","['deneka,harrison', 'rudak,mateusz', 'allison,zach', 'bak,calvin', 'yancey,rich']",,berry college,1,0,0.0
2,2,878,Birmingham-Southern,Berry College,1,95-76,"35,41","42,53",11-16,10-17,,,02/24/18,4:00 PM,,"Danville, KY (Alumni Gymnasium)",Lose,2,False,123,False,19:36,"MISS JUMPER by MOORE,MILES",,,,,,,"MISS JUMPER by MOORE,MILES",1,jumper,missed,berry college,"moore,miles",,"['johnson,caleb', 'forte,mccarty', 'hirsh,elijah', 'mccloud,alton', 'moore,miles']","['deneka,harrison', 'rudak,mateusz', 'allison,zach', 'bak,calvin', 'yancey,rich']",1176.0,berry college,1,0,0.0
3,3,878,Birmingham-Southern,Berry College,1,95-76,"35,41","42,53",11-16,10-17,,,02/24/18,4:00 PM,,"Danville, KY (Alumni Gymnasium)",Lose,2,False,123,False,--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1,defensive rebound,,birmingham-southern,"deneka,harrison",,"['johnson,caleb', 'forte,mccarty', 'hirsh,elijah', 'mccloud,alton', 'moore,miles']","['deneka,harrison', 'rudak,mateusz', 'allison,zach', 'bak,calvin', 'yancey,rich']",,berry college,1,0,0.0
4,4,878,Birmingham-Southern,Berry College,1,95-76,"35,41","42,53",11-16,10-17,,,02/24/18,4:00 PM,,"Danville, KY (Alumni Gymnasium)",Lose,2,False,123,False,19:10,,,,,"MISS JUMPER by BAK,CALVIN",,,"MISS JUMPER by BAK,CALVIN",1,jumper,missed,birmingham-southern,"bak,calvin",,"['johnson,caleb', 'forte,mccarty', 'hirsh,elijah', 'mccloud,alton', 'moore,miles']","['deneka,harrison', 'rudak,mateusz', 'allison,zach', 'bak,calvin', 'yancey,rich']",1150.0,birmingham-southern,2,0,0.0
5,5,878,Birmingham-Southern,Berry College,1,95-76,"35,41","42,53",11-16,10-17,,,02/24/18,4:00 PM,,"Danville, KY (Alumni Gymnasium)",Lose,2,False,123,False,--,,,,,"REBOUND OFF by YANCEY,RICH",,,"REBOUND OFF by YANCEY,RICH",1,offensive rebound,,birmingham-southern,"yancey,rich",,"['johnson,caleb', 'forte,mccarty', 'hirsh,elijah', 'mccloud,alton', 'moore,miles']","['deneka,harrison', 'rudak,mateusz', 'allison,zach', 'bak,calvin', 'yancey,rich']",,birmingham-southern,2,0,0.0
6,6,878,Birmingham-Southern,Berry College,1,95-76,"35,41","42,53",11-16,10-17,,,02/24/18,4:00 PM,,"Danville, KY (Alumni Gymnasium)",Lose,2,False,123,False,19:02,,0.0,,2.0,"GOOD LAYUP by YANCEY,RICH(in the paint)",BSC 0-2 (-2),,"GOOD LAYUP by YANCEY,RICH(in the paint)",1,layup,good,birmingham-southern,"yancey,rich",2.0,"['johnson,caleb', 'forte,mccarty', 'hirsh,elijah', 'mccloud,alton', 'moore,miles']","['deneka,harrison', 'rudak,mateusz', 'allison,zach', 'bak,calvin', 'yancey,rich']",1142.0,birmingham-southern,2,0,0.0
7,7,878,Birmingham-Southern,Berry College,1,95-76,"35,41","42,53",11-16,10-17,,,02/24/18,4:00 PM,,"Danville, KY (Alumni Gymnasium)",Lose,2,False,123,False,18:52,"GOOD JUMPER by HIRSH,ELIJAH",2.0,,2.0,,BCM 2-2 (0),,"GOOD JUMPER by HIRSH,ELIJAH",1,jumper,good,berry college,"hirsh,elijah",2.0,"['johnson,caleb', 'forte,mccarty', 'hirsh,elijah', 'mccloud,alton', 'moore,miles']","['deneka,harrison', 'rudak,mateusz', 'allison,zach', 'bak,calvin', 'yancey,rich']",1132.0,birmingham-southern,2,0,0.0
8,8,878,Birmingham-Southern,Berry College,1,95-76,"35,41","42,53",11-16,10-17,,,02/24/18,4:00 PM,,"Danville, KY (Alumni Gymnasium)",Lose,2,False,123,False,18:21,,2.0,,2.0,"MISS JUMPER by DENEKA,HARRISON",,,"MISS JUMPER by DENEKA,HARRISON",1,jumper,missed,birmingham-southern,"deneka,harrison",,"['johnson,caleb', 'forte,mccarty', 'hirsh,elijah', 'mccloud,alton', 'moore,miles']","['deneka,harrison', 'rudak,mateusz', 'allison,zach', 'bak,calvin', 'yancey,rich']",1101.0,birmingham-southern,2,0,0.0
9,9,878,Birmingham-Southern,Berry College,1,95-76,"35,41","42,53",11-16,10-17,,,02/24/18,4:00 PM,,"Danville, KY (Alumni Gymnasium)",Lose,2,False,123,False,--,"REBOUND DEF by HIRSH,ELIJAH",2.0,,2.0,,,,"REBOUND DEF by HIRSH,ELIJAH",1,defensive rebound,,berry college,"hirsh,elijah",,"['johnson,caleb', 'forte,mccarty', 'hirsh,elijah', 'mccloud,alton', 'moore,miles']","['deneka,harrison', 'rudak,mateusz', 'allison,zach', 'bak,calvin', 'yancey,rich']",,birmingham-southern,2,0,0.0
