,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,4319,Rhodes,Berry,1,83-44,"19,25","36,47",0-6,6-0,0-6,6-0,02/07/21,1:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,,False,19:47,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",2,,0,,Berry 2-0 (+2),,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",1,layup,good,berry,"brooks,austin",2.0,"['brooks,austin', 'johnson,michael', 'jones,drew', 'johnson,micah', 'wehunt,dawson']","['walker,jefferson', 'wiley,koki', 'james,mac', 'pippenger,wiley', 'hiester,jackson']",1187.0,rhodes,1,0,0.0
1,1,4319,Rhodes,Berry,1,83-44,"19,25","36,47",0-6,6-0,0-6,6-0,02/07/21,1:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,,False,19:17,,2,,0,"MISS 3PTR by JAMES,MAC",,,"MISS 3PTR by JAMES,MAC",1,three pointer,missed,rhodes,"james,mac",,"['brooks,austin', 'johnson,michael', 'jones,drew', 'johnson,micah', 'wehunt,dawson']","['walker,jefferson', 'wiley,koki', 'james,mac', 'pippenger,wiley', 'hiester,jackson']",1157.0,rhodes,1,0,0.0
2,2,4319,Rhodes,Berry,1,83-44,"19,25","36,47",0-6,6-0,0-6,6-0,02/07/21,1:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,,False,--,,2,,0,"REBOUND OFF by HIESTER,JACKSON",,,"REBOUND OFF by HIESTER,JACKSON",1,offensive rebound,,rhodes,"hiester,jackson",,"['brooks,austin', 'johnson,michael', 'jones,drew', 'johnson,micah', 'wehunt,dawson']","['walker,jefferson', 'wiley,koki', 'james,mac', 'pippenger,wiley', 'hiester,jackson']",,rhodes,1,0,0.0
3,3,4319,Rhodes,Berry,1,83-44,"19,25","36,47",0-6,6-0,0-6,6-0,02/07/21,1:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,,False,19:00,,2,,0,"MISS JUMPER by HIESTER,JACKSON(in the paint)",,,"MISS JUMPER by HIESTER,JACKSON(in the paint)",1,jumper,missed,rhodes,"hiester,jackson",,"['brooks,austin', 'johnson,michael', 'jones,drew', 'johnson,micah', 'wehunt,dawson']","['walker,jefferson', 'wiley,koki', 'james,mac', 'pippenger,wiley', 'hiester,jackson']",1140.0,rhodes,1,0,0.0
4,4,4319,Rhodes,Berry,1,83-44,"19,25","36,47",0-6,6-0,0-6,6-0,02/07/21,1:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,,False,--,,2,,0,"REBOUND OFF by PIPPENGER,WILEY",,,"REBOUND OFF by PIPPENGER,WILEY",1,offensive rebound,,rhodes,"pippenger,wiley",,"['brooks,austin', 'johnson,michael', 'jones,drew', 'johnson,micah', 'wehunt,dawson']","['walker,jefferson', 'wiley,koki', 'james,mac', 'pippenger,wiley', 'hiester,jackson']",,rhodes,1,0,0.0
5,5,4319,Rhodes,Berry,1,83-44,"19,25","36,47",0-6,6-0,0-6,6-0,02/07/21,1:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,,False,18:56,,2,,0,"MISS LAYUP by PIPPENGER,WILEY(in the paint)",,,"MISS LAYUP by PIPPENGER,WILEY(in the paint)",1,layup,missed,rhodes,"pippenger,wiley",,"['brooks,austin', 'johnson,michael', 'jones,drew', 'johnson,micah', 'wehunt,dawson']","['walker,jefferson', 'wiley,koki', 'james,mac', 'pippenger,wiley', 'hiester,jackson']",1136.0,rhodes,1,0,0.0
6,6,4319,Rhodes,Berry,1,83-44,"19,25","36,47",0-6,6-0,0-6,6-0,02/07/21,1:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,,False,--,"REBOUND DEF by WEHUNT,DAWSON",2,,0,,,,"REBOUND DEF by WEHUNT,DAWSON",1,defensive rebound,,berry,"wehunt,dawson",,"['brooks,austin', 'johnson,michael', 'jones,drew', 'johnson,micah', 'wehunt,dawson']","['walker,jefferson', 'wiley,koki', 'james,mac', 'pippenger,wiley', 'hiester,jackson']",,rhodes,1,0,0.0
7,7,4319,Rhodes,Berry,1,83-44,"19,25","36,47",0-6,6-0,0-6,6-0,02/07/21,1:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,,False,18:38,"TURNOVER  by JOHNSON,MICHAEL",2,,0,,,,"TURNOVER  by JOHNSON,MICHAEL",1,turnover,,berry,"johnson,michael",,"['brooks,austin', 'johnson,michael', 'jones,drew', 'johnson,micah', 'wehunt,dawson']","['walker,jefferson', 'wiley,koki', 'james,mac', 'pippenger,wiley', 'hiester,jackson']",1118.0,berry,2,0,0.0
8,8,4319,Rhodes,Berry,1,83-44,"19,25","36,47",0-6,6-0,0-6,6-0,02/07/21,1:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,,False,18:38,,2,,0,"STEAL  by WALKER,JEFFERSON",,,"STEAL  by WALKER,JEFFERSON",1,steal,,rhodes,,,"['brooks,austin', 'johnson,michael', 'jones,drew', 'johnson,micah', 'wehunt,dawson']","['walker,jefferson', 'wiley,koki', 'james,mac', 'pippenger,wiley', 'hiester,jackson']",1118.0,berry,2,0,0.0
9,9,4319,Rhodes,Berry,1,83-44,"19,25","36,47",0-6,6-0,0-6,6-0,02/07/21,1:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,,False,18:31,,2,,0,"MISS LAYUP by HIESTER,JACKSON(in the paint)",,,"MISS LAYUP by HIESTER,JACKSON(in the paint)",1,layup,missed,rhodes,"hiester,jackson",,"['brooks,austin', 'johnson,michael', 'jones,drew', 'johnson,micah', 'wehunt,dawson']","['walker,jefferson', 'wiley,koki', 'james,mac', 'pippenger,wiley', 'hiester,jackson']",1111.0,rhodes,3,0,0.0
10,10,4319,Rhodes,Berry,1,83-44,"19,25","36,47",0-6,6-0,0-6,6-0,02/07/21,1:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,,False,--,"REBOUND DEF by JONES,DREW",2,,0,,,,"REBOUND DEF by JONES,DREW",1,defensive rebound,,berry,"jones,drew",,"['brooks,austin', 'johnson,michael', 'jones,drew', 'johnson,micah', 'wehunt,dawson']","['walker,jefferson', 'wiley,koki', 'james,mac', 'pippenger,wiley', 'hiester,jackson']",,rhodes,3,0,0.0
11,11,4319,Rhodes,Berry,1,83-44,"19,25","36,47",0-6,6-0,0-6,6-0,02/07/21,1:00 PM,,"Mallory Gymnasium, Memphis, TN",Lose,2,False,,False,18:17,"GOOD JUMPER by BROOKS,AUSTIN(in the paint)",4,,0,,Berry 4-0 (+4),,"GOOD JUMPER by BROOKS,AUSTIN(in the paint)",1,jumper,good,berry,"brooks,austin",2.0,"['brooks,austin', 'johnson,michael', 'jones,drew', 'johnson,micah', 'wehunt,dawson']","['walker,jefferson', 'wiley,koki', 'james,mac', 'pippenger,wiley', 'hiester,jackson']",1097.0,berry,4,0,0.0
