,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,5245,Berry,Huntingdon,0,66-86,"45,41","30,36",1-0,0-1,0-0,0-0,11/08/22,7:00 PM,,"The Cage Center, Rome, GA",Win,2,False,381,False,19:43,"GOOD LAYUP by GOOLESBY,TATE(in the paint)",2,,0,,Hunt 2-0 (-2),,"GOOD LAYUP by GOOLESBY,TATE(in the paint)",1,layup,good,huntingdon,"goolesby,tate",2.0,"['goolesby,tate', 'gardner,max', 'johns,nate', 'page,sam', 'hawkins,daquan']","['rusciano,robbie', 'benham,,braxton', 'clark,bryce', 'honroth,owen', 'costas,riley']",1183.0,huntingdon,1,0,0.0
1,1,5245,Berry,Huntingdon,0,66-86,"45,41","30,36",1-0,0-1,0-0,0-0,11/08/22,7:00 PM,,"The Cage Center, Rome, GA",Win,2,False,381,False,--,"ASSIST  by GARDNER,MAX",2,,0,,,,"ASSIST  by GARDNER,MAX",1,assist,,huntingdon,"gardner,max",,"['goolesby,tate', 'gardner,max', 'johns,nate', 'page,sam', 'hawkins,daquan']","['rusciano,robbie', 'benham,,braxton', 'clark,bryce', 'honroth,owen', 'costas,riley']",,huntingdon,1,0,0.0
2,2,5245,Berry,Huntingdon,0,66-86,"45,41","30,36",1-0,0-1,0-0,0-0,11/08/22,7:00 PM,,"The Cage Center, Rome, GA",Win,2,False,381,False,19:30,,2,,0,"MISS 3PTR by COSTAS,RILEY",,,"MISS 3PTR by COSTAS,RILEY",1,three pointer,missed,berry,"costas,riley",,"['goolesby,tate', 'gardner,max', 'johns,nate', 'page,sam', 'hawkins,daquan']","['rusciano,robbie', 'benham,,braxton', 'clark,bryce', 'honroth,owen', 'costas,riley']",1170.0,huntingdon,1,0,0.0
3,3,5245,Berry,Huntingdon,0,66-86,"45,41","30,36",1-0,0-1,0-0,0-0,11/08/22,7:00 PM,,"The Cage Center, Rome, GA",Win,2,False,381,False,--,"REBOUND DEF by PAGE,SAM",2,,0,,,,"REBOUND DEF by PAGE,SAM",1,defensive rebound,,huntingdon,"page,sam",,"['goolesby,tate', 'gardner,max', 'johns,nate', 'page,sam', 'hawkins,daquan']","['rusciano,robbie', 'benham,,braxton', 'clark,bryce', 'honroth,owen', 'costas,riley']",,huntingdon,1,0,0.0
4,4,5245,Berry,Huntingdon,0,66-86,"45,41","30,36",1-0,0-1,0-0,0-0,11/08/22,7:00 PM,,"The Cage Center, Rome, GA",Win,2,False,381,False,19:17,"MISS JUMPER by GARDNER,MAX(in the paint)",2,,0,,,,"MISS JUMPER by GARDNER,MAX(in the paint)",1,jumper,missed,huntingdon,"gardner,max",,"['goolesby,tate', 'gardner,max', 'johns,nate', 'page,sam', 'hawkins,daquan']","['rusciano,robbie', 'benham,,braxton', 'clark,bryce', 'honroth,owen', 'costas,riley']",1157.0,huntingdon,1,0,0.0
5,5,5245,Berry,Huntingdon,0,66-86,"45,41","30,36",1-0,0-1,0-0,0-0,11/08/22,7:00 PM,,"The Cage Center, Rome, GA",Win,2,False,381,False,--,,2,,0,"REBOUND DEF by BENHAM,BRAXTON",,,"REBOUND DEF by BENHAM,BRAXTON",1,defensive rebound,,berry,"benham,braxton",,"['goolesby,tate', 'gardner,max', 'johns,nate', 'page,sam', 'hawkins,daquan']","['rusciano,robbie', 'benham,,braxton', 'clark,bryce', 'honroth,owen', 'costas,riley']",,huntingdon,1,0,0.0
6,6,5245,Berry,Huntingdon,0,66-86,"45,41","30,36",1-0,0-1,0-0,0-0,11/08/22,7:00 PM,,"The Cage Center, Rome, GA",Win,2,False,381,False,19:12,,2,,0,"TURNOVER  by BENHAM,BRAXTON",,,"TURNOVER  by BENHAM,BRAXTON",1,turnover,,berry,"benham,braxton",,"['goolesby,tate', 'gardner,max', 'johns,nate', 'page,sam', 'hawkins,daquan']","['rusciano,robbie', 'benham,,braxton', 'clark,bryce', 'honroth,owen', 'costas,riley']",1152.0,berry,2,0,0.0
7,7,5245,Berry,Huntingdon,0,66-86,"45,41","30,36",1-0,0-1,0-0,0-0,11/08/22,7:00 PM,,"The Cage Center, Rome, GA",Win,2,False,381,False,19:12,"STEAL  by PAGE,SAM",2,,0,,,,"STEAL  by PAGE,SAM",1,steal,,huntingdon,,,"['goolesby,tate', 'gardner,max', 'johns,nate', 'page,sam', 'hawkins,daquan']","['rusciano,robbie', 'benham,,braxton', 'clark,bryce', 'honroth,owen', 'costas,riley']",1152.0,berry,2,0,0.0
8,8,5245,Berry,Huntingdon,0,66-86,"45,41","30,36",1-0,0-1,0-0,0-0,11/08/22,7:00 PM,,"The Cage Center, Rome, GA",Win,2,False,381,False,19:04,"MISS 3PTR by GOOLESBY,TATE",2,,0,,,,"MISS 3PTR by GOOLESBY,TATE",1,three pointer,missed,huntingdon,"goolesby,tate",,"['goolesby,tate', 'gardner,max', 'johns,nate', 'page,sam', 'hawkins,daquan']","['rusciano,robbie', 'benham,,braxton', 'clark,bryce', 'honroth,owen', 'costas,riley']",1144.0,huntingdon,3,0,0.0
9,9,5245,Berry,Huntingdon,0,66-86,"45,41","30,36",1-0,0-1,0-0,0-0,11/08/22,7:00 PM,,"The Cage Center, Rome, GA",Win,2,False,381,False,--,"REBOUND OFF by PAGE,SAM",2,,0,,,,"REBOUND OFF by PAGE,SAM",1,offensive rebound,,huntingdon,"page,sam",,"['goolesby,tate', 'gardner,max', 'johns,nate', 'page,sam', 'hawkins,daquan']","['rusciano,robbie', 'benham,,braxton', 'clark,bryce', 'honroth,owen', 'costas,riley']",,huntingdon,3,0,0.0
