,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,19:37,"TURNOVER  by CORRIGAN,TRE",,,,,,,"TURNOVER  by CORRIGAN,TRE",1,turnover,,sewanee,"corrigan,tre",,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",1177.0,berry,1,0,0.0
1,1,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,19:37,,,,,"STEAL  by BENHAM,BRAXTON",,,"STEAL  by BENHAM,BRAXTON",1,steal,,berry,,,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",1177.0,berry,1,0,0.0
2,2,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,19:17,,0.0,,3.0,"GOOD 3PTR by HONROTH,OWEN",Berry 0-3 (+3),,"GOOD 3PTR by HONROTH,OWEN",1,three pointer,good,berry,"honroth,owen",3.0,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",1157.0,berry,1,0,0.0
3,3,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,--,,0.0,,3.0,"ASSIST  by BENHAM,BRAXTON",,,"ASSIST  by BENHAM,BRAXTON",1,assist,,berry,"benham,braxton",,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",,berry,1,0,0.0
4,4,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,19:01,"GOOD JUMPER by KAHL,COLIN(in the paint)",2.0,,3.0,,Sewan 2-3 (+1),,"GOOD JUMPER by KAHL,COLIN(in the paint)",1,jumper,good,sewanee,"kahl,colin",2.0,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",1141.0,berry,1,0,0.0
5,5,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,18:25,,2.0,,3.0,"MISS 3PTR by BENHAM,BRAXTON",,,"MISS 3PTR by BENHAM,BRAXTON",1,three pointer,missed,berry,"benham,braxton",,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",1105.0,berry,1,0,0.0
6,6,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,--,"REBOUND DEF by AVALIANI,LUKA",2.0,,3.0,,,,"REBOUND DEF by AVALIANI,LUKA",1,defensive rebound,,sewanee,"avaliani,luka",,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",,berry,1,0,0.0
7,7,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,18:13,"GOOD JUMPER by SMITH,GRAHAM(in the paint)",4.0,,3.0,,Sewan 4-3 (-1),,"GOOD JUMPER by SMITH,GRAHAM(in the paint)",1,jumper,good,sewanee,"smith,graham",2.0,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",1093.0,sewanee,2,0,0.0
8,8,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,--,"ASSIST  by CORRIGAN,TRE",4.0,,3.0,,,,"ASSIST  by CORRIGAN,TRE",1,assist,,sewanee,"corrigan,tre",,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",,sewanee,2,0,0.0
9,9,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,17:59,,4.0,,5.0,"GOOD LAYUP by COSTAS,RILEY(in the paint)",Berry 4-5 (+1),,"GOOD LAYUP by COSTAS,RILEY(in the paint)",1,layup,good,berry,"costas,riley",2.0,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",1079.0,sewanee,2,0,0.0
10,10,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,--,,4.0,,5.0,"ASSIST  by HONROTH,OWEN",,,"ASSIST  by HONROTH,OWEN",1,assist,,berry,"honroth,owen",,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",,sewanee,2,0,0.0
11,11,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,17:47,"TURNOVER  by SMITH,GRAHAM",4.0,,5.0,,,,"TURNOVER  by SMITH,GRAHAM",1,turnover,,sewanee,"smith,graham",,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",1067.0,sewanee,2,0,0.0
12,12,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,17:47,,4.0,,5.0,"STEAL  by COSTAS,RILEY",,,"STEAL  by COSTAS,RILEY",1,steal,,berry,,,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",1067.0,sewanee,2,0,0.0
13,13,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,17:43,,4.0,,7.0,"GOOD JUMPER by HONROTH,OWEN(fastbreak)(in the paint)",Berry 4-7 (+3),,"GOOD JUMPER by HONROTH,OWEN(fastbreak)(in the paint)",1,jumper,good,berry,"honroth,owen(fastbreak)",2.0,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",1063.0,berry,3,0,0.0
14,14,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,--,,4.0,,7.0,"ASSIST  by BENHAM,BRAXTON",,,"ASSIST  by BENHAM,BRAXTON",1,assist,,berry,"benham,braxton",,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",,berry,3,0,0.0
15,15,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,17:25,"MISS LAYUP by KAHL,COLIN(in the paint)",4.0,,7.0,,,,"MISS LAYUP by KAHL,COLIN(in the paint)",1,layup,missed,sewanee,"kahl,colin",,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",1045.0,berry,3,0,0.0
16,16,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,--,,4.0,,7.0,"REBOUND DEF by COSTAS,RILEY",,,"REBOUND DEF by COSTAS,RILEY",1,defensive rebound,,berry,"costas,riley",,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",,berry,3,0,0.0
17,17,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,17:17,,4.0,,10.0,"GOOD 3PTR by HONROTH,OWEN(fastbreak)",Berry 4-10 (+6),,"GOOD 3PTR by HONROTH,OWEN(fastbreak)",1,three pointer,good,berry,"honroth,owen(fastbreak)",3.0,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",1037.0,berry,3,0,0.0
18,18,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,--,,4.0,,10.0,"ASSIST  by ELLIS,CHASE",,,"ASSIST  by ELLIS,CHASE",1,assist,,berry,"ellis,chase",,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",,berry,3,0,0.0
19,19,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,16:57,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",6.0,,10.0,,Sewan 6-10 (+4),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",1,layup,good,sewanee,"avaliani,luka",2.0,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",1017.0,berry,3,0,0.0
20,20,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,--,"ASSIST  by KAHL,COLIN",6.0,,10.0,,,,"ASSIST  by KAHL,COLIN",1,assist,,sewanee,"kahl,colin",,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",,berry,3,0,0.0
21,21,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,16:40,,6.0,,10.0,"MISS 3PTR by CAMPBELL,BLAKE",,,"MISS 3PTR by CAMPBELL,BLAKE",1,three pointer,missed,berry,"campbell,blake",,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",1000.0,berry,3,0,0.0
22,22,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,--,"REBOUND DEF by AVALIANI,LUKA",6.0,,10.0,,,,"REBOUND DEF by AVALIANI,LUKA",1,defensive rebound,,sewanee,"avaliani,luka",,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",,berry,3,0,0.0
23,23,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,16:18,"MISS 3PTR by KAHL,COLIN",6.0,,10.0,,,,"MISS 3PTR by KAHL,COLIN",1,three pointer,missed,sewanee,"kahl,colin",,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",978.0,sewanee,4,0,0.0
24,24,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,--,"REBOUND OFF by SMITH,GRAHAM",6.0,,10.0,,,,"REBOUND OFF by SMITH,GRAHAM",1,offensive rebound,,sewanee,"smith,graham",,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",,sewanee,4,0,0.0
25,25,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,16:15,"MISS LAYUP by SMITH,GRAHAM(in the paint)",6.0,,10.0,,,,"MISS LAYUP by SMITH,GRAHAM(in the paint)",1,layup,missed,sewanee,"smith,graham",,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",975.0,sewanee,4,0,0.0
26,26,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,16:15,,6.0,,10.0,"BLOCK  by CAMPBELL,BLAKE",,,"BLOCK  by CAMPBELL,BLAKE",1,block,,berry,"campbell,blake",,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",975.0,sewanee,4,0,0.0
27,27,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,--,,6.0,,10.0,"REBOUND DEF by ELLIS,CHASE",,,"REBOUND DEF by ELLIS,CHASE",1,defensive rebound,,berry,"ellis,chase",,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",,sewanee,4,0,0.0
28,28,5272,Berry,Sewanee,1,86-82,"41,41","42,44",25-3,19-9,14-0,9-5,02/26/23,2:00 PM,,"The Cage Center, Rome, GA",Lose,2,False,1118,False,16:00,,6.0,,12.0,"GOOD JUMPER by ELLIS,CHASE",Berry 6-12 (+6),,"GOOD JUMPER by ELLIS,CHASE",1,jumper,good,berry,"ellis,chase",2.0,"['marr,russ', 'kahl,colin', 'avaliani,luka', 'corrigan,tre', 'smith,graham']","['ellis,chase', 'campbell,blake', 'benham,,braxton', 'honroth,owen', 'costas,riley']",960.0,berry,5,0,0.0
