game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
11,BIRMINGHAM-SOUTHERN,MILLSAPS,69-68,69,68,"5-6, 1-0 SAA","3-8, 0-1 SAA",01/02/17,Lose,116,No Location Recorded,3:00 PM,19:40,"MISS 3PTR by LEWIS,EVAN",0,0,,0,1,3ptr,miss,1,1,0.0,0.0,,,0,0,,,39,2380
11,BIRMINGHAM-SOUTHERN,MILLSAPS,69-68,69,68,"5-6, 1-0 SAA","3-8, 0-1 SAA",01/02/17,Lose,116,No Location Recorded,3:00 PM,19:40,,0,0,"REBOUND DEF by GAGEN,BRENNAN",0,1,,,1,1,0.0,0.0,,,0,0,,,39,2380
11,BIRMINGHAM-SOUTHERN,MILLSAPS,69-68,69,68,"5-6, 1-0 SAA","3-8, 0-1 SAA",01/02/17,Lose,116,No Location Recorded,3:00 PM,19:19,,0,0,"MISS 3PTR by KOHNKE,SAM",0,1,,,1,1,0.0,0.0,3ptr,miss,1,1,0.0,0.0,39,2359
11,BIRMINGHAM-SOUTHERN,MILLSAPS,69-68,69,68,"5-6, 1-0 SAA","3-8, 0-1 SAA",01/02/17,Lose,116,No Location Recorded,3:00 PM,19:19,,0,0,"REBOUND OFF by BLANZ,BUCK",0,1,,,1,1,0.0,0.0,,,1,1,0.0,0.0,39,2359
11,BIRMINGHAM-SOUTHERN,MILLSAPS,69-68,69,68,"5-6, 1-0 SAA","3-8, 0-1 SAA",01/02/17,Lose,116,No Location Recorded,3:00 PM,19:10,,0,0,"MISS JUMPER by KOHNKE,SAM",0,1,,,1,1,0.0,0.0,jumper,miss,2,1,0.0,0.0,39,2350
11,BIRMINGHAM-SOUTHERN,MILLSAPS,69-68,69,68,"5-6, 1-0 SAA","3-8, 0-1 SAA",01/02/17,Lose,116,No Location Recorded,3:00 PM,19:10,"REBOUND DEF by DENEKA,HARRISON",0,0,,0,1,,,1,1,0.0,0.0,,,2,1,0.0,0.0,39,2350
11,BIRMINGHAM-SOUTHERN,MILLSAPS,69-68,69,68,"5-6, 1-0 SAA","3-8, 0-1 SAA",01/02/17,Lose,116,No Location Recorded,3:00 PM,18:49,"GOOD LAYUP by RUDAK,MATTY(in the paint)",2,0,,-2,1,layup,good,2,1,0.5,0.0,,,2,1,0.0,0.0,38,2329
11,BIRMINGHAM-SOUTHERN,MILLSAPS,69-68,69,68,"5-6, 1-0 SAA","3-8, 0-1 SAA",01/02/17,Lose,116,No Location Recorded,3:00 PM,18:49,"ASSIST  by MCLEAN,JAMES",2,0,,-2,1,,,2,1,0.5,0.0,,,2,1,0.0,0.0,38,2329
11,BIRMINGHAM-SOUTHERN,MILLSAPS,69-68,69,68,"5-6, 1-0 SAA","3-8, 0-1 SAA",01/02/17,Lose,116,No Location Recorded,3:00 PM,18:41,,2,0,"TURNOVER  by GAGEN,BRENNAN",-2,1,,,2,1,0.5,0.0,,,2,1,0.0,0.0,38,2321
11,BIRMINGHAM-SOUTHERN,MILLSAPS,69-68,69,68,"5-6, 1-0 SAA","3-8, 0-1 SAA",01/02/17,Lose,116,No Location Recorded,3:00 PM,18:30,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",4,0,,-4,1,layup,good,3,1,0.667,0.0,,,2,1,0.0,0.0,38,2310
