game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
28,Birmingham-Southern,Rhodes,95-98,95,98,14-14,17-10,02/26/17,Win,753,No Location Recorded,4:11 p.m.,19:53,"MISS LAYUP by MCLEAN,JAMES",0,0,,0,1,layup,miss,1,0,0.0,,,,0,0,,,39,2393
28,Birmingham-Southern,Rhodes,95-98,95,98,14-14,17-10,02/26/17,Win,753,No Location Recorded,4:11 p.m.,19:53,,0,0,"REBOUND DEF by GEE,TYLER",0,1,,,1,0,0.0,,,,0,0,,,39,2393
28,Birmingham-Southern,Rhodes,95-98,95,98,14-14,17-10,02/26/17,Win,753,No Location Recorded,4:11 p.m.,19:45,,0,0,"MISS LAYUP by WEATHERFORD,MITCH",0,1,,,1,0,0.0,,layup,miss,1,0,0.0,,39,2385
28,Birmingham-Southern,Rhodes,95-98,95,98,14-14,17-10,02/26/17,Win,753,No Location Recorded,4:11 p.m.,19:45,"REBOUND DEF by DENEKA,HARRISON",0,0,,0,1,,,1,0,0.0,,,,1,0,0.0,,39,2385
28,Birmingham-Southern,Rhodes,95-98,95,98,14-14,17-10,02/26/17,Win,753,No Location Recorded,4:11 p.m.,19:36,"MISS LAYUP by RUDAK,MATTY",0,0,,0,1,layup,miss,2,0,0.0,,,,1,0,0.0,,39,2376
28,Birmingham-Southern,Rhodes,95-98,95,98,14-14,17-10,02/26/17,Win,753,No Location Recorded,4:11 p.m.,19:36,,0,0,"REBOUND DEF by BERRY,BRYCE",0,1,,,2,0,0.0,,,,1,0,0.0,,39,2376
28,Birmingham-Southern,Rhodes,95-98,95,98,14-14,17-10,02/26/17,Win,753,No Location Recorded,4:11 p.m.,19:25,,0,0,"TURNOVER  by GEE,TYLER",0,1,,,2,0,0.0,,,,1,0,0.0,,39,2365
28,Birmingham-Southern,Rhodes,95-98,95,98,14-14,17-10,02/26/17,Win,753,No Location Recorded,4:11 p.m.,19:25,"STEAL  by DENEKA,HARRISON",0,0,,0,1,,,2,0,0.0,,,,1,0,0.0,,39,2365
28,Birmingham-Southern,Rhodes,95-98,95,98,14-14,17-10,02/26/17,Win,753,No Location Recorded,4:11 p.m.,19:19,"MISS LAYUP by LEWIS,EVAN",0,0,,0,1,layup,miss,3,0,0.0,,,,1,0,0.0,,39,2359
28,Birmingham-Southern,Rhodes,95-98,95,98,14-14,17-10,02/26/17,Win,753,No Location Recorded,4:11 p.m.,19:19,"REBOUND OFF by RUDAK,MATTY",0,0,,0,1,,,3,0,0.0,,,,1,0,0.0,,39,2359
28,Birmingham-Southern,Rhodes,95-98,95,98,14-14,17-10,02/26/17,Win,753,No Location Recorded,4:11 p.m.,19:17,"GOOD LAYUP by RUDAK,MATTY(in the paint)",2,0,,-2,1,layup,good,4,0,0.25,,,,1,0,0.0,,39,2357
28,Birmingham-Southern,Rhodes,95-98,95,98,14-14,17-10,02/26/17,Win,753,No Location Recorded,4:11 p.m.,19:03,,2,2,"GOOD LAYUP by ASHBY,KENDRICK(in the paint)",0,1,,,4,0,0.25,,layup,good,2,0,0.5,,39,2343
