game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
1,Huntingdon,Birmingham-So.,81-87,81,87,"0-1,0-0 USA South","1-0,0-0 SAA",12/14/20,Win,No Attendence Recorded,No Location Recorded,2:00 PM,19:55,"GOOD JUMPER by ZACHERY,CEAUNTE",2,0,,-2,1,jumper,good,1,0,1.0,,,,0,0,,,39,2395
1,Huntingdon,Birmingham-So.,81-87,81,87,"0-1,0-0 USA South","1-0,0-0 SAA",12/14/20,Win,No Attendence Recorded,No Location Recorded,2:00 PM,19:26,,2,0,"MISS JUMPER by SPENCE,BEN(in the paint)",-2,1,,,1,0,1.0,,jumper,miss,1,0,0.0,,39,2366
1,Huntingdon,Birmingham-So.,81-87,81,87,"0-1,0-0 USA South","1-0,0-0 SAA",12/14/20,Win,No Attendence Recorded,No Location Recorded,2:00 PM,19:18,,2,2,"GOOD LAYUP by SPENCE,BEN(in the paint)",0,1,,,1,0,1.0,,layup,good,2,0,0.5,,39,2358
1,Huntingdon,Birmingham-So.,81-87,81,87,"0-1,0-0 USA South","1-0,0-0 SAA",12/14/20,Win,No Attendence Recorded,No Location Recorded,2:00 PM,19:18,,2,2,"REBOUND OFF by SPENCE,BEN",0,1,,,1,0,1.0,,,,2,0,0.5,,39,2358
1,Huntingdon,Birmingham-So.,81-87,81,87,"0-1,0-0 USA South","1-0,0-0 SAA",12/14/20,Win,No Attendence Recorded,No Location Recorded,2:00 PM,19:13,"GOOD 3PTR by ZACHERY,CEAUNTE",5,2,,-3,1,3ptr,good,2,1,1.0,1.0,,,2,0,0.5,,39,2353
1,Huntingdon,Birmingham-So.,81-87,81,87,"0-1,0-0 USA South","1-0,0-0 SAA",12/14/20,Win,No Attendence Recorded,No Location Recorded,2:00 PM,19:13,"ASSIST  by TONEY,CALEB",5,2,,-3,1,,,2,1,1.0,1.0,,,2,0,0.5,,39,2353
1,Huntingdon,Birmingham-So.,81-87,81,87,"0-1,0-0 USA South","1-0,0-0 SAA",12/14/20,Win,No Attendence Recorded,No Location Recorded,2:00 PM,19:07,,5,2,"TURNOVER  by O'SULLIVAN,CONOR",-3,1,,,2,1,1.0,1.0,,,2,0,0.5,,39,2347
1,Huntingdon,Birmingham-So.,81-87,81,87,"0-1,0-0 USA South","1-0,0-0 SAA",12/14/20,Win,No Attendence Recorded,No Location Recorded,2:00 PM,19:07,"STEAL  by ZACHERY,CEAUNTE",5,2,,-3,1,,,2,1,1.0,1.0,,,2,0,0.5,,39,2347
1,Huntingdon,Birmingham-So.,81-87,81,87,"0-1,0-0 USA South","1-0,0-0 SAA",12/14/20,Win,No Attendence Recorded,No Location Recorded,2:00 PM,19:00,"GOOD 3PTR by MADISON,DAMIEN",8,2,,-6,1,3ptr,good,3,2,1.0,1.0,,,2,0,0.5,,39,2340
1,Huntingdon,Birmingham-So.,81-87,81,87,"0-1,0-0 USA South","1-0,0-0 SAA",12/14/20,Win,No Attendence Recorded,No Location Recorded,2:00 PM,19:00,"ASSIST  by ZACHERY,CEAUNTE",8,2,,-6,1,,,3,2,1.0,1.0,,,2,0,0.5,,39,2340
