game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
2,Belhaven,Birmingham-So.,78-95,78,95,"0-1,0-0 ASC","2-0,0-0 SAA",12/17/20,Win,105,No Location Recorded,7:00 PM,19:38,,0,2,"GOOD LAYUP by SPENCE,BEN(in the paint)",2,1,,,0,0,,,layup,good,1,0,1.0,,39,2378
2,Belhaven,Birmingham-So.,78-95,78,95,"0-1,0-0 ASC","2-0,0-0 SAA",12/17/20,Win,105,No Location Recorded,7:00 PM,19:36,"FOUL  by REED,AUSTIN",0,2,,2,1,foul,,0,0,,,,,1,0,1.0,,39,2376
2,Belhaven,Birmingham-So.,78-95,78,95,"0-1,0-0 ASC","2-0,0-0 SAA",12/17/20,Win,105,No Location Recorded,7:00 PM,19:36,,0,2,"MISS FT by SPENCE,BEN",2,1,,,0,0,,,ft,miss,2,0,0.5,,39,2376
2,Belhaven,Birmingham-So.,78-95,78,95,"0-1,0-0 ASC","2-0,0-0 SAA",12/17/20,Win,105,No Location Recorded,7:00 PM,19:36,,0,2,REBOUND DEADB by TEAM,2,1,,,0,0,,,,,2,0,0.5,,39,2376
2,Belhaven,Birmingham-So.,78-95,78,95,"0-1,0-0 ASC","2-0,0-0 SAA",12/17/20,Win,105,No Location Recorded,7:00 PM,19:23,"MISS 3PTR by REED,AUSTIN",0,2,,2,1,3ptr,miss,1,1,0.0,0.0,,,2,0,0.5,,39,2363
2,Belhaven,Birmingham-So.,78-95,78,95,"0-1,0-0 ASC","2-0,0-0 SAA",12/17/20,Win,105,No Location Recorded,7:00 PM,19:23,,0,2,"REBOUND DEF by FITZGERALD,PAUL",2,1,,,1,1,0.0,0.0,,,2,0,0.5,,39,2363
2,Belhaven,Birmingham-So.,78-95,78,95,"0-1,0-0 ASC","2-0,0-0 SAA",12/17/20,Win,105,No Location Recorded,7:00 PM,19:06,,0,4,"GOOD LAYUP by FITZGERALD,PAUL(in the paint)",4,1,,,1,1,0.0,0.0,layup,good,3,0,0.667,,39,2346
2,Belhaven,Birmingham-So.,78-95,78,95,"0-1,0-0 ASC","2-0,0-0 SAA",12/17/20,Win,105,No Location Recorded,7:00 PM,18:40,"GOOD LAYUP by DUNCAN,JAVON(in the paint)",2,4,,2,1,layup,good,2,1,0.5,0.0,,,3,0,0.667,,38,2320
2,Belhaven,Birmingham-So.,78-95,78,95,"0-1,0-0 ASC","2-0,0-0 SAA",12/17/20,Win,105,No Location Recorded,7:00 PM,18:40,,2,4,"FOUL  by STEWART,CHRISTIAN",2,1,,,2,1,0.5,0.0,foul,,3,0,0.667,,38,2320
2,Belhaven,Birmingham-So.,78-95,78,95,"0-1,0-0 ASC","2-0,0-0 SAA",12/17/20,Win,105,No Location Recorded,7:00 PM,18:40,"MISS FT by DUNCAN,JAVON",2,4,,2,1,ft,miss,3,1,0.333,0.0,,,3,0,0.667,,38,2320
2,Belhaven,Birmingham-So.,78-95,78,95,"0-1,0-0 ASC","2-0,0-0 SAA",12/17/20,Win,105,No Location Recorded,7:00 PM,18:40,,2,4,"REBOUND DEF by SPENCE,BEN",2,1,,,3,1,0.333,0.0,,,3,0,0.667,,38,2320
