Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,LC,Game Score,Team Indicator,Play,Period
19:42,,,,,"MISS 3PTR by BAXTER,DUSTIN",,,"MISS 3PTR by BAXTER,DUSTIN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
19:29,,,,,"MISS JUMPER by ANDERSON,KYRON",,,"MISS JUMPER by ANDERSON,KYRON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:16,,,,,"FOUL  by DUGGER,PATRICK",,,"FOUL  by DUGGER,PATRICK",1
19:12,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by ANDERSON,KYRON",,,"REBOUND DEF by ANDERSON,KYRON",1
19:06,,0,,2 (+2),"GOOD LAYUP by ANDERSON,KYRON(in the paint)",LC 0-2 (-2),,"GOOD LAYUP by ANDERSON,KYRON(in the paint)",1
19:06,"FOUL  by KEGARISE,KEVIN",,,,,,,"FOUL  by KEGARISE,KEVIN",1
19:06,,,,,"MISS FT by ANDERSON,KYRON",,,"MISS FT by ANDERSON,KYRON",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
18:51,,,,,"MISS JUMPER by MITCHELL,NICK",,,"MISS JUMPER by MITCHELL,NICK",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
18:43,"MISS 3PTR by HENRY,COLIN",,,,,,,"MISS 3PTR by HENRY,COLIN",1
--,"REBOUND OFF by HENRY,COLIN",,,,,,,"REBOUND OFF by HENRY,COLIN",1
18:31,,,,,"FOUL  by BAXTER,DUSTIN",,,"FOUL  by BAXTER,DUSTIN",1
18:31,"GOOD FT by HENRY,COLIN",1,,2 (+1),,BSC 1-2 (-1),,"GOOD FT by HENRY,COLIN",1
18:23,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
