Time Remaining,RUST,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:48,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND DEF by VEASLEY,LARRY",,,,,,,"REBOUND DEF by VEASLEY,LARRY",1
19:25,"GOOD JUMPER by GAMBLE,CHRIS",2 (+2),,0,,RUST 2-0 (-2),,"GOOD JUMPER by GAMBLE,CHRIS",1
19:08,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,"REBOUND DEF by VEASLEY,LARRY",,,,,,,"REBOUND DEF by VEASLEY,LARRY",1
18:59,"MISS JUMPER by BARNS,KELSEY",,,,,,,"MISS JUMPER by BARNS,KELSEY",1
--,,,,,"REBOUND DEF by KEGARISE,KEVIN",,,"REBOUND DEF by KEGARISE,KEVIN",1
18:47,,2,,2,"GOOD JUMPER by THOMAS,LARRY",BSC 2-2 (0),,"GOOD JUMPER by THOMAS,LARRY",1
--,,,,,"ASSIST  by RICHARDS,ZAC",,,"ASSIST  by RICHARDS,ZAC",1
18:16,"MISS 3PTR by GREDIC,KWAHMERE",,,,,,,"MISS 3PTR by GREDIC,KWAHMERE",1
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",1
18:08,,2,,5 (+3),"GOOD 3PTR by KEGARISE,KEVIN",BSC 2-5 (+3),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
17:34,"GOOD JUMPER by VEASLEY,LARRY(in the paint)",4,,5 (+1),,RUST 4-5 (+1),,"GOOD JUMPER by VEASLEY,LARRY(in the paint)",1
17:19,,,,,"MISS LAYUP by HENRY,COLIN",,,"MISS LAYUP by HENRY,COLIN",1
--,"REBOUND DEF by VEASLEY,LARRY",,,,,,,"REBOUND DEF by VEASLEY,LARRY",1
17:09,"MISS JUMPER by BARNS,KELSEY",,,,,,,"MISS JUMPER by BARNS,KELSEY",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
17:04,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
17:04,"BLOCK  by BIRK,ANDREW",,,,,,,"BLOCK  by BIRK,ANDREW",1
--,"REBOUND DEF by GREDIC,KWAHMERE",,,,,,,"REBOUND DEF by GREDIC,KWAHMERE",1
16:51,"TURNOVER  by GAMBLE,CHRIS",,,,,,,"TURNOVER  by GAMBLE,CHRIS",1
16:25,,4,,7 (+3),"GOOD LAYUP by HENRY,COLIN(in the paint)",BSC 4-7 (+3),,"GOOD LAYUP by HENRY,COLIN(in the paint)",1
16:11,"GOOD LAYUP by GREDIC,KWAHMERE(in the paint)",6,,7 (+1),,RUST 6-7 (+1),,"GOOD LAYUP by GREDIC,KWAHMERE(in the paint)",1
16:01,,,,,"SUB IN by FREEMAN,SCHYLAR",,,"SUB IN by FREEMAN,SCHYLAR",1
16:01,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
15:59,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND OFF by RICHARDS,ZAC",,,"REBOUND OFF by RICHARDS,ZAC",1
15:55,,6,,9 (+3),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 6-9 (+3),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
15:37,"MISS 3PTR by BARNS,KELSEY",,,,,,,"MISS 3PTR by BARNS,KELSEY",1
--,,,,,"REBOUND DEF by WHITE,BLAISE",,,"REBOUND DEF by WHITE,BLAISE",1
15:31,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND DEF by GAMBLE,CHRIS",,,,,,,"REBOUND DEF by GAMBLE,CHRIS",1
15:26,"TURNOVER  by GAMBLE,CHRIS",,,,,,,"TURNOVER  by GAMBLE,CHRIS",1
15:24,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",1
15:22,,,,,"MISS LAYUP by WHITE,BLAISE",,,"MISS LAYUP by WHITE,BLAISE",1
--,"REBOUND DEF by GAMBLE,CHRIS",,,,,,,"REBOUND DEF by GAMBLE,CHRIS",1
15:17,"GOOD DUNK by VEASLEY,LARRY(in the paint)",8,,9 (+1),,RUST 8-9 (+1),,"GOOD DUNK by VEASLEY,LARRY(in the paint)",1
--,"ASSIST  by GAMBLE,CHRIS",,,,,,,"ASSIST  by GAMBLE,CHRIS",1
14:50,,,,,"MISS JUMPER by THOMAS,LARRY",,,"MISS JUMPER by THOMAS,LARRY",1
--,"REBOUND DEF by BIRK,ANDREW",,,,,,,"REBOUND DEF by BIRK,ANDREW",1
14:40,"MISS JUMPER by GREDIC,KWAHMERE",,,,,,,"MISS JUMPER by GREDIC,KWAHMERE",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
14:33,,8,,11 (+3),"GOOD LAYUP by THOMAS,LARRY(in the paint)",BSC 8-11 (+3),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
14:16,"MISS 3PTR by BIRK,ANDREW",,,,,,,"MISS 3PTR by BIRK,ANDREW",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
14:01,,,,,"TURNOVER  by FREEMAN,SCHYLAR",,,"TURNOVER  by FREEMAN,SCHYLAR",1
13:57,"STEAL  by BIRK,ANDREW",,,,,,,"STEAL  by BIRK,ANDREW",1
13:54,"GOOD LAYUP by BIRK,ANDREW(fastbreak)(in the paint)",10,,11 (+1),,RUST 10-11 (+1),,"GOOD LAYUP by BIRK,ANDREW(fastbreak)(in the paint)",1
13:35,"SUB IN by SEALS,JORDAN",,,,,,,"SUB IN by SEALS,JORDAN",1
13:35,"SUB IN by BURKS,TEVIN",,,,,,,"SUB IN by BURKS,TEVIN",1
13:35,"SUB OUT by BARNS,KELSEY",,,,,,,"SUB OUT by BARNS,KELSEY",1
13:35,"SUB OUT by GAMBLE,CHRIS",,,,,,,"SUB OUT by GAMBLE,CHRIS",1
13:24,,10,,13 (+3),"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",BSC 10-13 (+3),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",1
--,,,,,"ASSIST  by MARSCHNER,BRENDAN",,,"ASSIST  by MARSCHNER,BRENDAN",1
13:24,"FOUL  by BURKS,TEVIN",,,,,,,"FOUL  by BURKS,TEVIN",1
13:24,,,,,"MISS FT by FREEMAN,SCHYLAR",,,"MISS FT by FREEMAN,SCHYLAR",1
--,"REBOUND DEF by VEASLEY,LARRY",,,,,,,"REBOUND DEF by VEASLEY,LARRY",1
13:24,,,,,"SUB IN by WARRICK,JOHN",,,"SUB IN by WARRICK,JOHN",1
13:24,,,,,"SUB IN by MARSCHNER,BRENDAN",,,"SUB IN by MARSCHNER,BRENDAN",1
13:24,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
13:24,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",1
13:24,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
13:24,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
