Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
19:52,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,,,,,"REBOUND DEF by SMOAK,HUNTER",,,"REBOUND DEF by SMOAK,HUNTER",1
19:44,,,,,"TURNOVER  by SMOAK,HUNTER",,,"TURNOVER  by SMOAK,HUNTER",1
19:25,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2 (+2),,0,,BSC-M 2-0 (+2),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
19:18,,,,,"TURNOVER  by WHALEN,MAC",,,"TURNOVER  by WHALEN,MAC",1
19:15,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",1
19:12,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,"REBOUND OFF by SCHAMP,GRIFFIN",,,,,,,"REBOUND OFF by SCHAMP,GRIFFIN",1
19:04,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,,,,,"REBOUND DEF by JACOBS,OWEN",,,"REBOUND DEF by JACOBS,OWEN",1
18:55,,2,,2,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",BCM 2-2 (0),,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",1
--,,,,,"ASSIST  by SMOAK,HUNTER",,,"ASSIST  by SMOAK,HUNTER",1
18:35,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by MCCLOUD,LEE",,,"REBOUND DEF by MCCLOUD,LEE",1
18:27,,2,,4 (+2),"GOOD LAYUP by MCCLOUD,LEE(fastbreak)(in the paint)",BCM 2-4 (-2),,"GOOD LAYUP by MCCLOUD,LEE(fastbreak)(in the paint)",1
18:05,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",4,,4,,BSC-M 4-4 (0),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",1
17:46,,,,,"MISS 3PTR by WHALEN,MAC",,,"MISS 3PTR by WHALEN,MAC",1
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",1
17:36,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by WHALEN,MAC",,,"REBOUND DEF by WHALEN,MAC",1
17:29,,4,,6 (+2),"GOOD LAYUP by SMOAK,HUNTER(fastbreak)(in the paint)",BCM 4-6 (-2),,"GOOD LAYUP by SMOAK,HUNTER(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WHALEN,MAC",,,"ASSIST  by WHALEN,MAC",1
17:17,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",6,,6,,BSC-M 6-6 (0),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",1
17:08,,6,,8 (+2),"GOOD LAYUP by JACOBS,OWEN(in the paint)",BCM 6-8 (-2),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",1
--,,,,,"ASSIST  by GRAHAM,LAKE",,,"ASSIST  by GRAHAM,LAKE",1
16:32,,,,,"FOUL  by MCCLOUD,LEE",,,"FOUL  by MCCLOUD,LEE",1
