Time Remaining,LCM,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
19:44,,,,,"TURNOVER  by ALLISON,ZACHARY",,,"TURNOVER  by ALLISON,ZACHARY",1
19:42,"STEAL  by BAKER,KAE'RON",,,,,,,"STEAL  by BAKER,KAE'RON",1
19:40,"MISS LAYUP by BAKER,KAE'RON",,,,,,,"MISS LAYUP by BAKER,KAE'RON",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
19:30,,0,,2 (+2),"GOOD LAYUP by SPENCE,BEN(in the paint)",BSC-M 0-2 (+2),,"GOOD LAYUP by SPENCE,BEN(in the paint)",1
19:16,"TURNOVER  by POWELL,LASHARD",,,,,,,"TURNOVER  by POWELL,LASHARD",1
18:49,,0,,4 (+4),"GOOD LAYUP by ALLISON,ZACHARY(in the paint)",BSC-M 0-4 (+4),,"GOOD LAYUP by ALLISON,ZACHARY(in the paint)",1
--,,,,,"ASSIST  by GONDA,MATT",,,"ASSIST  by GONDA,MATT",1
18:27,"GOOD JUMPER by STOKES,TIMOTHY",2,,4 (+2),,LCM 2-4 (+2),,"GOOD JUMPER by STOKES,TIMOTHY",1
--,"ASSIST  by WALLACE,KD",,,,,,,"ASSIST  by WALLACE,KD",1
18:06,,2,,6 (+4),"GOOD LAYUP by BAK,CALVIN(in the paint)",BSC-M 2-6 (+4),,"GOOD LAYUP by BAK,CALVIN(in the paint)",1
18:01,"GOOD LAYUP by WALLACE,KD(fastbreak)(in the paint)",4,,6 (+2),,LCM 4-6 (+2),,"GOOD LAYUP by WALLACE,KD(fastbreak)(in the paint)",1
17:52,"FOUL  by BAKER,KAE'RON",,,,,,,"FOUL  by BAKER,KAE'RON",1
17:52,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",1
17:52,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
17:32,,,,,"MISS LAYUP by ALLISON,ZACHARY",,,"MISS LAYUP by ALLISON,ZACHARY",1
--,"REBOUND DEF by STOKES,TIMOTHY",,,,,,,"REBOUND DEF by STOKES,TIMOTHY",1
17:25,"GOOD LAYUP by STOKES,TIMOTHY(fastbreak)(in the paint)",6,,6,,LCM 6-6 (0),,"GOOD LAYUP by STOKES,TIMOTHY(fastbreak)(in the paint)",1
17:03,,6,,8 (+2),"GOOD LAYUP by GONDA,MATT(in the paint)",BSC-M 6-8 (+2),,"GOOD LAYUP by GONDA,MATT(in the paint)",1
--,,,,,"ASSIST  by YANCEY,RICH",,,"ASSIST  by YANCEY,RICH",1
17:02,"FOUL  by BAKER,KAE'RON",,,,,,,"FOUL  by BAKER,KAE'RON",1
17:02,,,,,"MISS FT by GONDA,MATT",,,"MISS FT by GONDA,MATT",1
--,"REBOUND DEF by SCHULTZ,TRAVIS",,,,,,,"REBOUND DEF by SCHULTZ,TRAVIS",1
17:02,"SUB IN by WASHINGTON,DEVON",,,,,,,"SUB IN by WASHINGTON,DEVON",1
17:02,"SUB IN by RHONE,JAYLEN",,,,,,,"SUB IN by RHONE,JAYLEN",1
17:02,"SUB IN by HOLLIS,REX",,,,,,,"SUB IN by HOLLIS,REX",1
17:02,"SUB IN by AUSTIN,DENZEL",,,,,,,"SUB IN by AUSTIN,DENZEL",1
17:02,"SUB OUT by POWELL,LASHARD",,,,,,,"SUB OUT by POWELL,LASHARD",1
17:02,"SUB OUT by WALLACE,KD",,,,,,,"SUB OUT by WALLACE,KD",1
17:02,"SUB OUT by BAKER,KAE'RON",,,,,,,"SUB OUT by BAKER,KAE'RON",1
17:02,"SUB OUT by STOKES,TIMOTHY",,,,,,,"SUB OUT by STOKES,TIMOTHY",1
16:51,"MISS LAYUP by WASHINGTON,DEVON",,,,,,,"MISS LAYUP by WASHINGTON,DEVON",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
16:46,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,"REBOUND DEF by WASHINGTON,DEVON",,,,,,,"REBOUND DEF by WASHINGTON,DEVON",1
16:29,"MISS 3PTR by SCHULTZ,TRAVIS",,,,,,,"MISS 3PTR by SCHULTZ,TRAVIS",1
--,,,,,"REBOUND DEF by GONDA,MATT",,,"REBOUND DEF by GONDA,MATT",1
16:15,,6,,10 (+4),"GOOD LAYUP by SPENCE,BEN(in the paint)",BSC-M 6-10 (+4),,"GOOD LAYUP by SPENCE,BEN(in the paint)",1
15:52,"MISS LAYUP by WASHINGTON,DEVON",,,,,,,"MISS LAYUP by WASHINGTON,DEVON",1
--,,,,,"REBOUND DEF by YANCEY,RICH",,,"REBOUND DEF by YANCEY,RICH",1
15:38,,6,,12 (+6),"GOOD LAYUP by ALLISON,ZACHARY(in the paint)",BSC-M 6-12 (+6),,"GOOD LAYUP by ALLISON,ZACHARY(in the paint)",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
15:18,"GOOD 3PTR by HOLLIS,REX",9,,12 (+3),,LCM 9-12 (+3),,"GOOD 3PTR by HOLLIS,REX",1
--,"ASSIST  by RHONE,JAYLEN",,,,,,,"ASSIST  by RHONE,JAYLEN",1
15:00,"FOUL  by RHONE,JAYLEN",,,,,,,"FOUL  by RHONE,JAYLEN",1
15:00,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
15:00,"SUB IN by MIGUEZ,JASE",,,,,,,"SUB IN by MIGUEZ,JASE",1
15:00,"SUB OUT by SCHULTZ,TRAVIS",,,,,,,"SUB OUT by SCHULTZ,TRAVIS",1
15:00,,,,,"SUB IN by JR,BRUCE BRIGHT",,,"SUB IN by JR,BRUCE BRIGHT",1
15:00,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
15:00,,,,,"SUB IN by STEPHENS,TROY",,,"SUB IN by STEPHENS,TROY",1
15:00,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",1
15:00,,,,,"SUB IN by DENBESTEN,COLE",,,"SUB IN by DENBESTEN,COLE",1
15:00,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
15:00,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",1
15:00,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",1
15:00,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
