Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
19:49,,,,,"MISS JUMPER by STEWART,CHRISTIAN",,,"MISS JUMPER by STEWART,CHRISTIAN",1
--,"REBOUND DEF by CRUMLY,WILL",,,,,,,"REBOUND DEF by CRUMLY,WILL",1
19:30,"MISS LAYUP by BARNETTE,CHRIS",,,,,,,"MISS LAYUP by BARNETTE,CHRIS",1
--,"REBOUND OFF by CRUMLY,WILL",,,,,,,"REBOUND OFF by CRUMLY,WILL",1
19:27,"TURNOVER  by CRUMLY,WILL",,,,,,,"TURNOVER  by CRUMLY,WILL",1
19:12,,,,,"MISS JUMPER by FITZGERALD,PAUL",,,"MISS JUMPER by FITZGERALD,PAUL",1
--,"REBOUND DEF by CRUMLY,WILL",,,,,,,"REBOUND DEF by CRUMLY,WILL",1
19:00,"MISS 3PTR by MITCHELL,JAMES",,,,,,,"MISS 3PTR by MITCHELL,JAMES",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
18:39,,,,,"TURNOVER  by SPENCE,BEN",,,"TURNOVER  by SPENCE,BEN",1
18:39,"GOOD LAYUP by CRUMLY,WILL(in the paint)",2 (+2),,0,,CCM 2-0 (-2),,"GOOD LAYUP by CRUMLY,WILL(in the paint)",1
18:01,"FOUL  by ALLEN,ZACK",,,,,,,"FOUL  by ALLEN,ZACK",1
18:01,,2 (+1),,1,"GOOD FT by SPENCE,BEN",BSC-M 2-1 (-1),,"GOOD FT by SPENCE,BEN",1
18:01,,2,,2,"GOOD FT by SPENCE,BEN",BSC-M 2-2 (0),,"GOOD FT by SPENCE,BEN",1
17:45,"GOOD JUMPER by CRUMLY,WILL(in the paint)",4 (+2),,2,,CCM 4-2 (-2),,"GOOD JUMPER by CRUMLY,WILL(in the paint)",1
17:27,,,,,"MISS 3PTR by O'SULLIVAN,CONOR",,,"MISS 3PTR by O'SULLIVAN,CONOR",1
--,"REBOUND DEF by BARNETTE,CHRIS",,,,,,,"REBOUND DEF by BARNETTE,CHRIS",1
17:18,"GOOD 3PTR by ALLEN,ZACK",7 (+5),,2,,CCM 7-2 (-5),,"GOOD 3PTR by ALLEN,ZACK",1
--,"ASSIST  by BARNETTE,CHRIS",,,,,,,"ASSIST  by BARNETTE,CHRIS",1
16:57,,,,,"FOUL  by STEWART,CHRISTIAN",,,"FOUL  by STEWART,CHRISTIAN",1
16:57,,,,,"TURNOVER  by STEWART,CHRISTIAN",,,"TURNOVER  by STEWART,CHRISTIAN",1
