Time Remaining,LETU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:47,"GOOD 3PTR by WEST,NATE",3 (+3),,0,,LETU 3-0 (-3),,"GOOD 3PTR by WEST,NATE",1
19:29,,3,,3,"GOOD 3PTR by SPENCE,BEN",BSC 3-3 (0),,"GOOD 3PTR by SPENCE,BEN",1
--,,,,,"ASSIST  by O'SULLIVAN,CONOR",,,"ASSIST  by O'SULLIVAN,CONOR",1
19:11,"GOOD LAYUP by ARGUE,JOHN(in the paint)",5 (+2),,3,,LETU 5-3 (-2),,"GOOD LAYUP by ARGUE,JOHN(in the paint)",1
--,"ASSIST  by WEST,NATE",,,,,,,"ASSIST  by WEST,NATE",1
18:55,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,"REBOUND OFF by SPENCE,BEN",,,"REBOUND OFF by SPENCE,BEN",1
18:47,,,,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,"REBOUND DEF by ARGUE,JOHN",,,,,,,"REBOUND DEF by ARGUE,JOHN",1
18:36,"TURNOVER  by RICHARDSON,WARREN",,,,,,,"TURNOVER  by RICHARDSON,WARREN",1
18:22,,,,,"TURNOVER  by SPENCE,BEN",,,"TURNOVER  by SPENCE,BEN",1
18:03,"GOOD 3PTR by WEST,NATE",8 (+5),,3,,LETU 8-3 (-5),,"GOOD 3PTR by WEST,NATE",1
17:54,"FOUL  by RICHARDSON,WARREN",,,,,,,"FOUL  by RICHARDSON,WARREN",1
17:52,,,,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",1
17:52,"BLOCK  by FOSNIGHT,BRICK",,,,,,,"BLOCK  by FOSNIGHT,BRICK",1
--,"REBOUND DEF by WEST,NATE",,,,,,,"REBOUND DEF by WEST,NATE",1
17:45,"GOOD LAYUP by RICHARDSON,WARREN(fastbreak)(in the paint)",10 (+7),,3,,LETU 10-3 (-7),,"GOOD LAYUP by RICHARDSON,WARREN(fastbreak)(in the paint)",1
--,"ASSIST  by WEST,NATE",,,,,,,"ASSIST  by WEST,NATE",1
17:30,,,,,"TURNOVER  by FITZGERALD,PAUL",,,"TURNOVER  by FITZGERALD,PAUL",1
17:24,"GOOD JUMPER by EBERHARDT,ANDREW(in the paint)",12 (+9),,3,,LETU 12-3 (-9),,"GOOD JUMPER by EBERHARDT,ANDREW(in the paint)",1
17:17,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
16:59,,,,,"TURNOVER  by SPENCE,BEN",,,"TURNOVER  by SPENCE,BEN",1
16:50,"MISS JUMPER by ARGUE,JOHN(in the paint)",,,,,,,"MISS JUMPER by ARGUE,JOHN(in the paint)",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
16:49,"FOUL  by ARGUE,JOHN",,,,,,,"FOUL  by ARGUE,JOHN",1
16:36,,12 (+7),,5,"GOOD JUMPER by O'SULLIVAN,CONOR(in the paint)",BSC 12-5 (-7),,"GOOD JUMPER by O'SULLIVAN,CONOR(in the paint)",1
16:21,"MISS 3PTR by RICHARDSON,WARREN",,,,,,,"MISS 3PTR by RICHARDSON,WARREN",1
--,"REBOUND OFF by FOSNIGHT,BRICK",,,,,,,"REBOUND OFF by FOSNIGHT,BRICK",1
16:19,,,,,"FOUL  by BAK,CALVIN",,,"FOUL  by BAK,CALVIN",1
16:08,"MISS JUMPER by WEST,NATE(in the paint)",,,,,,,"MISS JUMPER by WEST,NATE(in the paint)",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
