Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:40,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",1
19:40,,,,,"BLOCK  by BATES,JACOB",,,"BLOCK  by BATES,JACOB",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
19:14,,0,,3 (+3),"GOOD 3PTR by AYERS,PERRY",Centre 0-3 (-3),,"GOOD 3PTR by AYERS,PERRY",1
18:47,"MISS JUMPER by BAK,CALVIN(in the paint)",,,,,,,"MISS JUMPER by BAK,CALVIN(in the paint)",1
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",1
18:35,,0,,6 (+6),"GOOD 3PTR by AYERS,PERRY",Centre 0-6 (-6),,"GOOD 3PTR by AYERS,PERRY",1
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",1
18:06,"MISS JUMPER by GONDA,MATT(in the paint)",,,,,,,"MISS JUMPER by GONDA,MATT(in the paint)",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
17:43,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",1
--,"REBOUND DEF by GONDA,MATT",,,,,,,"REBOUND DEF by GONDA,MATT",1
17:25,"TURNOVER  by FITZGERALD,PAUL",,,,,,,"TURNOVER  by FITZGERALD,PAUL",1
17:25,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
17:25,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
16:59,,,,,"MISS JUMPER by BATES,JACOB(in the paint)",,,"MISS JUMPER by BATES,JACOB(in the paint)",1
--,"REBOUND DEF by MORRISON,JASON",,,,,,,"REBOUND DEF by MORRISON,JASON",1
16:33,"MISS 3PTR by MORRISON,JASON",,,,,,,"MISS 3PTR by MORRISON,JASON",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
16:31,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
16:31,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
16:30,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
16:22,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by BAK,CALVIN",,,,,,,"REBOUND DEF by BAK,CALVIN",1
16:10,"MISS LAYUP by GONDA,MATT(in the paint)",,,,,,,"MISS LAYUP by GONDA,MATT(in the paint)",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
15:57,,,,,"TURNOVER  by RAKES,BAILEY",,,"TURNOVER  by RAKES,BAILEY",1
15:57,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
15:57,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
15:57,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
15:57,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
15:57,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
15:57,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
15:57,"SUB OUT by MORRISON,JASON",,,,,,,"SUB OUT by MORRISON,JASON",1
15:57,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
15:57,"SUB IN by O'SULLIVAN,CONOR",,,,,,,"SUB IN by O'SULLIVAN,CONOR",1
15:57,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
15:57,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",1
15:57,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
15:38,"GOOD 3PTR by O'SULLIVAN,CONOR",3,,6 (+3),,BSC 3-6 (-3),,"GOOD 3PTR by O'SULLIVAN,CONOR",1
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",1
15:17,,,,,"TURNOVER  by CRUMP,DAWSON",,,"TURNOVER  by CRUMP,DAWSON",1
15:04,"GOOD JUMPER by BAK,CALVIN(in the paint)",5,,6 (+1),,BSC 5-6 (-1),,"GOOD JUMPER by BAK,CALVIN(in the paint)",1
14:40,,5,,8 (+3),"GOOD JUMPER by WALKER,ART(in the paint)",Centre 5-8 (-3),,"GOOD JUMPER by WALKER,ART(in the paint)",1
14:21,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",7,,8 (+1),,BSC 7-8 (-1),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
14:00,,7,,10 (+3),"GOOD JUMPER by AYERS,PERRY",Centre 7-10 (-3),,"GOOD JUMPER by AYERS,PERRY",1
13:39,"MISS LAYUP by SPENCE,BEN(in the paint)",,,,,,,"MISS LAYUP by SPENCE,BEN(in the paint)",1
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",1
13:22,,7,,12 (+5),"GOOD LAYUP by SPITZER,JAKOB(in the paint)",Centre 7-12 (-5),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
13:22,"FOUL  by BAK,CALVIN",,,,,,,"FOUL  by BAK,CALVIN",1
13:22,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
13:22,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
13:22,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",1
13:22,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
13:22,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
13:22,"SUB IN by BRIGHT JR.,BRUCE",,,,,,,"SUB IN by BRIGHT JR.,BRUCE",1
13:22,,7,,13 (+6),"GOOD FT by SPITZER,JAKOB",Centre 7-13 (-6),,"GOOD FT by SPITZER,JAKOB",1
13:22,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
