Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:38,,0,,2 (+2),"GOOD LAYUP by SPENCE,BEN(in the paint)",BSC 0-2 (+2),,"GOOD LAYUP by SPENCE,BEN(in the paint)",1
19:36,"FOUL  by REED,AUSTIN",,,,,,,"FOUL  by REED,AUSTIN",1
19:36,,,,,"MISS FT by SPENCE,BEN",,,"MISS FT by SPENCE,BEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:23,"MISS 3PTR by REED,AUSTIN",,,,,,,"MISS 3PTR by REED,AUSTIN",1
--,,,,,"REBOUND DEF by FITZGERALD,PAUL",,,"REBOUND DEF by FITZGERALD,PAUL",1
19:06,,0,,4 (+4),"GOOD LAYUP by FITZGERALD,PAUL(in the paint)",BSC 0-4 (+4),,"GOOD LAYUP by FITZGERALD,PAUL(in the paint)",1
18:40,"GOOD LAYUP by DUNCAN,JAVON(in the paint)",2,,4 (+2),,BU 2-4 (+2),,"GOOD LAYUP by DUNCAN,JAVON(in the paint)",1
18:40,,,,,"FOUL  by STEWART,CHRISTIAN",,,"FOUL  by STEWART,CHRISTIAN",1
18:40,"MISS FT by DUNCAN,JAVON",,,,,,,"MISS FT by DUNCAN,JAVON",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
18:28,,2,,6 (+4),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC 2-6 (+4),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
18:21,"GOOD LAYUP by CHAMP,RANCE(fastbreak)(in the paint)",4,,6 (+2),,BU 4-6 (+2),,"GOOD LAYUP by CHAMP,RANCE(fastbreak)(in the paint)",1
18:01,,,,,"MISS 3PTR by SIGLER,EVAN",,,"MISS 3PTR by SIGLER,EVAN",1
--,"REBOUND DEF by COUCH,LUKE",,,,,,,"REBOUND DEF by COUCH,LUKE",1
18:01,,,,,"FOUL  by STEWART,CHRISTIAN",,,"FOUL  by STEWART,CHRISTIAN",1
18:01,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
18:01,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
18:01,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
18:01,,,,,"SUB IN by GARRIDO,BRANDAN",,,"SUB IN by GARRIDO,BRANDAN",1
17:53,"MISS 3PTR by REED,AUSTIN",,,,,,,"MISS 3PTR by REED,AUSTIN",1
--,"REBOUND OFF by DUNCAN,JAVON",,,,,,,"REBOUND OFF by DUNCAN,JAVON",1
17:43,"MISS 3PTR by MCMILLAN,MATTHEW",,,,,,,"MISS 3PTR by MCMILLAN,MATTHEW",1
--,,,,,"REBOUND DEF by SIGLER,EVAN",,,"REBOUND DEF by SIGLER,EVAN",1
17:38,"FOUL  by DUNCAN,JAVON",,,,,,,"FOUL  by DUNCAN,JAVON",1
17:38,,,,,"SUB OUT by FITZGERALD,PAUL",,,"SUB OUT by FITZGERALD,PAUL",1
17:38,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
17:22,,,,,"TURNOVER  by GONDA,MATT",,,"TURNOVER  by GONDA,MATT",1
17:22,"STEAL  by COUCH,LUKE",,,,,,,"STEAL  by COUCH,LUKE",1
17:14,"GOOD LAYUP by MCMILLAN,MATTHEW(fastbreak)(in the paint)",6,,6,,BU 6-6 (0),,"GOOD LAYUP by MCMILLAN,MATTHEW(fastbreak)(in the paint)",1
17:06,,,,,"MISS 3PTR by SIGLER,EVAN",,,"MISS 3PTR by SIGLER,EVAN",1
--,,,,,"REBOUND OFF by GARRIDO,BRANDAN",,,"REBOUND OFF by GARRIDO,BRANDAN",1
17:01,,,,,"MISS 3PTR by SIGLER,EVAN",,,"MISS 3PTR by SIGLER,EVAN",1
--,"REBOUND DEF by REED,AUSTIN",,,,,,,"REBOUND DEF by REED,AUSTIN",1
17:00,,,,,"FOUL  by CHILDERS,JOSH",,,"FOUL  by CHILDERS,JOSH",1
17:00,"SUB OUT by REED,AUSTIN",,,,,,,"SUB OUT by REED,AUSTIN",1
17:00,"SUB IN by PHILLIPS,BRANDON",,,,,,,"SUB IN by PHILLIPS,BRANDON",1
16:52,"GOOD LAYUP by CHAMP,RANCE(in the paint)",8 (+2),,6,,BU 8-6 (-2),,"GOOD LAYUP by CHAMP,RANCE(in the paint)",1
16:46,,,,,"TURNOVER  by GARRIDO,BRANDAN",,,"TURNOVER  by GARRIDO,BRANDAN",1
16:46,"STEAL  by COUCH,LUKE",,,,,,,"STEAL  by COUCH,LUKE",1
16:39,"GOOD LAYUP by COUCH,LUKE(fastbreak)(in the paint)",10 (+4),,6,,BU 10-6 (-4),,"GOOD LAYUP by COUCH,LUKE(fastbreak)(in the paint)",1
16:15,,10 (+2),,8,"GOOD LAYUP by O'SULLIVAN,CONOR(in the paint)",BSC 10-8 (-2),,"GOOD LAYUP by O'SULLIVAN,CONOR(in the paint)",1
16:08,"TURNOVER  by PHILLIPS,BRANDON",,,,,,,"TURNOVER  by PHILLIPS,BRANDON",1
16:08,,,,,"STEAL  by GARRIDO,BRANDAN",,,"STEAL  by GARRIDO,BRANDAN",1
16:00,,,,,"TURNOVER  by SIGLER,EVAN",,,"TURNOVER  by SIGLER,EVAN",1
15:50,,,,,"SUB OUT by GARRIDO,BRANDAN",,,"SUB OUT by GARRIDO,BRANDAN",1
15:50,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",1
15:50,,,,,"SUB OUT by SIGLER,EVAN",,,"SUB OUT by SIGLER,EVAN",1
15:50,,,,,"SUB IN by GLOVER,CAMERON",,,"SUB IN by GLOVER,CAMERON",1
15:50,,,,,"SUB IN by STEPHENS,TROY",,,"SUB IN by STEPHENS,TROY",1
15:50,,,,,"SUB IN by BRIGHT JR.,BRUCE",,,"SUB IN by BRIGHT JR.,BRUCE",1
15:38,"GOOD LAYUP by COUCH,LUKE(in the paint)",12 (+4),,8,,BU 12-8 (-4),,"GOOD LAYUP by COUCH,LUKE(in the paint)",1
--,"ASSIST  by PHILLIPS,BRANDON",,,,,,,"ASSIST  by PHILLIPS,BRANDON",1
15:19,,12 (+2),,10,"GOOD LAYUP by GLOVER,CAMERON(in the paint)",BSC 12-10 (-2),,"GOOD LAYUP by GLOVER,CAMERON(in the paint)",1
15:13,"MISS 3PTR by COUCH,LUKE",,,,,,,"MISS 3PTR by COUCH,LUKE",1
--,"REBOUND OFF by PHILLIPS,BRANDON",,,,,,,"REBOUND OFF by PHILLIPS,BRANDON",1
15:08,"MISS 3PTR by DUNCAN,JAVON",,,,,,,"MISS 3PTR by DUNCAN,JAVON",1
--,,,,,"REBOUND DEF by BRIGHT JR.,BRUCE",,,"REBOUND DEF by BRIGHT JR.,BRUCE",1
15:02,,,,,"TURNOVER  by BRIGHT JR.,BRUCE",,,"TURNOVER  by BRIGHT JR.,BRUCE",1
14:54,"FOUL  by PHILLIPS,BRANDON",,,,,,,"FOUL  by PHILLIPS,BRANDON",1
14:54,"TURNOVER  by PHILLIPS,BRANDON",,,,,,,"TURNOVER  by PHILLIPS,BRANDON",1
14:44,,,,,"TURNOVER  by GLOVER,CAMERON",,,"TURNOVER  by GLOVER,CAMERON",1
14:44,"STEAL  by SHIELDS,RIAN",,,,,,,"STEAL  by SHIELDS,RIAN",1
14:38,"SUB OUT by PHILLIPS,BRANDON",,,,,,,"SUB OUT by PHILLIPS,BRANDON",1
14:38,"SUB IN by SHIELDS,RIAN",,,,,,,"SUB IN by SHIELDS,RIAN",1
14:35,"TURNOVER  by MCMILLAN,MATTHEW",,,,,,,"TURNOVER  by MCMILLAN,MATTHEW",1
14:35,,,,,"STEAL  by STEPHENS,TROY",,,"STEAL  by STEPHENS,TROY",1
14:29,"FOUL  by COUCH,LUKE",,,,,,,"FOUL  by COUCH,LUKE",1
14:29,,12 (+1),,11,"GOOD FT by STEPHENS,TROY(fastbreak)",BSC 12-11 (-1),,"GOOD FT by STEPHENS,TROY(fastbreak)",1
14:29,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",1
14:29,,,,,"SUB IN by KANE,DENMAN",,,"SUB IN by KANE,DENMAN",1
14:29,,12,,12,"GOOD FT by STEPHENS,TROY(fastbreak)",BSC 12-12 (0),,"GOOD FT by STEPHENS,TROY(fastbreak)",1
14:17,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
14:13,,12,,14 (+2),"GOOD LAYUP by STEPHENS,TROY(fastbreak)(in the paint)",BSC 12-14 (+2),,"GOOD LAYUP by STEPHENS,TROY(fastbreak)(in the paint)",1
13:54,"MISS 3PTR by CHAMP,RANCE",,,,,,,"MISS 3PTR by CHAMP,RANCE",1
--,,,,,"REBOUND DEF by STEPHENS,TROY",,,"REBOUND DEF by STEPHENS,TROY",1
13:41,"SUB OUT by DUNCAN,JAVON",,,,,,,"SUB OUT by DUNCAN,JAVON",1
13:41,"SUB IN by PHILLIPS,BRANDON",,,,,,,"SUB IN by PHILLIPS,BRANDON",1
13:26,,12,,16 (+4),"GOOD JUMPER by GLOVER,CAMERON(in the paint)",BSC 12-16 (+4),,"GOOD JUMPER by GLOVER,CAMERON(in the paint)",1
13:12,"GOOD 3PTR by MCMILLAN,MATTHEW",15,,16 (+1),,BU 15-16 (+1),,"GOOD 3PTR by MCMILLAN,MATTHEW",1
12:55,,15,,18 (+3),"GOOD JUMPER by CHILDERS,JOSH(in the paint)",BSC 15-18 (+3),,"GOOD JUMPER by CHILDERS,JOSH(in the paint)",1
12:39,"TURNOVER  by MCMILLAN,MATTHEW",,,,,,,"TURNOVER  by MCMILLAN,MATTHEW",1
12:39,,,,,"STEAL  by CHILDERS,JOSH",,,"STEAL  by CHILDERS,JOSH",1
