Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Hunt,Game Score,Team Indicator,Play,Period
19:57,,,,,"MISS DUNK by ZACHERY,CEAUNTE",,,"MISS DUNK by ZACHERY,CEAUNTE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
19:40,,,,,"MISS LAYUP by TONEY,CALEB",,,"MISS LAYUP by TONEY,CALEB",1
--,"REBOUND DEF by SIGLER,EVAN",,,,,,,"REBOUND DEF by SIGLER,EVAN",1
19:19,"MISS 3PTR by O'SULLIVAN,CONOR",,,,,,,"MISS 3PTR by O'SULLIVAN,CONOR",1
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",1
19:11,"MISS LAYUP by STEWART,CHRISTIAN",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
19:05,"FOUL  by FITZGERALD,PAUL",,,,,,,"FOUL  by FITZGERALD,PAUL",1
18:39,,,,,"MISS 3PTR by TONEY,CALEB",,,"MISS 3PTR by TONEY,CALEB",1
--,,,,,"REBOUND OFF by PAGE,SAM",,,"REBOUND OFF by PAGE,SAM",1
18:33,,0,,3 (+3),"GOOD 3PTR by PAGE,SAM",Hunt 0-3 (-3),,"GOOD 3PTR by PAGE,SAM",1
18:04,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",1
--,,,,,"REBOUND DEF by TONEY,CALEB",,,"REBOUND DEF by TONEY,CALEB",1
18:03,,,,,"FOUL  by BOHLING,DYLAN",,,"FOUL  by BOHLING,DYLAN",1
18:03,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",1
18:03,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
18:03,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
18:03,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
17:43,"FOUL  by O'SULLIVAN,CONOR",,,,,,,"FOUL  by O'SULLIVAN,CONOR",1
17:26,,0,,5 (+5),"GOOD JUMPER by MADISON,DAMIEN",Hunt 0-5 (-5),,"GOOD JUMPER by MADISON,DAMIEN",1
17:23,"GOOD JUMPER by GONDA,MATT",2,,5 (+3),,BSC 2-5 (-3),,"GOOD JUMPER by GONDA,MATT",1
17:14,,2,,7 (+5),"GOOD LAYUP by MADISON,DAMIEN",Hunt 2-7 (-5),,"GOOD LAYUP by MADISON,DAMIEN",1
16:57,,,,,"FOUL  by PAGE,SAM",,,"FOUL  by PAGE,SAM",1
16:57,"MISS FT by GARRIDO,BRANDAN",,,,,,,"MISS FT by GARRIDO,BRANDAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:57,"GOOD FT by GARRIDO,BRANDAN",3,,7 (+4),,BSC 3-7 (-4),,"GOOD FT by GARRIDO,BRANDAN",1
16:57,,,,,"SUB IN by MARTIN,GRAHAM",,,"SUB IN by MARTIN,GRAHAM",1
16:57,,,,,"SUB IN by TAYLOR,WILLIE",,,"SUB IN by TAYLOR,WILLIE",1
16:57,,,,,"SUB IN by HARRIS,JAMES",,,"SUB IN by HARRIS,JAMES",1
16:57,,,,,"SUB OUT by BOHLING,DYLAN",,,"SUB OUT by BOHLING,DYLAN",1
16:57,,,,,"SUB OUT by TONEY,CALEB",,,"SUB OUT by TONEY,CALEB",1
16:57,,,,,"SUB OUT by PAGE,SAM",,,"SUB OUT by PAGE,SAM",1
16:49,,,,,"MISS JUMPER by MARTIN,GRAHAM",,,"MISS JUMPER by MARTIN,GRAHAM",1
--,"REBOUND DEF by SIGLER,EVAN",,,,,,,"REBOUND DEF by SIGLER,EVAN",1
16:39,"MISS JUMPER by O'SULLIVAN,CONOR",,,,,,,"MISS JUMPER by O'SULLIVAN,CONOR",1
--,"REBOUND OFF by GONDA,MATT",,,,,,,"REBOUND OFF by GONDA,MATT",1
16:37,,,,,"FOUL  by HARRIS,JAMES",,,"FOUL  by HARRIS,JAMES",1
16:14,,,,,"FOUL  by MARTIN,GRAHAM",,,"FOUL  by MARTIN,GRAHAM",1
16:11,"MISS JUMPER by SIGLER,EVAN",,,,,,,"MISS JUMPER by SIGLER,EVAN",1
--,"REBOUND OFF by O'SULLIVAN,CONOR",,,,,,,"REBOUND OFF by O'SULLIVAN,CONOR",1
16:01,"GOOD 3PTR by SIGLER,EVAN",6,,7 (+1),,BSC 6-7 (-1),,"GOOD 3PTR by SIGLER,EVAN",1
15:38,"FOUL  by GARRIDO,BRANDAN",,,,,,,"FOUL  by GARRIDO,BRANDAN",1
15:38,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
15:38,,,,,"SUB IN by LITTLE,JAMES",,,"SUB IN by LITTLE,JAMES",1
15:38,,,,,"SUB OUT by ZACHERY,CEAUNTE",,,"SUB OUT by ZACHERY,CEAUNTE",1
15:28,,6,,9 (+3),"GOOD LAYUP by MADISON,DAMIEN",Hunt 6-9 (-3),,"GOOD LAYUP by MADISON,DAMIEN",1
15:24,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
15:24,"SUB IN by BRIGHT JR.,BRUCE",,,,,,,"SUB IN by BRIGHT JR.,BRUCE",1
15:24,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",1
15:24,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",1
15:24,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
15:24,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
15:24,"SUB OUT by O'SULLIVAN,CONOR",,,,,,,"SUB OUT by O'SULLIVAN,CONOR",1
15:24,"SUB OUT by GARRIDO,BRANDAN",,,,,,,"SUB OUT by GARRIDO,BRANDAN",1
15:14,"MISS LAYUP by GLOVER,CAMERON",,,,,,,"MISS LAYUP by GLOVER,CAMERON",1
--,,,,,"REBOUND DEF by HARRIS,JAMES",,,"REBOUND DEF by HARRIS,JAMES",1
15:00,,,,,"MISS JUMPER by MADISON,DAMIEN",,,"MISS JUMPER by MADISON,DAMIEN",1
15:00,"BLOCK  by CHILDERS,JOSH",,,,,,,"BLOCK  by CHILDERS,JOSH",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
14:40,"MISS 3PTR by GONDA,MATT",,,,,,,"MISS 3PTR by GONDA,MATT",1
--,"REBOUND OFF by CHILDERS,JOSH",,,,,,,"REBOUND OFF by CHILDERS,JOSH",1
14:35,"GOOD 3PTR by GLOVER,CAMERON",9,,9,,BSC 9-9 (0),,"GOOD 3PTR by GLOVER,CAMERON",1
--,"ASSIST  by CHILDERS,JOSH",,,,,,,"ASSIST  by CHILDERS,JOSH",1
14:21,,,,,"MISS JUMPER by TAYLOR,WILLIE",,,"MISS JUMPER by TAYLOR,WILLIE",1
