Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,EU,Game Score,Team Indicator,Play,Period
19:48,,,,,"TURNOVER  by STUCK,NICK",,,"TURNOVER  by STUCK,NICK",1
19:48,"STEAL  by STEWART,CHRISTIAN",,,,,,,"STEAL  by STEWART,CHRISTIAN",1
19:30,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",2 (+2),,0,,BSC 2-0 (+2),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
19:07,,,,,"MISS JUMPER by SCHNER,MATTHEW",,,"MISS JUMPER by SCHNER,MATTHEW",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
19:00,"TURNOVER  by FITZGERALD,PAUL",,,,,,,"TURNOVER  by FITZGERALD,PAUL",1
18:47,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",1
18:47,,,,,"MISS FT by SCHNER,MATTHEW",,,"MISS FT by SCHNER,MATTHEW",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:47,,2 (+1),,1,"GOOD FT by SCHNER,MATTHEW",EU 2-1 (+1),,"GOOD FT by SCHNER,MATTHEW",1
18:27,"MISS 3PTR by GARRIDO,BRANDAN",,,,,,,"MISS 3PTR by GARRIDO,BRANDAN",1
--,"REBOUND OFF by FITZGERALD,PAUL",,,,,,,"REBOUND OFF by FITZGERALD,PAUL",1
18:13,"MISS JUMPER by GILLISPIE,JAY(in the paint)",,,,,,,"MISS JUMPER by GILLISPIE,JAY(in the paint)",1
--,,,,,"REBOUND DEF by SCHNER,MATTHEW",,,"REBOUND DEF by SCHNER,MATTHEW",1
18:05,,,,,"MISS JUMPER by STUCK,NICK(in the paint)",,,"MISS JUMPER by STUCK,NICK(in the paint)",1
18:05,"BLOCK  by STEWART,CHRISTIAN",,,,,,,"BLOCK  by STEWART,CHRISTIAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
18:02,,,,,"MISS 3PTR by SCHNER,MATTHEW",,,"MISS 3PTR by SCHNER,MATTHEW",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
17:52,"MISS JUMPER by STEWART,CHRISTIAN(in the paint)",,,,,,,"MISS JUMPER by STEWART,CHRISTIAN(in the paint)",1
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",1
17:51,,,,,"FOUL  by SCHNER,MATTHEW",,,"FOUL  by SCHNER,MATTHEW",1
17:51,"GOOD FT by STEWART,CHRISTIAN",3 (+2),,1,,BSC 3-1 (+2),,"GOOD FT by STEWART,CHRISTIAN",1
17:51,"GOOD FT by STEWART,CHRISTIAN",4 (+3),,1,,BSC 4-1 (+3),,"GOOD FT by STEWART,CHRISTIAN",1
17:43,,,,,"TURNOVER  by MARTENS,CALE",,,"TURNOVER  by MARTENS,CALE",1
17:29,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",6 (+5),,1,,BSC 6-1 (+5),,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",1
17:14,,,,,"MISS 3PTR by MARTENS,CALE",,,"MISS 3PTR by MARTENS,CALE",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
16:59,"MISS JUMPER by GLOVER,CAMERON",,,,,,,"MISS JUMPER by GLOVER,CAMERON",1
--,,,,,"REBOUND DEF by SCHNER,MATTHEW",,,"REBOUND DEF by SCHNER,MATTHEW",1
16:44,,6 (+3),,3,"GOOD JUMPER by MARTENS,CALE(in the paint)",EU 6-3 (+3),,"GOOD JUMPER by MARTENS,CALE(in the paint)",1
16:16,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",8 (+5),,3,,BSC 8-3 (+5),,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",1
16:05,,,,,"MISS JUMPER by STUCK,NICK(in the paint)",,,"MISS JUMPER by STUCK,NICK(in the paint)",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
15:57,"TURNOVER  by GILLISPIE,JAY",,,,,,,"TURNOVER  by GILLISPIE,JAY",1
