Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,HC-MBK,Game Score,Team Indicator,Play,Period
19:39,"TURNOVER  by GILLISPIE,JAY",,,,,,,"TURNOVER  by GILLISPIE,JAY",1
19:39,,,,,"STEAL  by DEITHLOFF,TYLER",,,"STEAL  by DEITHLOFF,TYLER",1
19:05,,,,,"MISS JUMPER by SQUIRES,CALEB",,,"MISS JUMPER by SQUIRES,CALEB",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
18:49,"MISS 3PTR by GREEN,KALEB",,,,,,,"MISS 3PTR by GREEN,KALEB",1
--,,,,,"REBOUND DEF by BERRY,COLTEN",,,"REBOUND DEF by BERRY,COLTEN",1
18:29,,0,,2 (+2),"GOOD DUNK by BERRY,COLTEN(in the paint)",HC-MBK 0-2 (-2),,"GOOD DUNK by BERRY,COLTEN(in the paint)",1
--,,,,,"ASSIST  by DEITHLOFF,TYLER",,,"ASSIST  by DEITHLOFF,TYLER",1
18:22,"TURNOVER  by CHILDERS,JOSH",,,,,,,"TURNOVER  by CHILDERS,JOSH",1
18:12,,,,,"TURNOVER  by DEITHLOFF,TYLER",,,"TURNOVER  by DEITHLOFF,TYLER",1
17:59,"MISS 3PTR by JACKSON,MARTISE",,,,,,,"MISS 3PTR by JACKSON,MARTISE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
17:28,,,,,"MISS 3PTR by WEAVER,BRADEN",,,"MISS 3PTR by WEAVER,BRADEN",1
--,"REBOUND DEF by JACKSON,MARTISE",,,,,,,"REBOUND DEF by JACKSON,MARTISE",1
17:17,"MISS JUMPER by JACKSON,MARTISE",,,,,,,"MISS JUMPER by JACKSON,MARTISE",1
--,"REBOUND OFF by JACKSON,MARTISE",,,,,,,"REBOUND OFF by JACKSON,MARTISE",1
17:15,"GOOD TIPIN by JACKSON,MARTISE(in the paint)",2,,2,,BSCM 2-2 (0),,"GOOD TIPIN by JACKSON,MARTISE(in the paint)",1
17:00,,,,,"TURNOVER  by COBB,DANIEL",,,"TURNOVER  by COBB,DANIEL",1
16:58,"STEAL  by JACKSON,MARTISE",,,,,,,"STEAL  by JACKSON,MARTISE",1
16:49,"MISS 3PTR by BISHOP,BRYSON",,,,,,,"MISS 3PTR by BISHOP,BRYSON",1
--,,,,,"REBOUND DEF by BERRY,COLTEN",,,"REBOUND DEF by BERRY,COLTEN",1
16:33,"FOUL  by BISHOP,BRYSON",,,,,,,"FOUL  by BISHOP,BRYSON",1
16:33,,2,,3 (+1),"GOOD FT by SQUIRES,CALEB",HC-MBK 2-3 (-1),,"GOOD FT by SQUIRES,CALEB",1
