Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Berry,Game Score,Team Indicator,Play,Period
19:35,"TURNOVER  by GREEN,KALEB",,,,,,,"TURNOVER  by GREEN,KALEB",1
19:22,,0,,2 (+2),"GOOD LAYUP by CLARK,BRYCE(in the paint)",Berry 0-2 (-2),,"GOOD LAYUP by CLARK,BRYCE(in the paint)",1
--,,,,,"ASSIST  by BENHAM,BRAXTON",,,"ASSIST  by BENHAM,BRAXTON",1
19:22,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",1
19:22,,0,,3 (+3),"GOOD FT by CLARK,BRYCE",Berry 0-3 (-3),,"GOOD FT by CLARK,BRYCE",1
19:07,"TURNOVER  by CHILDERS,JOSH",,,,,,,"TURNOVER  by CHILDERS,JOSH",1
19:07,,,,,"STEAL  by HONROTH,OWEN",,,"STEAL  by HONROTH,OWEN",1
18:54,"FOUL  by JACKSON,MARTISE",,,,,,,"FOUL  by JACKSON,MARTISE",1
18:42,,0,,5 (+5),"GOOD JUMPER by HONROTH,OWEN",Berry 0-5 (-5),,"GOOD JUMPER by HONROTH,OWEN",1
--,,,,,"ASSIST  by CLARK,BRYCE",,,"ASSIST  by CLARK,BRYCE",1
18:25,"GOOD JUMPER by BISHOP,BRYSON(in the paint)",2,,5 (+3),,BSC 2-5 (-3),,"GOOD JUMPER by BISHOP,BRYSON(in the paint)",1
18:05,,,,,"MISS 3PTR by ELLIS,CHASE",,,"MISS 3PTR by ELLIS,CHASE",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
17:58,"GOOD 3PTR by GREEN,KALEB(fastbreak)",5,,5,,BSC 5-5 (0),,"GOOD 3PTR by GREEN,KALEB(fastbreak)",1
--,"ASSIST  by GILLISPIE,JAY",,,,,,,"ASSIST  by GILLISPIE,JAY",1
17:36,,5,,8 (+3),"GOOD 3PTR by HONROTH,OWEN",Berry 5-8 (-3),,"GOOD 3PTR by HONROTH,OWEN",1
--,,,,,"ASSIST  by BENHAM,BRAXTON",,,"ASSIST  by BENHAM,BRAXTON",1
17:20,"MISS 3PTR by BISHOP,BRYSON",,,,,,,"MISS 3PTR by BISHOP,BRYSON",1
--,,,,,"REBOUND DEF by BENHAM,BRAXTON",,,"REBOUND DEF by BENHAM,BRAXTON",1
17:12,,,,,"MISS 3PTR by HONROTH,OWEN",,,"MISS 3PTR by HONROTH,OWEN",1
--,,,,,"REBOUND OFF by CLARK,BRYCE",,,"REBOUND OFF by CLARK,BRYCE",1
17:01,,,,,"TURNOVER  by BENHAM,BRAXTON",,,"TURNOVER  by BENHAM,BRAXTON",1
17:01,"STEAL  by JACKSON,MARTISE",,,,,,,"STEAL  by JACKSON,MARTISE",1
16:49,,,,,"FOUL  by ELLIS,CHASE",,,"FOUL  by ELLIS,CHASE",1
16:49,,,,,"SUB OUT by CLARK,BRYCE",,,"SUB OUT by CLARK,BRYCE",1
