,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,19:50,"GOOD LAYUP by KUCHAREWICZ,SIMON(in the paint)",2 ,,0,,JCUM 2-0 (-2),,"GOOD LAYUP by KUCHAREWICZ,SIMON(in the paint)",1,layup,good,john carroll,"kucharewicz,simon",2,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",1190
1,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,--,"ASSIST  by LINANE,DAVID",2 ,,0,,,,"ASSIST  by LINANE,DAVID",1,assist,,john carroll,"linane,david",,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",
2,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,19:27,,2 ,,0,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",1,three pointer,missed,birmingham-southern,"deneka,harrison",,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",1167
3,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,--,"REBOUND DEF by STOKES,ALLEN",2 ,,0,,,,"REBOUND DEF by STOKES,ALLEN",1,defensive rebound,,john carroll,"stokes,allen",,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",
4,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,19:14,"MISS JUMPER by STOKES,ALLEN",2 ,,0,,,,"MISS JUMPER by STOKES,ALLEN",1,jumper,missed,john carroll,"stokes,allen",,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",1154
5,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,--,,2 ,,0,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",1,defensive rebound,,birmingham-southern,"thom,ian",,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",
6,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,19:06,,2,,3 ,"GOOD 3PTR by WELCH,ROSS",BSC 2-3 (+1),,"GOOD 3PTR by WELCH,ROSS",1,three pointer,good,birmingham-southern,"welch,ross",3,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",1146
7,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,--,,2,,3 ,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",1,assist,,birmingham-southern,"thom,ian",,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",
8,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,18:59,"GOOD LAYUP by STARKS,WILL(fastbreak)(in the paint)",4 ,,3,,JCUM 4-3 (-1),,"GOOD LAYUP by STARKS,WILL(fastbreak)(in the paint)",1,layup,good,john carroll,"starks,will(fastbreak)",2,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",1139
9,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,--,"ASSIST  by LINANE,DAVID",4 ,,3,,,,"ASSIST  by LINANE,DAVID",1,assist,,john carroll,"linane,david",,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",
10,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,18:45,,4 ,,3,"TURNOVER  by THOM,IAN",,,"TURNOVER  by THOM,IAN",1,turnover,,birmingham-southern,"thom,ian",,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",1125
11,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,18:44,"STEAL  by STARKS,WILL",4 ,,3,,,,"STEAL  by STARKS,WILL",1,steal,,john carroll,,,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",1124
12,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,18:38,"MISS 3PTR by LINANE,DAVID",4 ,,3,,,,"MISS 3PTR by LINANE,DAVID",1,three pointer,missed,john carroll,"linane,david",,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",1118
13,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,--,,4 ,,3,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",1,defensive rebound,,birmingham-southern,"thom,ian",,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",
14,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,18:29,"FOUL  by LINANE,DAVID",4 ,,3,,,,"FOUL  by LINANE,DAVID",1,foul,,john carroll,"linane,david",,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",1109
15,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,18:29,,4,,4,"GOOD FT by THOM,IAN",BSC 4-4 (0),,"GOOD FT by THOM,IAN",1,free throw,good,birmingham-southern,"thom,ian",1,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",1109
16,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,18:29,,4,,5 ,"GOOD FT by THOM,IAN",BSC 4-5 (+1),,"GOOD FT by THOM,IAN",1,free throw,good,birmingham-southern,"thom,ian",1,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",1109
17,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,18:23,"GOOD LAYUP by KUCHAREWICZ,SIMON(in the paint)",6 ,,5,,JCUM 6-5 (-1),,"GOOD LAYUP by KUCHAREWICZ,SIMON(in the paint)",1,layup,good,john carroll,"kucharewicz,simon",2,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",1103
18,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,--,"ASSIST  by LINANE,DAVID",6 ,,5,,,,"ASSIST  by LINANE,DAVID",1,assist,,john carroll,"linane,david",,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",
19,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,18:00,,6,,8 ,"GOOD 3PTR by THOM,IAN",BSC 6-8 (+2),,"GOOD 3PTR by THOM,IAN",1,three pointer,good,birmingham-southern,"thom,ian",3,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",1080
20,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,--,,6,,8 ,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",1,assist,,birmingham-southern,"thom,ian",,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",
21,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,17:51,,6,,8 ,"FOUL  by WELCH,ROSS",,,"FOUL  by WELCH,ROSS",1,foul,,birmingham-southern,"welch,ross",,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",1071
22,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,17:51,"MISS FT by LINANE,DAVID",6,,8 ,,,,"MISS FT by LINANE,DAVID",1,free throw,missed,john carroll,"linane,david",,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",1071
23,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,--,REBOUND OFF by,6,,8 ,,,,REBOUND OFF by,1,offensive rebound,,john carroll,,,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",
24,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,17:51,"GOOD FT by LINANE,DAVID",7,,8 ,,JCUM 7-8 (+1),,"GOOD FT by LINANE,DAVID",1,free throw,good,john carroll,"linane,david",1,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",1071
25,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,17:45,,7,,8 ,"TURNOVER  by WELCH,ROSS",,,"TURNOVER  by WELCH,ROSS",1,turnover,,birmingham-southern,"welch,ross",,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",1065
26,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,17:44,"STEAL  by STOKES,ALLEN",7,,8 ,,,,"STEAL  by STOKES,ALLEN",1,steal,,john carroll,,,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",1064
27,0695,Birmingham-Southern,John Carroll,0,117-93,"46,47","66,51",0-3,3-0,N/A,N/A,11/20/15,5:30 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Lose,2,False,N/A,False,17:41,"TURNOVER  by STARKS,WILL",7,,8 ,,,,"TURNOVER  by STARKS,WILL",1,turnover,,john carroll,"starks,will",,"['starks,will', 'wallack,danny', 'kucharewicz,simon', 'linane,david', 'stokes,allen']","['welch,ross', 'thom,ian', 'avery,alex', 'lewis,evan', 'deneka,harrison']",1061
