,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,0702,Hampden-Sydney,Birmingham Southern,0,62-76,"43,33","23,39",7-2,4-6,N/A,N/A,12/29/15,1:00 PM,N/A,"Hampden-Sydney, VA - Fleet Gymnasium",Win,2,False,308,False,19:35,,,,,"TURNOVER  by DUNCAN,JAKE",,,"TURNOVER  by DUNCAN,JAKE",1,turnover,,hampden-sydney,"duncan,jake",,"['avery,alex', 'thom,ian', 'welch,ross', 'deneka,harrison', 'lewis,evan']","['evans,andrew', 'murray,mike', 'guimaraes,guilherme', 'katowitz,josh', 'duncan,jake']",1175
1,0702,Hampden-Sydney,Birmingham Southern,0,62-76,"43,33","23,39",7-2,4-6,N/A,N/A,12/29/15,1:00 PM,N/A,"Hampden-Sydney, VA - Fleet Gymnasium",Win,2,False,308,False,19:33,"STEAL  by WELCH,ROSS",,,,,,,"STEAL  by WELCH,ROSS",1,steal,,birmingham southern,,,"['avery,alex', 'thom,ian', 'welch,ross', 'deneka,harrison', 'lewis,evan']","['evans,andrew', 'murray,mike', 'guimaraes,guilherme', 'katowitz,josh', 'duncan,jake']",1173
2,0702,Hampden-Sydney,Birmingham Southern,0,62-76,"43,33","23,39",7-2,4-6,N/A,N/A,12/29/15,1:00 PM,N/A,"Hampden-Sydney, VA - Fleet Gymnasium",Win,2,False,308,False,19:19,"MISS JUMPER by AVERY,ALEX",,,,,,,"MISS JUMPER by AVERY,ALEX",1,jumper,missed,birmingham southern,"avery,alex",,"['avery,alex', 'thom,ian', 'welch,ross', 'deneka,harrison', 'lewis,evan']","['evans,andrew', 'murray,mike', 'guimaraes,guilherme', 'katowitz,josh', 'duncan,jake']",1159
3,0702,Hampden-Sydney,Birmingham Southern,0,62-76,"43,33","23,39",7-2,4-6,N/A,N/A,12/29/15,1:00 PM,N/A,"Hampden-Sydney, VA - Fleet Gymnasium",Win,2,False,308,False,--,,,,,"REBOUND DEF by DUNCAN,JAKE",,,"REBOUND DEF by DUNCAN,JAKE",1,defensive rebound,,hampden-sydney,"duncan,jake",,"['avery,alex', 'thom,ian', 'welch,ross', 'deneka,harrison', 'lewis,evan']","['evans,andrew', 'murray,mike', 'guimaraes,guilherme', 'katowitz,josh', 'duncan,jake']",
4,0702,Hampden-Sydney,Birmingham Southern,0,62-76,"43,33","23,39",7-2,4-6,N/A,N/A,12/29/15,1:00 PM,N/A,"Hampden-Sydney, VA - Fleet Gymnasium",Win,2,False,308,False,19:13,,0,,2 ,"GOOD JUMPER by EVANS,ANDREW(fastbreak)",HSC 0-2 (-2),,"GOOD JUMPER by EVANS,ANDREW(fastbreak)",1,jumper,good,hampden-sydney,"evans,andrew(fastbreak)",2,"['avery,alex', 'thom,ian', 'welch,ross', 'deneka,harrison', 'lewis,evan']","['evans,andrew', 'murray,mike', 'guimaraes,guilherme', 'katowitz,josh', 'duncan,jake']",1153
5,0702,Hampden-Sydney,Birmingham Southern,0,62-76,"43,33","23,39",7-2,4-6,N/A,N/A,12/29/15,1:00 PM,N/A,"Hampden-Sydney, VA - Fleet Gymnasium",Win,2,False,308,False,--,,0,,2 ,"ASSIST  by MURRAY,MIKE",,,"ASSIST  by MURRAY,MIKE",1,assist,,hampden-sydney,"murray,mike",,"['avery,alex', 'thom,ian', 'welch,ross', 'deneka,harrison', 'lewis,evan']","['evans,andrew', 'murray,mike', 'guimaraes,guilherme', 'katowitz,josh', 'duncan,jake']",
6,0702,Hampden-Sydney,Birmingham Southern,0,62-76,"43,33","23,39",7-2,4-6,N/A,N/A,12/29/15,1:00 PM,N/A,"Hampden-Sydney, VA - Fleet Gymnasium",Win,2,False,308,False,18:50,"TURNOVER  by THOM,IAN",0,,2 ,,,,"TURNOVER  by THOM,IAN",1,turnover,,birmingham southern,"thom,ian",,"['avery,alex', 'thom,ian', 'welch,ross', 'deneka,harrison', 'lewis,evan']","['evans,andrew', 'murray,mike', 'guimaraes,guilherme', 'katowitz,josh', 'duncan,jake']",1130
7,0702,Hampden-Sydney,Birmingham Southern,0,62-76,"43,33","23,39",7-2,4-6,N/A,N/A,12/29/15,1:00 PM,N/A,"Hampden-Sydney, VA - Fleet Gymnasium",Win,2,False,308,False,18:48,,0,,2 ,"STEAL  by KATOWITZ,JOSH",,,"STEAL  by KATOWITZ,JOSH",1,steal,,hampden-sydney,,,"['avery,alex', 'thom,ian', 'welch,ross', 'deneka,harrison', 'lewis,evan']","['evans,andrew', 'murray,mike', 'guimaraes,guilherme', 'katowitz,josh', 'duncan,jake']",1128
8,0702,Hampden-Sydney,Birmingham Southern,0,62-76,"43,33","23,39",7-2,4-6,N/A,N/A,12/29/15,1:00 PM,N/A,"Hampden-Sydney, VA - Fleet Gymnasium",Win,2,False,308,False,18:41,,0,,4 ,"GOOD LAYUP by MURRAY,MIKE(in the paint)",HSC 0-4 (-4),,"GOOD LAYUP by MURRAY,MIKE(in the paint)",1,layup,good,hampden-sydney,"murray,mike",2,"['avery,alex', 'thom,ian', 'welch,ross', 'deneka,harrison', 'lewis,evan']","['evans,andrew', 'murray,mike', 'guimaraes,guilherme', 'katowitz,josh', 'duncan,jake']",1121
9,0702,Hampden-Sydney,Birmingham Southern,0,62-76,"43,33","23,39",7-2,4-6,N/A,N/A,12/29/15,1:00 PM,N/A,"Hampden-Sydney, VA - Fleet Gymnasium",Win,2,False,308,False,18:10,,0,,4 ,"FOUL  by DUNCAN,JAKE",,,"FOUL  by DUNCAN,JAKE",1,foul,,hampden-sydney,"duncan,jake",,"['avery,alex', 'thom,ian', 'welch,ross', 'deneka,harrison', 'lewis,evan']","['evans,andrew', 'murray,mike', 'guimaraes,guilherme', 'katowitz,josh', 'duncan,jake']",1090
