,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,0762,BSC,Millsaps College,1,58-81,"43,38","24,34",4-8,3-9,1-0,0-1,01/02/18,3:00 PM,N/A,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,N/A,False,19:46,,0,,2 ,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",17BSC-M 0-2 (+2),,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",1,jumper,good,bsc,"deneka,harrison",2,"[""grant,she'chem"", 'kohnke,sam', 'spikes,kalvin', 'turner,james', 'sullivan,michael']","['bak,calvin', 'deneka,harrison', 'allison,zach', 'rudak,mateusz', 'yancey,rich']",1186
1,0762,BSC,Millsaps College,1,58-81,"43,38","24,34",4-8,3-9,1-0,0-1,01/02/18,3:00 PM,N/A,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,N/A,False,19:26,"GOOD 3PTR by GRANT,SHE'CHEM",3 ,,2,,MILMB 3-2 (-1),,"GOOD 3PTR by GRANT,SHE'CHEM",1,three pointer,good,millsaps college,"grant,she'chem",3,"[""grant,she'chem"", 'kohnke,sam', 'spikes,kalvin', 'turner,james', 'sullivan,michael']","['bak,calvin', 'deneka,harrison', 'allison,zach', 'rudak,mateusz', 'yancey,rich']",1166
2,0762,BSC,Millsaps College,1,58-81,"43,38","24,34",4-8,3-9,1-0,0-1,01/02/18,3:00 PM,N/A,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,N/A,False,--,"ASSIST  by SULLIVAN,MICHAEL",3 ,,2,,,,"ASSIST  by SULLIVAN,MICHAEL",1,assist,,millsaps college,"sullivan,michael",,"[""grant,she'chem"", 'kohnke,sam', 'spikes,kalvin', 'turner,james', 'sullivan,michael']","['bak,calvin', 'deneka,harrison', 'allison,zach', 'rudak,mateusz', 'yancey,rich']",
3,0762,BSC,Millsaps College,1,58-81,"43,38","24,34",4-8,3-9,1-0,0-1,01/02/18,3:00 PM,N/A,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,N/A,False,18:50,,3,,4 ,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",17BSC-M 3-4 (+1),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1,layup,good,bsc,"deneka,harrison",2,"[""grant,she'chem"", 'kohnke,sam', 'spikes,kalvin', 'turner,james', 'sullivan,michael']","['bak,calvin', 'deneka,harrison', 'allison,zach', 'rudak,mateusz', 'yancey,rich']",1130
4,0762,BSC,Millsaps College,1,58-81,"43,38","24,34",4-8,3-9,1-0,0-1,01/02/18,3:00 PM,N/A,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,N/A,False,--,,3,,4 ,"ASSIST  by BAK,CALVIN",,,"ASSIST  by BAK,CALVIN",1,assist,,bsc,"bak,calvin",,"[""grant,she'chem"", 'kohnke,sam', 'spikes,kalvin', 'turner,james', 'sullivan,michael']","['bak,calvin', 'deneka,harrison', 'allison,zach', 'rudak,mateusz', 'yancey,rich']",
5,0762,BSC,Millsaps College,1,58-81,"43,38","24,34",4-8,3-9,1-0,0-1,01/02/18,3:00 PM,N/A,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,N/A,False,18:26,"MISS LAYUP by TURNER,JAMES",3,,4 ,,,,"MISS LAYUP by TURNER,JAMES",1,layup,missed,millsaps college,"turner,james",,"[""grant,she'chem"", 'kohnke,sam', 'spikes,kalvin', 'turner,james', 'sullivan,michael']","['bak,calvin', 'deneka,harrison', 'allison,zach', 'rudak,mateusz', 'yancey,rich']",1106
6,0762,BSC,Millsaps College,1,58-81,"43,38","24,34",4-8,3-9,1-0,0-1,01/02/18,3:00 PM,N/A,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,N/A,False,--,"REBOUND OFF by SULLIVAN,MICHAEL",3,,4 ,,,,"REBOUND OFF by SULLIVAN,MICHAEL",1,offensive rebound,,millsaps college,"sullivan,michael",,"[""grant,she'chem"", 'kohnke,sam', 'spikes,kalvin', 'turner,james', 'sullivan,michael']","['bak,calvin', 'deneka,harrison', 'allison,zach', 'rudak,mateusz', 'yancey,rich']",
7,0762,BSC,Millsaps College,1,58-81,"43,38","24,34",4-8,3-9,1-0,0-1,01/02/18,3:00 PM,N/A,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,N/A,False,18:23,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",5 ,,4,,MILMB 5-4 (-1),,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",1,layup,good,millsaps college,"sullivan,michael",2,"[""grant,she'chem"", 'kohnke,sam', 'spikes,kalvin', 'turner,james', 'sullivan,michael']","['bak,calvin', 'deneka,harrison', 'allison,zach', 'rudak,mateusz', 'yancey,rich']",1103
8,0762,BSC,Millsaps College,1,58-81,"43,38","24,34",4-8,3-9,1-0,0-1,01/02/18,3:00 PM,N/A,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,N/A,False,18:09,,5 ,,4,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1,three pointer,missed,bsc,"bak,calvin",,"[""grant,she'chem"", 'kohnke,sam', 'spikes,kalvin', 'turner,james', 'sullivan,michael']","['bak,calvin', 'deneka,harrison', 'allison,zach', 'rudak,mateusz', 'yancey,rich']",1089
9,0762,BSC,Millsaps College,1,58-81,"43,38","24,34",4-8,3-9,1-0,0-1,01/02/18,3:00 PM,N/A,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,N/A,False,--,"REBOUND DEF by KOHNKE,SAM",5 ,,4,,,,"REBOUND DEF by KOHNKE,SAM",1,defensive rebound,,millsaps college,"kohnke,sam",,"[""grant,she'chem"", 'kohnke,sam', 'spikes,kalvin', 'turner,james', 'sullivan,michael']","['bak,calvin', 'deneka,harrison', 'allison,zach', 'rudak,mateusz', 'yancey,rich']",
