,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,4376,Rhodes,Birmingham-So.,1,83-63,"37,26","39,44",0-2,5-1,0-2,2-0,01/16/21,1:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Lose,2,False,55,False,19:49,"MISS 3PTR by GONDA,MATT",,,,,,,"MISS 3PTR by GONDA,MATT",1,three pointer,missed,birmingham-so.,"gonda,matt",,"['stewart,christian', 'spence,ben', 'sigler,evan', 'gonda,matt', ""o'sullivan,conor""]","['essick,jalen', 'georgetown,ii', 'wiley,koki', 'james,mac', 'shen,kevin']",1189
1,4376,Rhodes,Birmingham-So.,1,83-63,"37,26","39,44",0-2,5-1,0-2,2-0,01/16/21,1:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Lose,2,False,55,False,--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",1,defensive rebound,,rhodes,"georgetown ii,arness",,"['stewart,christian', 'spence,ben', 'sigler,evan', 'gonda,matt', ""o'sullivan,conor""]","['essick,jalen', 'georgetown,ii', 'wiley,koki', 'james,mac', 'shen,kevin']",
2,4376,Rhodes,Birmingham-So.,1,83-63,"37,26","39,44",0-2,5-1,0-2,2-0,01/16/21,1:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Lose,2,False,55,False,19:27,,0,,2 ,"GOOD JUMPER by GEORGETOWN II,ARNESS(in the paint)",Rhodes 0-2 (-2),,"GOOD JUMPER by GEORGETOWN II,ARNESS(in the paint)",1,jumper,good,rhodes,"georgetown ii,arness",2,"['stewart,christian', 'spence,ben', 'sigler,evan', 'gonda,matt', ""o'sullivan,conor""]","['essick,jalen', 'georgetown,ii', 'wiley,koki', 'james,mac', 'shen,kevin']",1167
3,4376,Rhodes,Birmingham-So.,1,83-63,"37,26","39,44",0-2,5-1,0-2,2-0,01/16/21,1:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Lose,2,False,55,False,19:11,"FOUL  by STEWART,CHRISTIAN",0,,2 ,,,,"FOUL  by STEWART,CHRISTIAN",1,foul,,birmingham-so.,"stewart,christian",,"['stewart,christian', 'spence,ben', 'sigler,evan', 'gonda,matt', ""o'sullivan,conor""]","['essick,jalen', 'georgetown,ii', 'wiley,koki', 'james,mac', 'shen,kevin']",1151
4,4376,Rhodes,Birmingham-So.,1,83-63,"37,26","39,44",0-2,5-1,0-2,2-0,01/16/21,1:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Lose,2,False,55,False,19:11,"TURNOVER  by STEWART,CHRISTIAN",0,,2 ,,,,"TURNOVER  by STEWART,CHRISTIAN",1,turnover,,birmingham-so.,"stewart,christian",,"['stewart,christian', 'spence,ben', 'sigler,evan', 'gonda,matt', ""o'sullivan,conor""]","['essick,jalen', 'georgetown,ii', 'wiley,koki', 'james,mac', 'shen,kevin']",1151
5,4376,Rhodes,Birmingham-So.,1,83-63,"37,26","39,44",0-2,5-1,0-2,2-0,01/16/21,1:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Lose,2,False,55,False,19:00,,0,,4 ,"GOOD JUMPER by GEORGETOWN II,ARNESS",Rhodes 0-4 (-4),,"GOOD JUMPER by GEORGETOWN II,ARNESS",1,jumper,good,rhodes,"georgetown ii,arness",2,"['stewart,christian', 'spence,ben', 'sigler,evan', 'gonda,matt', ""o'sullivan,conor""]","['essick,jalen', 'georgetown,ii', 'wiley,koki', 'james,mac', 'shen,kevin']",1140
6,4376,Rhodes,Birmingham-So.,1,83-63,"37,26","39,44",0-2,5-1,0-2,2-0,01/16/21,1:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Lose,2,False,55,False,--,,0,,4 ,"ASSIST  by SHEN,KEVIN",,,"ASSIST  by SHEN,KEVIN",1,assist,,rhodes,"shen,kevin",,"['stewart,christian', 'spence,ben', 'sigler,evan', 'gonda,matt', ""o'sullivan,conor""]","['essick,jalen', 'georgetown,ii', 'wiley,koki', 'james,mac', 'shen,kevin']",
7,4376,Rhodes,Birmingham-So.,1,83-63,"37,26","39,44",0-2,5-1,0-2,2-0,01/16/21,1:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Lose,2,False,55,False,18:35,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",2,,4 ,,BSC 2-4 (-2),,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",1,jumper,good,birmingham-so.,"stewart,christian",2,"['stewart,christian', 'spence,ben', 'sigler,evan', 'gonda,matt', ""o'sullivan,conor""]","['essick,jalen', 'georgetown,ii', 'wiley,koki', 'james,mac', 'shen,kevin']",1115
8,4376,Rhodes,Birmingham-So.,1,83-63,"37,26","39,44",0-2,5-1,0-2,2-0,01/16/21,1:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Lose,2,False,55,False,18:21,,2,,6 ,"GOOD JUMPER by GEORGETOWN II,ARNESS(in the paint)",Rhodes 2-6 (-4),,"GOOD JUMPER by GEORGETOWN II,ARNESS(in the paint)",1,jumper,good,rhodes,"georgetown ii,arness",2,"['stewart,christian', 'spence,ben', 'sigler,evan', 'gonda,matt', ""o'sullivan,conor""]","['essick,jalen', 'georgetown,ii', 'wiley,koki', 'james,mac', 'shen,kevin']",1101
9,4376,Rhodes,Birmingham-So.,1,83-63,"37,26","39,44",0-2,5-1,0-2,2-0,01/16/21,1:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Lose,2,False,55,False,--,,2,,6 ,"ASSIST  by ESSICK,JALEN",,,"ASSIST  by ESSICK,JALEN",1,assist,,rhodes,"essick,jalen",,"['stewart,christian', 'spence,ben', 'sigler,evan', 'gonda,matt', ""o'sullivan,conor""]","['essick,jalen', 'georgetown,ii', 'wiley,koki', 'james,mac', 'shen,kevin']",
10,4376,Rhodes,Birmingham-So.,1,83-63,"37,26","39,44",0-2,5-1,0-2,2-0,01/16/21,1:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Lose,2,False,55,False,18:02,"GOOD LAYUP by SIGLER,EVAN(in the paint)",4,,6 ,,BSC 4-6 (-2),,"GOOD LAYUP by SIGLER,EVAN(in the paint)",1,layup,good,birmingham-so.,"sigler,evan",2,"['stewart,christian', 'spence,ben', 'sigler,evan', 'gonda,matt', ""o'sullivan,conor""]","['essick,jalen', 'georgetown,ii', 'wiley,koki', 'james,mac', 'shen,kevin']",1082
11,4376,Rhodes,Birmingham-So.,1,83-63,"37,26","39,44",0-2,5-1,0-2,2-0,01/16/21,1:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Lose,2,False,55,False,18:02,,4,,6 ,"FOUL  by GEORGETOWN II,ARNESS",,,"FOUL  by GEORGETOWN II,ARNESS",1,foul,,rhodes,"georgetown ii,arness",,"['stewart,christian', 'spence,ben', 'sigler,evan', 'gonda,matt', ""o'sullivan,conor""]","['essick,jalen', 'georgetown,ii', 'wiley,koki', 'james,mac', 'shen,kevin']",1082
12,4376,Rhodes,Birmingham-So.,1,83-63,"37,26","39,44",0-2,5-1,0-2,2-0,01/16/21,1:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Lose,2,False,55,False,18:02,"GOOD FT by SIGLER,EVAN",5,,6 ,,BSC 5-6 (-1),,"GOOD FT by SIGLER,EVAN",1,free throw,good,birmingham-so.,"sigler,evan",1,"['stewart,christian', 'spence,ben', 'sigler,evan', 'gonda,matt', ""o'sullivan,conor""]","['essick,jalen', 'georgetown,ii', 'wiley,koki', 'james,mac', 'shen,kevin']",1082
13,4376,Rhodes,Birmingham-So.,1,83-63,"37,26","39,44",0-2,5-1,0-2,2-0,01/16/21,1:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Lose,2,False,55,False,17:38,,5,,8 ,"GOOD JUMPER by ESSICK,JALEN(in the paint)",Rhodes 5-8 (-3),,"GOOD JUMPER by ESSICK,JALEN(in the paint)",1,jumper,good,rhodes,"essick,jalen",2,"['stewart,christian', 'spence,ben', 'sigler,evan', 'gonda,matt', ""o'sullivan,conor""]","['essick,jalen', 'georgetown,ii', 'wiley,koki', 'james,mac', 'shen,kevin']",1058
14,4376,Rhodes,Birmingham-So.,1,83-63,"37,26","39,44",0-2,5-1,0-2,2-0,01/16/21,1:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Lose,2,False,55,False,17:33,,5,,8 ,"FOUL  by WILEY,KOKI",,,"FOUL  by WILEY,KOKI",1,foul,,rhodes,"wiley,koki",,"['stewart,christian', 'spence,ben', 'sigler,evan', 'gonda,matt', ""o'sullivan,conor""]","['essick,jalen', 'georgetown,ii', 'wiley,koki', 'james,mac', 'shen,kevin']",1053
15,4376,Rhodes,Birmingham-So.,1,83-63,"37,26","39,44",0-2,5-1,0-2,2-0,01/16/21,1:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Lose,2,False,55,False,17:33,"SUB OUT by O'SULLIVAN,CONOR",5,,8 ,,,,"SUB OUT by O'SULLIVAN,CONOR",1,subbing out,,birmingham-so.,"o'sullivan,conor",,"['stewart,christian', 'spence,ben', 'sigler,evan', 'gonda,matt']","['essick,jalen', 'georgetown,ii', 'wiley,koki', 'james,mac', 'shen,kevin']",1053
16,4376,Rhodes,Birmingham-So.,1,83-63,"37,26","39,44",0-2,5-1,0-2,2-0,01/16/21,1:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Lose,2,False,55,False,17:33,"SUB IN by GLOVER,CAMERON",5,,8 ,,,,"SUB IN by GLOVER,CAMERON",1,subbing in,,birmingham-so.,"glover,cameron",,"['stewart,christian', 'spence,ben', 'sigler,evan', 'gonda,matt', 'glover,cameron']","['essick,jalen', 'georgetown,ii', 'wiley,koki', 'james,mac', 'shen,kevin']",1053
