,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,645,Birmingham-Southern,Huntingdon,0,42-90,"46,44","18,24",5-1,0-5,,,12/16/13,7:00 PM,,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,,False,19:41,,,,,"MISS 3PTR by WELCH,ROSS",,,"MISS 3PTR by WELCH,ROSS",1,three pointer,missed,birmingham-southern,"welch,ross",,"['hill,austin', 'varney,jason', 'moorer,terry', 'tackett,cody', 'dallas,michael']","['thomas,larry', 'welch,ross', 'schamp,griffin', 'freeman,schylar', 'holland,jason']",1181.0,huntingdon,1,0,0.0
1,1,645,Birmingham-Southern,Huntingdon,0,42-90,"46,44","18,24",5-1,0-5,,,12/16/13,7:00 PM,,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,,False,--,"REBOUND DEF by TACKETT,CODY",,,,,,,"REBOUND DEF by TACKETT,CODY",1,defensive rebound,,huntingdon,"tackett,cody",,"['hill,austin', 'varney,jason', 'moorer,terry', 'tackett,cody', 'dallas,michael']","['thomas,larry', 'welch,ross', 'schamp,griffin', 'freeman,schylar', 'holland,jason']",,huntingdon,1,0,0.0
2,2,645,Birmingham-Southern,Huntingdon,0,42-90,"46,44","18,24",5-1,0-5,,,12/16/13,7:00 PM,,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,,False,19:15,"MISS JUMPER by HILL,AUSTIN",,,,,,,"MISS JUMPER by HILL,AUSTIN",1,jumper,missed,huntingdon,"hill,austin",,"['hill,austin', 'varney,jason', 'moorer,terry', 'tackett,cody', 'dallas,michael']","['thomas,larry', 'welch,ross', 'schamp,griffin', 'freeman,schylar', 'holland,jason']",1155.0,huntingdon,1,0,0.0
3,3,645,Birmingham-Southern,Huntingdon,0,42-90,"46,44","18,24",5-1,0-5,,,12/16/13,7:00 PM,,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,,False,--,,,,,"REBOUND DEF by WELCH,ROSS",,,"REBOUND DEF by WELCH,ROSS",1,defensive rebound,,birmingham-southern,"welch,ross",,"['hill,austin', 'varney,jason', 'moorer,terry', 'tackett,cody', 'dallas,michael']","['thomas,larry', 'welch,ross', 'schamp,griffin', 'freeman,schylar', 'holland,jason']",,huntingdon,1,0,0.0
4,4,645,Birmingham-Southern,Huntingdon,0,42-90,"46,44","18,24",5-1,0-5,,,12/16/13,7:00 PM,,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,,False,18:53,,0.0,,2.0,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",BSC 0-2 (+2),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1,layup,good,birmingham-southern,"schamp,griffin",2.0,"['hill,austin', 'varney,jason', 'moorer,terry', 'tackett,cody', 'dallas,michael']","['thomas,larry', 'welch,ross', 'schamp,griffin', 'freeman,schylar', 'holland,jason']",1133.0,birmingham-southern,2,0,0.0
5,5,645,Birmingham-Southern,Huntingdon,0,42-90,"46,44","18,24",5-1,0-5,,,12/16/13,7:00 PM,,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,,False,18:37,"MISS JUMPER by DALLAS,MICHAEL",0.0,,2.0,,,,"MISS JUMPER by DALLAS,MICHAEL",1,jumper,missed,huntingdon,"dallas,michael",,"['hill,austin', 'varney,jason', 'moorer,terry', 'tackett,cody', 'dallas,michael']","['thomas,larry', 'welch,ross', 'schamp,griffin', 'freeman,schylar', 'holland,jason']",1117.0,birmingham-southern,2,0,0.0
6,6,645,Birmingham-Southern,Huntingdon,0,42-90,"46,44","18,24",5-1,0-5,,,12/16/13,7:00 PM,,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,,False,--,,0.0,,2.0,"REBOUND DEF by HOLLAND,JASON",,,"REBOUND DEF by HOLLAND,JASON",1,defensive rebound,,birmingham-southern,"holland,jason",,"['hill,austin', 'varney,jason', 'moorer,terry', 'tackett,cody', 'dallas,michael']","['thomas,larry', 'welch,ross', 'schamp,griffin', 'freeman,schylar', 'holland,jason']",,birmingham-southern,2,0,0.0
7,7,645,Birmingham-Southern,Huntingdon,0,42-90,"46,44","18,24",5-1,0-5,,,12/16/13,7:00 PM,,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,,False,18:31,,0.0,,5.0,"GOOD 3PTR by WELCH,ROSS",BSC 0-5 (+5),,"GOOD 3PTR by WELCH,ROSS",1,three pointer,good,birmingham-southern,"welch,ross",3.0,"['hill,austin', 'varney,jason', 'moorer,terry', 'tackett,cody', 'dallas,michael']","['thomas,larry', 'welch,ross', 'schamp,griffin', 'freeman,schylar', 'holland,jason']",1111.0,birmingham-southern,2,0,0.0
8,8,645,Birmingham-Southern,Huntingdon,0,42-90,"46,44","18,24",5-1,0-5,,,12/16/13,7:00 PM,,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,,False,--,,0.0,,5.0,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",1,assist,,birmingham-southern,"holland,jason",,"['hill,austin', 'varney,jason', 'moorer,terry', 'tackett,cody', 'dallas,michael']","['thomas,larry', 'welch,ross', 'schamp,griffin', 'freeman,schylar', 'holland,jason']",,birmingham-southern,2,0,0.0
9,9,645,Birmingham-Southern,Huntingdon,0,42-90,"46,44","18,24",5-1,0-5,,,12/16/13,7:00 PM,,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,,False,18:08,"TURNOVER  by MOORER,TERRY",0.0,,5.0,,,,"TURNOVER  by MOORER,TERRY",1,turnover,,huntingdon,"moorer,terry",,"['hill,austin', 'varney,jason', 'moorer,terry', 'tackett,cody', 'dallas,michael']","['thomas,larry', 'welch,ross', 'schamp,griffin', 'freeman,schylar', 'holland,jason']",1088.0,birmingham-southern,2,0,0.0
