,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,783,Birmingham-Southern,Penn State-Altoona,0,78-82,"39,43","50,28",4-1,1-4,,,11/24/18,5:00 AM,,"LaGrange, GA",Win,2,False,203,False,19:52,"MISS LAYUP by GARDNER-NICHOLSON,C",,,,,,,"MISS LAYUP by GARDNER-NICHOLSON,C",1,layup,missed,penn state-altoona,"gardner-nicholson,c",,"['bailey,shevelle', 'gardner-nicholson,c', 'krise,austin', 'archie-davis,jalen', 'higley,marshall']","['allison,zachary', 'stewart,christian', 'spence,ben', 'stephens,troy', 'bak,calvin']",1192.0,penn state-altoona,1,0,0.0
1,1,783,Birmingham-Southern,Penn State-Altoona,0,78-82,"39,43","50,28",4-1,1-4,,,11/24/18,5:00 AM,,"LaGrange, GA",Win,2,False,203,False,--,"REBOUND OFF by GARDNER-NICHOLSON,C",,,,,,,"REBOUND OFF by GARDNER-NICHOLSON,C",1,offensive rebound,,penn state-altoona,"gardner-nicholson,c",,"['bailey,shevelle', 'gardner-nicholson,c', 'krise,austin', 'archie-davis,jalen', 'higley,marshall']","['allison,zachary', 'stewart,christian', 'spence,ben', 'stephens,troy', 'bak,calvin']",,penn state-altoona,1,0,0.0
2,2,783,Birmingham-Southern,Penn State-Altoona,0,78-82,"39,43","50,28",4-1,1-4,,,11/24/18,5:00 AM,,"LaGrange, GA",Win,2,False,203,False,19:50,"TURNOVER  by GARDNER-NICHOLSON,C",,,,,,,"TURNOVER  by GARDNER-NICHOLSON,C",1,turnover,,penn state-altoona,"gardner-nicholson,c",,"['bailey,shevelle', 'gardner-nicholson,c', 'krise,austin', 'archie-davis,jalen', 'higley,marshall']","['allison,zachary', 'stewart,christian', 'spence,ben', 'stephens,troy', 'bak,calvin']",1190.0,penn state-altoona,1,0,0.0
3,3,783,Birmingham-Southern,Penn State-Altoona,0,78-82,"39,43","50,28",4-1,1-4,,,11/24/18,5:00 AM,,"LaGrange, GA",Win,2,False,203,False,19:41,,0.0,,2.0,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC-M 0-2 (+2),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1,layup,good,birmingham-southern,"stewart,christian",2.0,"['bailey,shevelle', 'gardner-nicholson,c', 'krise,austin', 'archie-davis,jalen', 'higley,marshall']","['allison,zachary', 'stewart,christian', 'spence,ben', 'stephens,troy', 'bak,calvin']",1181.0,birmingham-southern,2,0,0.0
4,4,783,Birmingham-Southern,Penn State-Altoona,0,78-82,"39,43","50,28",4-1,1-4,,,11/24/18,5:00 AM,,"LaGrange, GA",Win,2,False,203,False,--,,0.0,,2.0,"ASSIST  by ALLISON,ZACHARY",,,"ASSIST  by ALLISON,ZACHARY",1,assist,,birmingham-southern,"allison,zachary",,"['bailey,shevelle', 'gardner-nicholson,c', 'krise,austin', 'archie-davis,jalen', 'higley,marshall']","['allison,zachary', 'stewart,christian', 'spence,ben', 'stephens,troy', 'bak,calvin']",,birmingham-southern,2,0,0.0
5,5,783,Birmingham-Southern,Penn State-Altoona,0,78-82,"39,43","50,28",4-1,1-4,,,11/24/18,5:00 AM,,"LaGrange, GA",Win,2,False,203,False,19:33,"MISS LAYUP by KRISE,AUSTIN",0.0,,2.0,,,,"MISS LAYUP by KRISE,AUSTIN",1,layup,missed,penn state-altoona,"krise,austin",,"['bailey,shevelle', 'gardner-nicholson,c', 'krise,austin', 'archie-davis,jalen', 'higley,marshall']","['allison,zachary', 'stewart,christian', 'spence,ben', 'stephens,troy', 'bak,calvin']",1173.0,birmingham-southern,2,0,0.0
6,6,783,Birmingham-Southern,Penn State-Altoona,0,78-82,"39,43","50,28",4-1,1-4,,,11/24/18,5:00 AM,,"LaGrange, GA",Win,2,False,203,False,--,,0.0,,2.0,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1,defensive rebound,,birmingham-southern,"stewart,christian",,"['bailey,shevelle', 'gardner-nicholson,c', 'krise,austin', 'archie-davis,jalen', 'higley,marshall']","['allison,zachary', 'stewart,christian', 'spence,ben', 'stephens,troy', 'bak,calvin']",,birmingham-southern,2,0,0.0
7,7,783,Birmingham-Southern,Penn State-Altoona,0,78-82,"39,43","50,28",4-1,1-4,,,11/24/18,5:00 AM,,"LaGrange, GA",Win,2,False,203,False,19:19,,0.0,,2.0,"MISS LAYUP by STEPHENS,TROY",,,"MISS LAYUP by STEPHENS,TROY",1,layup,missed,birmingham-southern,"stephens,troy",,"['bailey,shevelle', 'gardner-nicholson,c', 'krise,austin', 'archie-davis,jalen', 'higley,marshall']","['allison,zachary', 'stewart,christian', 'spence,ben', 'stephens,troy', 'bak,calvin']",1159.0,birmingham-southern,2,0,0.0
8,8,783,Birmingham-Southern,Penn State-Altoona,0,78-82,"39,43","50,28",4-1,1-4,,,11/24/18,5:00 AM,,"LaGrange, GA",Win,2,False,203,False,19:19,"BLOCK  by GARDNER-NICHOLSON,C",0.0,,2.0,,,,"BLOCK  by GARDNER-NICHOLSON,C",1,block,,penn state-altoona,"gardner-nicholson,c",,"['bailey,shevelle', 'gardner-nicholson,c', 'krise,austin', 'archie-davis,jalen', 'higley,marshall']","['allison,zachary', 'stewart,christian', 'spence,ben', 'stephens,troy', 'bak,calvin']",1159.0,birmingham-southern,2,0,0.0
9,9,783,Birmingham-Southern,Penn State-Altoona,0,78-82,"39,43","50,28",4-1,1-4,,,11/24/18,5:00 AM,,"LaGrange, GA",Win,2,False,203,False,--,"REBOUND DEF by KRISE,AUSTIN",0.0,,2.0,,,,"REBOUND DEF by KRISE,AUSTIN",1,defensive rebound,,penn state-altoona,"krise,austin",,"['bailey,shevelle', 'gardner-nicholson,c', 'krise,austin', 'archie-davis,jalen', 'higley,marshall']","['allison,zachary', 'stewart,christian', 'spence,ben', 'stephens,troy', 'bak,calvin']",,birmingham-southern,2,0,0.0
