,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,3594,Covenant,Birmingham-So.,0,72-88,"48,40","32,40",3-0,2-3,,,11/19/19,7:00 PM,,"Lookout Mountain, Ga. - Barnes PE Center",Win,2,False,313,False,19:35,"MISS 3PTR by SPENCE,BEN",,,,,,,"MISS 3PTR by SPENCE,BEN",1,three pointer,missed,birmingham-so.,"spence,ben",,"['bak,calvin', ""o'sullivan,conor"", 'spence,ben', 'fitzgerald,paul', 'stewart,christian']","['crumly,will', 'hollis,mitchell', 'barnette,chris', 'allen,zack', 'mitchell,james']",1175.0,covenant,1,0,0.0
1,1,3594,Covenant,Birmingham-So.,0,72-88,"48,40","32,40",3-0,2-3,,,11/19/19,7:00 PM,,"Lookout Mountain, Ga. - Barnes PE Center",Win,2,False,313,False,--,,,,,"REBOUND DEF by BARNETTE,CHRIS",,,"REBOUND DEF by BARNETTE,CHRIS",1,defensive rebound,,covenant,"barnette,chris",,"['bak,calvin', ""o'sullivan,conor"", 'spence,ben', 'fitzgerald,paul', 'stewart,christian']","['crumly,will', 'hollis,mitchell', 'barnette,chris', 'allen,zack', 'mitchell,james']",,covenant,1,0,0.0
2,2,3594,Covenant,Birmingham-So.,0,72-88,"48,40","32,40",3-0,2-3,,,11/19/19,7:00 PM,,"Lookout Mountain, Ga. - Barnes PE Center",Win,2,False,313,False,19:32,,,,,"TURNOVER  by BARNETTE,CHRIS",,,"TURNOVER  by BARNETTE,CHRIS",1,turnover,,covenant,"barnette,chris",,"['bak,calvin', ""o'sullivan,conor"", 'spence,ben', 'fitzgerald,paul', 'stewart,christian']","['crumly,will', 'hollis,mitchell', 'barnette,chris', 'allen,zack', 'mitchell,james']",1172.0,covenant,1,0,0.0
3,3,3594,Covenant,Birmingham-So.,0,72-88,"48,40","32,40",3-0,2-3,,,11/19/19,7:00 PM,,"Lookout Mountain, Ga. - Barnes PE Center",Win,2,False,313,False,19:27,"GOOD 3PTR by O'SULLIVAN,CONOR(fastbreak)",3.0,,0.0,,BSC 3-0 (+3),,"GOOD 3PTR by O'SULLIVAN,CONOR(fastbreak)",1,three pointer,good,birmingham-so.,"o'sullivan,conor(fastbreak)",3.0,"['bak,calvin', ""o'sullivan,conor"", 'spence,ben', 'fitzgerald,paul', 'stewart,christian']","['crumly,will', 'hollis,mitchell', 'barnette,chris', 'allen,zack', 'mitchell,james']",1167.0,birmingham-so.,2,0,0.0
4,4,3594,Covenant,Birmingham-So.,0,72-88,"48,40","32,40",3-0,2-3,,,11/19/19,7:00 PM,,"Lookout Mountain, Ga. - Barnes PE Center",Win,2,False,313,False,--,"ASSIST  by SPENCE,BEN",3.0,,0.0,,,,"ASSIST  by SPENCE,BEN",1,assist,,birmingham-so.,"spence,ben",,"['bak,calvin', ""o'sullivan,conor"", 'spence,ben', 'fitzgerald,paul', 'stewart,christian']","['crumly,will', 'hollis,mitchell', 'barnette,chris', 'allen,zack', 'mitchell,james']",,birmingham-so.,2,0,0.0
5,5,3594,Covenant,Birmingham-So.,0,72-88,"48,40","32,40",3-0,2-3,,,11/19/19,7:00 PM,,"Lookout Mountain, Ga. - Barnes PE Center",Win,2,False,313,False,19:02,,3.0,,0.0,"MISS JUMPER by ALLEN,ZACK",,,"MISS JUMPER by ALLEN,ZACK",1,jumper,missed,covenant,"allen,zack",,"['bak,calvin', ""o'sullivan,conor"", 'spence,ben', 'fitzgerald,paul', 'stewart,christian']","['crumly,will', 'hollis,mitchell', 'barnette,chris', 'allen,zack', 'mitchell,james']",1142.0,birmingham-so.,2,0,0.0
6,6,3594,Covenant,Birmingham-So.,0,72-88,"48,40","32,40",3-0,2-3,,,11/19/19,7:00 PM,,"Lookout Mountain, Ga. - Barnes PE Center",Win,2,False,313,False,--,,3.0,,0.0,"REBOUND OFF by CRUMLY,WILL",,,"REBOUND OFF by CRUMLY,WILL",1,offensive rebound,,covenant,"crumly,will",,"['bak,calvin', ""o'sullivan,conor"", 'spence,ben', 'fitzgerald,paul', 'stewart,christian']","['crumly,will', 'hollis,mitchell', 'barnette,chris', 'allen,zack', 'mitchell,james']",,birmingham-so.,2,0,0.0
7,7,3594,Covenant,Birmingham-So.,0,72-88,"48,40","32,40",3-0,2-3,,,11/19/19,7:00 PM,,"Lookout Mountain, Ga. - Barnes PE Center",Win,2,False,313,False,19:01,,3.0,,2.0,"GOOD LAYUP by CRUMLY,WILL(in the paint)",CCM 3-2 (+1),,"GOOD LAYUP by CRUMLY,WILL(in the paint)",1,layup,good,covenant,"crumly,will",2.0,"['bak,calvin', ""o'sullivan,conor"", 'spence,ben', 'fitzgerald,paul', 'stewart,christian']","['crumly,will', 'hollis,mitchell', 'barnette,chris', 'allen,zack', 'mitchell,james']",1141.0,birmingham-so.,2,0,0.0
8,8,3594,Covenant,Birmingham-So.,0,72-88,"48,40","32,40",3-0,2-3,,,11/19/19,7:00 PM,,"Lookout Mountain, Ga. - Barnes PE Center",Win,2,False,313,False,19:00,"FOUL  by SPENCE,BEN",3.0,,2.0,,,,"FOUL  by SPENCE,BEN",1,foul,,birmingham-so.,"spence,ben",,"['bak,calvin', ""o'sullivan,conor"", 'spence,ben', 'fitzgerald,paul', 'stewart,christian']","['crumly,will', 'hollis,mitchell', 'barnette,chris', 'allen,zack', 'mitchell,james']",1140.0,birmingham-so.,2,0,0.0
9,9,3594,Covenant,Birmingham-So.,0,72-88,"48,40","32,40",3-0,2-3,,,11/19/19,7:00 PM,,"Lookout Mountain, Ga. - Barnes PE Center",Win,2,False,313,False,19:00,,3.0,,3.0,"GOOD FT by CRUMLY,WILL",CCM 3-3 (0),,"GOOD FT by CRUMLY,WILL",1,free throw,good,covenant,"crumly,will",1.0,"['bak,calvin', ""o'sullivan,conor"", 'spence,ben', 'fitzgerald,paul', 'stewart,christian']","['crumly,will', 'hollis,mitchell', 'barnette,chris', 'allen,zack', 'mitchell,james']",1140.0,covenant,3,0,0.0
10,10,3594,Covenant,Birmingham-So.,0,72-88,"48,40","32,40",3-0,2-3,,,11/19/19,7:00 PM,,"Lookout Mountain, Ga. - Barnes PE Center",Win,2,False,313,False,18:48,"MISS JUMPER by O'SULLIVAN,CONOR",3.0,,3.0,,,,"MISS JUMPER by O'SULLIVAN,CONOR",1,jumper,missed,birmingham-so.,"o'sullivan,conor",,"['bak,calvin', ""o'sullivan,conor"", 'spence,ben', 'fitzgerald,paul', 'stewart,christian']","['crumly,will', 'hollis,mitchell', 'barnette,chris', 'allen,zack', 'mitchell,james']",1128.0,covenant,3,0,0.0
11,11,3594,Covenant,Birmingham-So.,0,72-88,"48,40","32,40",3-0,2-3,,,11/19/19,7:00 PM,,"Lookout Mountain, Ga. - Barnes PE Center",Win,2,False,313,False,--,REBOUND DEADB by TEAM,3.0,,3.0,,,,REBOUND DEADB by TEAM,1,deadball rebound,,birmingham-so.,,,"['bak,calvin', ""o'sullivan,conor"", 'spence,ben', 'fitzgerald,paul', 'stewart,christian']","['crumly,will', 'hollis,mitchell', 'barnette,chris', 'allen,zack', 'mitchell,james']",,covenant,3,0,0.0
12,12,3594,Covenant,Birmingham-So.,0,72-88,"48,40","32,40",3-0,2-3,,,11/19/19,7:00 PM,,"Lookout Mountain, Ga. - Barnes PE Center",Win,2,False,313,False,18:46,,3.0,,3.0,"FOUL  by CRUMLY,WILL",,,"FOUL  by CRUMLY,WILL",1,foul,,covenant,"crumly,will",,"['bak,calvin', ""o'sullivan,conor"", 'spence,ben', 'fitzgerald,paul', 'stewart,christian']","['crumly,will', 'hollis,mitchell', 'barnette,chris', 'allen,zack', 'mitchell,james']",1126.0,covenant,3,0,0.0
13,13,3594,Covenant,Birmingham-So.,0,72-88,"48,40","32,40",3-0,2-3,,,11/19/19,7:00 PM,,"Lookout Mountain, Ga. - Barnes PE Center",Win,2,False,313,False,18:42,"FOUL  by STEWART,CHRISTIAN",3.0,,3.0,,,,"FOUL  by STEWART,CHRISTIAN",1,foul,,birmingham-so.,"stewart,christian",,"['bak,calvin', ""o'sullivan,conor"", 'spence,ben', 'fitzgerald,paul', 'stewart,christian']","['crumly,will', 'hollis,mitchell', 'barnette,chris', 'allen,zack', 'mitchell,james']",1122.0,birmingham-so.,4,0,0.0
14,14,3594,Covenant,Birmingham-So.,0,72-88,"48,40","32,40",3-0,2-3,,,11/19/19,7:00 PM,,"Lookout Mountain, Ga. - Barnes PE Center",Win,2,False,313,False,18:42,"TURNOVER  by STEWART,CHRISTIAN",3.0,,3.0,,,,"TURNOVER  by STEWART,CHRISTIAN",1,turnover,,birmingham-so.,"stewart,christian",,"['bak,calvin', ""o'sullivan,conor"", 'spence,ben', 'fitzgerald,paul', 'stewart,christian']","['crumly,will', 'hollis,mitchell', 'barnette,chris', 'allen,zack', 'mitchell,james']",1122.0,birmingham-so.,4,0,0.0
15,15,3594,Covenant,Birmingham-So.,0,72-88,"48,40","32,40",3-0,2-3,,,11/19/19,7:00 PM,,"Lookout Mountain, Ga. - Barnes PE Center",Win,2,False,313,False,18:27,,3.0,,5.0,"GOOD LAYUP by ALLEN,ZACK(in the paint)",CCM 3-5 (-2),,"GOOD LAYUP by ALLEN,ZACK(in the paint)",1,layup,good,covenant,"allen,zack",2.0,"['bak,calvin', ""o'sullivan,conor"", 'spence,ben', 'fitzgerald,paul', 'stewart,christian']","['crumly,will', 'hollis,mitchell', 'barnette,chris', 'allen,zack', 'mitchell,james']",1107.0,covenant,5,0,0.0
16,16,3594,Covenant,Birmingham-So.,0,72-88,"48,40","32,40",3-0,2-3,,,11/19/19,7:00 PM,,"Lookout Mountain, Ga. - Barnes PE Center",Win,2,False,313,False,--,,3.0,,5.0,"ASSIST  by CRUMLY,WILL",,,"ASSIST  by CRUMLY,WILL",1,assist,,covenant,"crumly,will",,"['bak,calvin', ""o'sullivan,conor"", 'spence,ben', 'fitzgerald,paul', 'stewart,christian']","['crumly,will', 'hollis,mitchell', 'barnette,chris', 'allen,zack', 'mitchell,james']",,covenant,5,0,0.0
17,17,3594,Covenant,Birmingham-So.,0,72-88,"48,40","32,40",3-0,2-3,,,11/19/19,7:00 PM,,"Lookout Mountain, Ga. - Barnes PE Center",Win,2,False,313,False,18:19,"TURNOVER  by O'SULLIVAN,CONOR",3.0,,5.0,,,,"TURNOVER  by O'SULLIVAN,CONOR",1,turnover,,birmingham-so.,"o'sullivan,conor",,"['bak,calvin', ""o'sullivan,conor"", 'spence,ben', 'fitzgerald,paul', 'stewart,christian']","['crumly,will', 'hollis,mitchell', 'barnette,chris', 'allen,zack', 'mitchell,james']",1099.0,covenant,5,0,0.0
