,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,4378,Birmingham-Southern,Oglethorpe,1,78-110,"59,51","44,34",6-2,3-1,3-1,3-1,01/24/21,1:00 PM,,"Birmingham, AL",Win,2,False,,False,19:31,,,,,"TURNOVER  by GONDA,MATT",,,"TURNOVER  by GONDA,MATT",1,turnover,,birmingham-southern,"gonda,matt",,"['chambers,dimetri', 'ezigbo,uba', 'foster,lane', 'jenei,ryan', 'sone,carlos']","['stewart,christian', 'gonda,matt', 'sigler,evan', 'glover,cameron', 'spence,ben']",1171.0,oglethorpe,1,0,0.0
1,1,4378,Birmingham-Southern,Oglethorpe,1,78-110,"59,51","44,34",6-2,3-1,3-1,3-1,01/24/21,1:00 PM,,"Birmingham, AL",Win,2,False,,False,19:31,"STEAL  by CHAMBERS,DIMETRI",,,,,,,"STEAL  by CHAMBERS,DIMETRI",1,steal,,oglethorpe,,,"['chambers,dimetri', 'ezigbo,uba', 'foster,lane', 'jenei,ryan', 'sone,carlos']","['stewart,christian', 'gonda,matt', 'sigler,evan', 'glover,cameron', 'spence,ben']",1171.0,oglethorpe,1,0,0.0
2,2,4378,Birmingham-Southern,Oglethorpe,1,78-110,"59,51","44,34",6-2,3-1,3-1,3-1,01/24/21,1:00 PM,,"Birmingham, AL",Win,2,False,,False,19:25,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",2.0,,0.0,,OU 2-0 (-2),,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",1,layup,good,oglethorpe,"chambers,dimetri(fastbreak)",2.0,"['chambers,dimetri', 'ezigbo,uba', 'foster,lane', 'jenei,ryan', 'sone,carlos']","['stewart,christian', 'gonda,matt', 'sigler,evan', 'glover,cameron', 'spence,ben']",1165.0,oglethorpe,1,0,0.0
3,3,4378,Birmingham-Southern,Oglethorpe,1,78-110,"59,51","44,34",6-2,3-1,3-1,3-1,01/24/21,1:00 PM,,"Birmingham, AL",Win,2,False,,False,19:04,,2.0,,2.0,"GOOD LAYUP by SPENCE,BEN(in the paint)",BSC-M 2-2 (0),,"GOOD LAYUP by SPENCE,BEN(in the paint)",1,layup,good,birmingham-southern,"spence,ben",2.0,"['chambers,dimetri', 'ezigbo,uba', 'foster,lane', 'jenei,ryan', 'sone,carlos']","['stewart,christian', 'gonda,matt', 'sigler,evan', 'glover,cameron', 'spence,ben']",1144.0,oglethorpe,1,0,0.0
4,4,4378,Birmingham-Southern,Oglethorpe,1,78-110,"59,51","44,34",6-2,3-1,3-1,3-1,01/24/21,1:00 PM,,"Birmingham, AL",Win,2,False,,False,18:52,"MISS LAYUP by FOSTER,LANE",2.0,,2.0,,,,"MISS LAYUP by FOSTER,LANE",1,layup,missed,oglethorpe,"foster,lane",,"['chambers,dimetri', 'ezigbo,uba', 'foster,lane', 'jenei,ryan', 'sone,carlos']","['stewart,christian', 'gonda,matt', 'sigler,evan', 'glover,cameron', 'spence,ben']",1132.0,oglethorpe,1,0,0.0
5,5,4378,Birmingham-Southern,Oglethorpe,1,78-110,"59,51","44,34",6-2,3-1,3-1,3-1,01/24/21,1:00 PM,,"Birmingham, AL",Win,2,False,,False,--,,2.0,,2.0,"REBOUND DEF by SIGLER,EVAN",,,"REBOUND DEF by SIGLER,EVAN",1,defensive rebound,,birmingham-southern,"sigler,evan",,"['chambers,dimetri', 'ezigbo,uba', 'foster,lane', 'jenei,ryan', 'sone,carlos']","['stewart,christian', 'gonda,matt', 'sigler,evan', 'glover,cameron', 'spence,ben']",,oglethorpe,1,0,0.0
6,6,4378,Birmingham-Southern,Oglethorpe,1,78-110,"59,51","44,34",6-2,3-1,3-1,3-1,01/24/21,1:00 PM,,"Birmingham, AL",Win,2,False,,False,18:45,,2.0,,4.0,"GOOD JUMPER by GONDA,MATT",BSC-M 2-4 (+2),,"GOOD JUMPER by GONDA,MATT",1,jumper,good,birmingham-southern,"gonda,matt",2.0,"['chambers,dimetri', 'ezigbo,uba', 'foster,lane', 'jenei,ryan', 'sone,carlos']","['stewart,christian', 'gonda,matt', 'sigler,evan', 'glover,cameron', 'spence,ben']",1125.0,birmingham-southern,2,0,0.0
7,7,4378,Birmingham-Southern,Oglethorpe,1,78-110,"59,51","44,34",6-2,3-1,3-1,3-1,01/24/21,1:00 PM,,"Birmingham, AL",Win,2,False,,False,18:19,"MISS JUMPER by EZIGBO,UBA",2.0,,4.0,,,,"MISS JUMPER by EZIGBO,UBA",1,jumper,missed,oglethorpe,"ezigbo,uba",,"['chambers,dimetri', 'ezigbo,uba', 'foster,lane', 'jenei,ryan', 'sone,carlos']","['stewart,christian', 'gonda,matt', 'sigler,evan', 'glover,cameron', 'spence,ben']",1099.0,birmingham-southern,2,0,0.0
8,8,4378,Birmingham-Southern,Oglethorpe,1,78-110,"59,51","44,34",6-2,3-1,3-1,3-1,01/24/21,1:00 PM,,"Birmingham, AL",Win,2,False,,False,--,,2.0,,4.0,"REBOUND DEF by GONDA,MATT",,,"REBOUND DEF by GONDA,MATT",1,defensive rebound,,birmingham-southern,"gonda,matt",,"['chambers,dimetri', 'ezigbo,uba', 'foster,lane', 'jenei,ryan', 'sone,carlos']","['stewart,christian', 'gonda,matt', 'sigler,evan', 'glover,cameron', 'spence,ben']",,birmingham-southern,2,0,0.0
9,9,4378,Birmingham-Southern,Oglethorpe,1,78-110,"59,51","44,34",6-2,3-1,3-1,3-1,01/24/21,1:00 PM,,"Birmingham, AL",Win,2,False,,False,18:07,,2.0,,7.0,"GOOD 3PTR by SIGLER,EVAN",BSC-M 2-7 (+5),,"GOOD 3PTR by SIGLER,EVAN",1,three pointer,good,birmingham-southern,"sigler,evan",3.0,"['chambers,dimetri', 'ezigbo,uba', 'foster,lane', 'jenei,ryan', 'sone,carlos']","['stewart,christian', 'gonda,matt', 'sigler,evan', 'glover,cameron', 'spence,ben']",1087.0,birmingham-southern,2,0,0.0
10,10,4378,Birmingham-Southern,Oglethorpe,1,78-110,"59,51","44,34",6-2,3-1,3-1,3-1,01/24/21,1:00 PM,,"Birmingham, AL",Win,2,False,,False,--,,2.0,,7.0,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1,assist,,birmingham-southern,"spence,ben",,"['chambers,dimetri', 'ezigbo,uba', 'foster,lane', 'jenei,ryan', 'sone,carlos']","['stewart,christian', 'gonda,matt', 'sigler,evan', 'glover,cameron', 'spence,ben']",,birmingham-southern,2,0,0.0
