game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
25,Centre College,Austin College,56-52,56,52,No record reported,No record reported,02/24/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,19:52,,0,0,"MISS JUMPER by SAUNDERS,JOSH",0,1,,,0,0,,,jumper,miss,1,0,0.0,,39,2392
25,Centre College,Austin College,56-52,56,52,No record reported,No record reported,02/24/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,19:52,,0,0,"REBOUND OFF by HARRELL,GREG",0,1,,,0,0,,,,,1,0,0.0,,39,2392
25,Centre College,Austin College,56-52,56,52,No record reported,No record reported,02/24/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,19:41,,0,3,"GOOD 3PTR by PHILLIPS,WALTER",3,1,,,0,0,,,3ptr,good,2,1,0.5,1.0,39,2381
25,Centre College,Austin College,56-52,56,52,No record reported,No record reported,02/24/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,19:41,,0,3,"ASSIST  by SAUNDERS,JOSH",3,1,,,0,0,,,,,2,1,0.5,1.0,39,2381
25,Centre College,Austin College,56-52,56,52,No record reported,No record reported,02/24/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,19:16,"MISS 3PTR by KARSNER,JOSH",0,3,,3,1,3ptr,miss,1,1,0.0,0.0,,,2,1,0.5,1.0,39,2356
25,Centre College,Austin College,56-52,56,52,No record reported,No record reported,02/24/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,19:16,,0,3,"REBOUND DEF by PHILLIPS,WALTER",3,1,,,1,1,0.0,0.0,,,2,1,0.5,1.0,39,2356
25,Centre College,Austin College,56-52,56,52,No record reported,No record reported,02/24/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,19:03,,0,3,"MISS JUMPER by OKPALA,RANSOM",3,1,,,1,1,0.0,0.0,jumper,miss,3,1,0.333,1.0,39,2343
25,Centre College,Austin College,56-52,56,52,No record reported,No record reported,02/24/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,19:03,"REBOUND DEF by KARSNER,JOSH",0,3,,3,1,,,1,1,0.0,0.0,,,3,1,0.333,1.0,39,2343
25,Centre College,Austin College,56-52,56,52,No record reported,No record reported,02/24/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,18:52,"MISS 3PTR by LOPEZ,COLLIN",0,3,,3,1,3ptr,miss,2,2,0.0,0.0,,,3,1,0.333,1.0,38,2332
25,Centre College,Austin College,56-52,56,52,No record reported,No record reported,02/24/12,Lose,No Attendence Recorded,No Location Recorded,3:00 PM,18:52,,0,3,"REBOUND DEF by SAUNDERS,JOSH",3,1,,,2,2,0.0,0.0,,,3,1,0.333,1.0,38,2332
