game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
6,Centre,Sewanee,50-48,50,48,"4-2,1-0","3-1,0-1",12/01/12,Lose,324,No Location Recorded,3:00 PM,19:43,"MISS JUMPER by WESLEY,TYLER",0,0,,0,1,jumper,miss,1,0,0.0,,,,0,0,,,39,2383
6,Centre,Sewanee,50-48,50,48,"4-2,1-0","3-1,0-1",12/01/12,Lose,324,No Location Recorded,3:00 PM,19:43,,0,0,"REBOUND DEF by CARTER,KESHONN",0,1,,,1,0,0.0,,,,0,0,,,39,2383
6,Centre,Sewanee,50-48,50,48,"4-2,1-0","3-1,0-1",12/01/12,Lose,324,No Location Recorded,3:00 PM,19:30,,0,0,"MISS JUMPER by CARTER,KESHONN",0,1,,,1,0,0.0,,jumper,miss,1,0,0.0,,39,2370
6,Centre,Sewanee,50-48,50,48,"4-2,1-0","3-1,0-1",12/01/12,Lose,324,No Location Recorded,3:00 PM,19:30,"REBOUND DEF by WESLEY,TYLER",0,0,,0,1,,,1,0,0.0,,,,1,0,0.0,,39,2370
6,Centre,Sewanee,50-48,50,48,"4-2,1-0","3-1,0-1",12/01/12,Lose,324,No Location Recorded,3:00 PM,19:14,"MISS 3PTR by ELLIS,BRYON",0,0,,0,1,3ptr,miss,2,1,0.0,0.0,,,1,0,0.0,,39,2354
6,Centre,Sewanee,50-48,50,48,"4-2,1-0","3-1,0-1",12/01/12,Lose,324,No Location Recorded,3:00 PM,19:14,,0,0,"REBOUND DEF by BROWN,TYLER",0,1,,,2,1,0.0,0.0,,,1,0,0.0,,39,2354
6,Centre,Sewanee,50-48,50,48,"4-2,1-0","3-1,0-1",12/01/12,Lose,324,No Location Recorded,3:00 PM,18:54,,0,0,"TURNOVER  by CARTER,KESHONN",0,1,,,2,1,0.0,0.0,,,1,0,0.0,,38,2334
6,Centre,Sewanee,50-48,50,48,"4-2,1-0","3-1,0-1",12/01/12,Lose,324,No Location Recorded,3:00 PM,18:54,,0,0,"FOUL  by CARTER,KESHONN",0,1,,,2,1,0.0,0.0,foul,,1,0,0.0,,38,2334
6,Centre,Sewanee,50-48,50,48,"4-2,1-0","3-1,0-1",12/01/12,Lose,324,No Location Recorded,3:00 PM,18:30,"MISS JUMPER by TAYLOR,CHRIS",0,0,,0,1,jumper,miss,3,1,0.0,0.0,,,1,0,0.0,,38,2310
6,Centre,Sewanee,50-48,50,48,"4-2,1-0","3-1,0-1",12/01/12,Lose,324,No Location Recorded,3:00 PM,18:30,,0,0,"REBOUND DEF by HODGE,NILAN",0,1,,,3,1,0.0,0.0,,,1,0,0.0,,38,2310
