game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,19:32,,0,0,"FOUL  by JUERGENS,JON",0,1,,,0,0,,,foul,,0,0,,,39,2372
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,19:32,"GOOD FT by WESLEY,TYLER",1,0,,-1,1,ft,good,1,0,1.0,,,,0,0,,,39,2372
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,19:32,"MISS FT by WESLEY,TYLER",1,0,,-1,1,ft,miss,2,0,0.5,,,,0,0,,,39,2372
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,19:32,"REBOUND OFF by TAYLOR,CHRIS",1,0,,-1,1,,,2,0,0.5,,,,0,0,,,39,2372
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,19:20,"GOOD JUMPER by WESLEY,TYLER(in the paint)",3,0,,-3,1,jumper,good,3,0,0.667,,,,0,0,,,39,2360
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,18:46,,3,0,"TURNOVER  by DAVIS,JASON",-3,1,,,3,0,0.667,,,,0,0,,,38,2326
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,18:22,"GOOD 3PTR by LOPEZ,COLLIN",6,0,,-6,1,3ptr,good,4,1,0.75,1.0,,,0,0,,,38,2302
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,18:22,"ASSIST  by TAYLOR,CHRIS",6,0,,-6,1,,,4,1,0.75,1.0,,,0,0,,,38,2302
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,18:13,,6,0,"MISS LAYUP by DAVIS,JASON",-6,1,,,4,1,0.75,1.0,layup,miss,1,0,0.0,,38,2293
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,18:13,"BLOCK  by WESLEY,TYLER",6,0,,-6,1,,,4,1,0.75,1.0,,,1,0,0.0,,38,2293
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,18:13,,6,0,REBOUND OFF by TEAM,-6,1,,,4,1,0.75,1.0,,,1,0,0.0,,38,2293
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,18:07,,6,0,"MISS JUMPER by CRUM,MARSHALL",-6,1,,,4,1,0.75,1.0,jumper,miss,2,0,0.0,,38,2287
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,18:07,"REBOUND DEF by WHITESIDE,DONOVAN",6,0,,-6,1,,,4,1,0.75,1.0,,,2,0,0.0,,38,2287
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,18:00,"GOOD LAYUP by TAYLOR,CHRIS(fastbreak)(in the paint)",8,0,,-8,1,layup,good,5,1,0.8,1.0,,,2,0,0.0,,38,2280
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,17:47,,8,2,"GOOD LAYUP by CRUM,MARSHALL(in the paint)",-6,1,,,5,1,0.8,1.0,layup,good,3,0,0.333,,37,2267
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,17:23,"TURNOVER  by LOPEZ,COLLIN",8,2,,-6,1,,,5,1,0.8,1.0,,,3,0,0.333,,37,2243
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,17:22,,8,2,"STEAL  by DAVIS,JASON",-6,1,,,5,1,0.8,1.0,,,3,0,0.333,,37,2242
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,17:19,,8,4,"GOOD LAYUP by DAVIS,JASON(fastbreak)(in the paint)",-4,1,,,5,1,0.8,1.0,layup,good,4,0,0.5,,37,2239
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,16:52,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",10,4,,-6,1,layup,good,6,1,0.833,1.0,,,4,0,0.5,,36,2212
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,16:52,"ASSIST  by WESLEY,TYLER",10,4,,-6,1,,,6,1,0.833,1.0,,,4,0,0.5,,36,2212
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,16:30,,10,4,"MISS JUMPER by JUERGENS,JON",-6,1,,,6,1,0.833,1.0,jumper,miss,5,0,0.4,,36,2190
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,16:30,"REBOUND DEF by LOPEZ,COLLIN",10,4,,-6,1,,,6,1,0.833,1.0,,,5,0,0.4,,36,2190
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,16:17,"MISS LAYUP by SCINTA,BLAKE",10,4,,-6,1,layup,miss,7,1,0.714,1.0,,,5,0,0.4,,36,2177
4,Centre College (Ky.),Otterbein University,89-64,89,64,3-1,1-3,11/23/13,Lose,485,No Location Recorded,8:25 p.m.,16:17,,10,4,"REBOUND DEF by BISCHOFF,JAKE",-6,1,,,7,1,0.714,1.0,,,5,0,0.4,,36,2177
