game,boxscore_visitor_name,boxscore_home_name,final score,visitorFinalScore,homeFinalScore,visitorRecord,homeRecord,gameDate,outcome,attendance,gameLocation,gameTime,Time Remaining,Away Team,Away Team Score,Home Team Score,Home Team,Point Differential,Period,Home Play Type,Home Shot Good,Home Shots Taken,Home 3PTRs Taken,Home Shooting PCT,Home 3PTRs PCT,Away Play Type,Away Shot Good,Away Shots Taken,Away 3PTRs Taken,Away Shooting PCT,Away 3PTRs PCT,Time Remaining Mins,Time Remaining Secs
20,Birmingham-Southern,Centre,66-61,66,61,"14-6, 9-0 SAA","12-8, 4-5 SAA",02/05/16,Lose,657,No Location Recorded,8:00 PM,19:39,,0,0,"MISS 3PTR by GRIFFIN,JAROD",0,1,,,0,0,,,3ptr,miss,1,1,0.0,0.0,39,2379
20,Birmingham-Southern,Centre,66-61,66,61,"14-6, 9-0 SAA","12-8, 4-5 SAA",02/05/16,Lose,657,No Location Recorded,8:00 PM,19:39,"REBOUND DEF by LEWIS,EVAN",0,0,,0,1,,,0,0,,,,,1,1,0.0,0.0,39,2379
20,Birmingham-Southern,Centre,66-61,66,61,"14-6, 9-0 SAA","12-8, 4-5 SAA",02/05/16,Lose,657,No Location Recorded,8:00 PM,19:14,"GOOD JUMPER by LEWIS,EVAN(in the paint)",2,0,,-2,1,jumper,good,1,0,1.0,,,,1,1,0.0,0.0,39,2354
20,Birmingham-Southern,Centre,66-61,66,61,"14-6, 9-0 SAA","12-8, 4-5 SAA",02/05/16,Lose,657,No Location Recorded,8:00 PM,18:57,,2,0,"MISS 3PTR by GUMP,MATT",-2,1,,,1,0,1.0,,3ptr,miss,2,2,0.0,0.0,38,2337
20,Birmingham-Southern,Centre,66-61,66,61,"14-6, 9-0 SAA","12-8, 4-5 SAA",02/05/16,Lose,657,No Location Recorded,8:00 PM,18:57,"REBOUND DEF by THOM,IAN",2,0,,-2,1,,,1,0,1.0,,,,2,2,0.0,0.0,38,2337
20,Birmingham-Southern,Centre,66-61,66,61,"14-6, 9-0 SAA","12-8, 4-5 SAA",02/05/16,Lose,657,No Location Recorded,8:00 PM,18:37,"GOOD JUMPER by AVERY,ALEX(in the paint)",4,0,,-4,1,jumper,good,2,0,1.0,,,,2,2,0.0,0.0,38,2317
20,Birmingham-Southern,Centre,66-61,66,61,"14-6, 9-0 SAA","12-8, 4-5 SAA",02/05/16,Lose,657,No Location Recorded,8:00 PM,18:18,,4,0,"MISS JUMPER by SCINTA,BLAKE",-4,1,,,2,0,1.0,,jumper,miss,3,2,0.0,0.0,38,2298
20,Birmingham-Southern,Centre,66-61,66,61,"14-6, 9-0 SAA","12-8, 4-5 SAA",02/05/16,Lose,657,No Location Recorded,8:00 PM,18:18,"REBOUND DEF by AVERY,ALEX",4,0,,-4,1,,,2,0,1.0,,,,3,2,0.0,0.0,38,2298
20,Birmingham-Southern,Centre,66-61,66,61,"14-6, 9-0 SAA","12-8, 4-5 SAA",02/05/16,Lose,657,No Location Recorded,8:00 PM,17:51,,4,0,"FOUL  by SINE,TUCKER",-4,1,,,2,0,1.0,,foul,,3,2,0.0,0.0,37,2271
20,Birmingham-Southern,Centre,66-61,66,61,"14-6, 9-0 SAA","12-8, 4-5 SAA",02/05/16,Lose,657,No Location Recorded,8:00 PM,17:51,"GOOD FT by LEWIS,EVAN",5,0,,-5,1,ft,good,3,0,1.0,,,,3,2,0.0,0.0,37,2271
20,Birmingham-Southern,Centre,66-61,66,61,"14-6, 9-0 SAA","12-8, 4-5 SAA",02/05/16,Lose,657,No Location Recorded,8:00 PM,17:51,"GOOD FT by LEWIS,EVAN",6,0,,-6,1,ft,good,4,0,1.0,,,,3,2,0.0,0.0,37,2271
20,Birmingham-Southern,Centre,66-61,66,61,"14-6, 9-0 SAA","12-8, 4-5 SAA",02/05/16,Lose,657,No Location Recorded,8:00 PM,17:37,,6,0,"MISS 3PTR by GUMP,MATT",-6,1,,,4,0,1.0,,3ptr,miss,4,3,0.0,0.0,37,2257
20,Birmingham-Southern,Centre,66-61,66,61,"14-6, 9-0 SAA","12-8, 4-5 SAA",02/05/16,Lose,657,No Location Recorded,8:00 PM,17:37,REBOUND DEF by TEAM,6,0,,-6,1,,,4,0,1.0,,,,4,3,0.0,0.0,37,2257
20,Birmingham-Southern,Centre,66-61,66,61,"14-6, 9-0 SAA","12-8, 4-5 SAA",02/05/16,Lose,657,No Location Recorded,8:00 PM,17:13,"GOOD 3PTR by WELCH,ROSS",9,0,,-9,1,3ptr,good,5,1,1.0,1.0,,,4,3,0.0,0.0,37,2233
20,Birmingham-Southern,Centre,66-61,66,61,"14-6, 9-0 SAA","12-8, 4-5 SAA",02/05/16,Lose,657,No Location Recorded,8:00 PM,17:13,"ASSIST  by AVERY,ALEX",9,0,,-9,1,,,5,1,1.0,1.0,,,4,3,0.0,0.0,37,2233
20,Birmingham-Southern,Centre,66-61,66,61,"14-6, 9-0 SAA","12-8, 4-5 SAA",02/05/16,Lose,657,No Location Recorded,8:00 PM,17:09,,9,0,TIMEOUT 30SEC by TEAM,-9,1,,,5,1,1.0,1.0,,,4,3,0.0,0.0,37,2229
20,Birmingham-Southern,Centre,66-61,66,61,"14-6, 9-0 SAA","12-8, 4-5 SAA",02/05/16,Lose,657,No Location Recorded,8:00 PM,17:09,,9,0,"SUB IN by GRUBER,SAM",-9,1,,,5,1,1.0,1.0,,,4,3,0.0,0.0,37,2229
